epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2,loss_aux_ce,loss_cldice
1,val,45.68044926961263,38.21409125077097,0.7587363823934101,0.1050163028318793,0.0,0.8628199086447159,0.19007195199337582,0.0,0.05250815141593965,0.28791756174176314,0.7609344991048177,0.32654227746205977,0.0,0.16327113873102989,,,,0.0,0.0
5,val,19.59703174908956,20.310348811902497,0.9751055738181367,0.5393768535129791,0.8151136127151328,0.9873959010030339,0.7007729813295279,0.8981405979274734,0.6772452331140559,0.7765320133487496,0.9757633463541666,0.7130791561159477,0.6589653589151787,0.6860222575155632,,,,0.0,0.0
10,val,16.767555985450745,18.475575246308978,0.9775103287967436,0.5522188561732663,0.8163577915916265,0.9886272800319882,0.7115219016661977,0.898895355717635,0.6842883238824464,0.7820289921872122,0.9779288736979167,0.729469169309333,0.6771000190039766,0.7032845941566548,,,,0.0,0.0
15,val,15.312472267150879,19.763350712625606,0.9752512514442019,0.5422257844531001,0.6197003495921425,0.9874705820144637,0.7031730242344284,0.7652036992499132,0.5809630670226213,0.7123924618298147,0.9752537282307943,0.7261996062845604,0.653896377431811,0.6900479918581857,,,,0.0,0.0
20,val,13.978294100761413,19.201905928160016,0.9759508100423359,0.5641072591940878,0.6958217028946936,0.9878290543289644,0.7213153137397319,0.8206307322367161,0.6299644810443907,0.745293257377039,0.9763359832763672,0.7485430117399018,0.6682093457470725,0.7083761787434871,,,,0.0,0.21147859195868174
25,val,14.02565527121226,18.10662417662771,0.9785018126466435,0.575318982410336,0.7742565437220577,0.9891341078305113,0.7304158571492132,0.8727672967718778,0.6747877630661968,0.7760257795930124,0.9788349660237631,0.756001656629688,0.6786115708334697,0.7173066137315789,,,,0.0,0.21075989802678427
30,val,12.76140965938568,18.571393163580645,0.9793252146467506,0.5685515029808673,0.8083156640391167,0.9895546294261001,0.7249382655276475,0.8939984098059901,0.688433583509992,0.7853974605555782,0.9796271514892578,0.7537527102944948,0.7197380064812203,0.7367453583878576,,,,0.0,0.18867698033650715
35,val,11.894832050005595,18.784796539105866,0.9785605633529857,0.5733105674541993,0.7896446022071343,0.9891641241394796,0.7287951651934594,0.8824596808028596,0.6814775848306668,0.7805052443381064,0.9787520599365235,0.7551797703710481,0.704144822177819,0.7296622962744336,,,,0.0,0.173206169406573
40,val,11.254211309750875,19.90462767450433,0.9766152831785468,0.5643685206321731,0.8260132156408199,0.9881693129561112,0.7215288638051954,0.9047176751685659,0.6951908681364964,0.7889990064838467,0.9772141774495443,0.7378816163854968,0.6779354214302631,0.70790851890788,,,,0.0,0.16057290375232697
45,val,10.439311248461406,19.20387295672768,0.9784609586428611,0.5707038262121502,0.7931778321393652,0.9891132340706315,0.7266854727010348,0.8846616525401254,0.6819408291757577,0.780780872331459,0.9786579895019532,0.7553589962867607,0.6922115901414875,0.7237852932141241,,,,0.0,0.1477944076061249
50,val,10.253891520500183,20.53305801592375,0.9769421953035843,0.5592711942405296,0.7787071682528839,0.988336631818982,0.7173494852034799,0.8755878226068664,0.6689891812467068,0.7716401859323326,0.9773087310791015,0.7428589622037763,0.6591947836889601,0.7010268729463682,,,,0.0,0.1445053207874298
55,val,9.026086282730102,20.84137198799535,0.9775361222727211,0.572479046951488,0.7740001750240658,0.9886404716079412,0.7281229572646246,0.8726043953333498,0.673239610987777,0.7746717814160916,0.9781315612792969,0.75312186580332,0.69432363462477,0.723722750214045,,,,0.0,0.1273063878218333
60,val,8.395701761245727,20.79622459411621,0.9777195633619951,0.5589999743114762,0.7680299308737504,0.9887342790905452,0.7171263419146052,0.8687974309283264,0.6635149525926133,0.7682498228490738,0.9779070790608724,0.7498036285914026,0.6964016661485607,0.7231026473699816,,,,0.0,0.12030044734477997
65,val,7.840607185363769,21.013395736092015,0.9781025686730729,0.5639994664874552,0.7992229558351062,0.9889300829624744,0.7212271852676864,0.8884090248438924,0.6816112111612807,0.7804416636652114,0.9784600830078125,0.7533032635795691,0.7179121967555956,0.7356077301675823,,,,0.0,0.1129859217007955
70,val,7.439190037250519,21.911676682923968,0.9778012853965722,0.5595725423765315,0.7787956814030956,0.9887760642247855,0.717597325128378,0.8756437735319772,0.6691841118898136,0.7720565030587331,0.9779743448893229,0.7483961024970519,0.7131169312208746,0.7307565168589633,,,,0.0,0.10959036568800608
75,val,7.143010176817576,21.278269065053838,0.9779969589344305,0.5637768837221024,0.795927110594165,0.9888760996491002,0.7210451690271831,0.8863690579634274,0.6798519971581337,0.7792336510835659,0.9783707173665365,0.7513716158395907,0.7070425570509127,0.7292070864452517,,,,0.0,0.10584836781024932
80,val,6.915971219539642,21.805729188417132,0.9778855171341871,0.5642133932312595,0.8023711567534064,0.9888191289767594,0.7214020742601377,0.8903506403184012,0.6832922749923329,0.781490022372951,0.97839111328125,0.7492301983217652,0.7108288749015558,0.7300295366116605,,,,0.0,0.10369314471880595
85,val,6.732934268315633,21.80684313021208,0.9782054396250105,0.5709460023452463,0.7998286334013074,0.9889826607801054,0.7268817661369492,0.8887830969660652,0.6853873178732768,0.7829933584571881,0.9787395477294922,0.7514527872462708,0.697834368949941,0.724643578098106,,,,0.0,0.1018618655204773
90,val,6.647729547023773,21.943974269063848,0.978171104125571,0.5707451447717244,0.8068723270616381,0.9889651123561032,0.7267189673276635,0.8931149312290211,0.6888087359166812,0.7852628586529778,0.9787657928466796,0.7520217014523283,0.7106611531527526,0.7313414273025405,,,,0.0,0.10107809980710347
91,val,6.6271199083328245,21.751118910940068,0.9781001492192328,0.5691915310423638,0.8022689369351376,0.9889288463026449,0.7254583265106817,0.8902877040087505,0.6857302339887507,0.7831868723989114,0.9786514027913411,0.7519492041975924,0.7099601321443744,0.7309546681709833,,,,0.0,0.10108107308546702
92,val,6.601081817944845,21.943681541242096,0.9780864998575453,0.5711891222599285,0.8101387965592958,0.9889218696229751,0.7270787636797733,0.8951123506100241,0.6906639594096121,0.7864714728922565,0.9787241363525391,0.7515591016564751,0.7092901035359178,0.7304246025961965,,,,0.0,0.10047442615032195
93,val,6.546661800543467,22.020538656335127,0.9780885536699491,0.5711716937687474,0.8086035514379464,0.9889229194065157,0.7270646435828867,0.8941744593999706,0.6898876226033469,0.7859545996255477,0.9787123362223308,0.7521443642972787,0.7120138848025368,0.7320791245499078,,,,0.0,0.09988754411538442
94,val,6.568871018091838,22.023088053653115,0.9780842519792812,0.5704014555193895,0.8066850420276113,0.9889207206423135,0.7264403041841766,0.8930001890338148,0.6885432487735004,0.7850569165087607,0.9786887105305989,0.7516971203247051,0.7089648288020868,0.7303309745633959,,,,0.0,0.1001443378130595
95,val,6.584622872670492,22.080832481384277,0.9780219681689031,0.5690660396295129,0.8042128572029207,0.9888888838522646,0.7253563906894326,0.8914833457618693,0.6866394484162168,0.7837669550004455,0.9786047617594401,0.7505365075478937,0.7067707802991816,0.7286536439235376,,,,0.0,0.10030934075514475
96,val,6.548588593800862,22.05319208847849,0.9780270025108403,0.5695078541469277,0.8030291209307815,0.9888914572646036,0.7257152012870576,0.8907555752801509,0.6862684875388546,0.7835213258628498,0.9785978190104166,0.7511029903043859,0.705342504768074,0.72822274753623,,,,0.0,0.10008720437685649
97,val,6.582893784046173,22.053932014264557,0.9780719688375882,0.5697489369980906,0.8030617187093468,0.9889144421902416,0.7259109066035108,0.8907756294489886,0.6864053278537188,0.7836275415150085,0.9786428324381511,0.7515397465691616,0.705462448459194,0.7285010975141778,,,,0.0,0.10005744854609172
98,val,6.5627775152524315,22.088928147366172,0.9780792650493092,0.5700236432136857,0.8037948946007287,0.9889181716132369,0.7261338333057237,0.8912264881187052,0.6869092689072072,0.7839659342879078,0.9786621856689454,0.7515002670576714,0.7058338756033247,0.728667071330498,,,,0.0,0.10029750367005666
99,val,6.567353086471558,22.129942693208392,0.9780725107165106,0.569933230746802,0.8038919486389399,0.9889147191699525,0.7260604713433454,0.8912861429926409,0.686912589692871,0.7839658967007508,0.97865478515625,0.7515487983752809,0.7059575962571861,0.7287531973162336,,,,0.0,0.10004031896591187
100,val,6.572708485126495,22.07303305676109,0.9780798951556924,0.5698954550987457,0.8036075515836615,0.9889184936877474,0.7260298171420588,0.8911113183996731,0.6867515033412036,0.7838609672793665,0.9786586507161459,0.7516697216331579,0.7058036454641434,0.7287366835486506,,,,0.0,0.10046496192614238
