epoch,split,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,45.33393988927205,37.909995580974375,0.7884026155584345,0.11856130585004983,0.001100208207131997,0.8816835858990881,0.21198892761617433,0.0021979981586505853,0.05983075702859091,0.3026880432052054,0.7902743275960287,0.35658964129485027,0.03560480807783987,0.19609722468634508
2,val,26.151679032643635,23.301144047787314,0.9753027610715164,0.4789775223082619,0.7288087066845811,0.9874969855683863,0.6477144041522885,0.8431340076742814,0.6038931144964215,0.7276963300214532,0.9756180826822917,0.675993591841221,0.5866100770302279,0.6313018344357244
3,val,21.73289737701416,22.41815253307945,0.9721483109786185,0.5324265866502548,0.7140490951116197,0.9858774875772092,0.6948803829018536,0.8331722786098148,0.6232378408809373,0.7395413309134976,0.9726541137695313,0.6717325424756477,0.6696310047366215,0.6706817736061346
4,val,20.050688203175863,19.705313456685918,0.9753776813243749,0.5390284079766018,0.657488113502757,0.9875353868232847,0.7004788283086674,0.793354845982325,0.5982582607396794,0.7239647342679113,0.9755891672770183,0.7246822866624374,0.661131927542595,0.6929071071025161
5,val,19.011030772527057,19.710303432063053,0.9763058896651137,0.5577779061340885,0.6700635887657154,0.9880109094149887,0.7161199346039214,0.8024408091681534,0.613920747449902,0.7347157948549725,0.9770155843098959,0.7328841884338836,0.5501203306624138,0.6415022595481488
6,val,19.04329131126404,19.905053665763454,0.9758886250017343,0.5414010684252509,0.7824363609475515,0.9877971993496119,0.7024791658907634,0.8779403047316704,0.6619187146864012,0.7665753514581789,0.9762891896565755,0.7038400753382508,0.6974819434121551,0.7006610093752029
7,val,18.660578308105467,19.92905054594341,0.9720421903291246,0.55332156565469,0.5685817107447427,0.985822915043106,0.7124365976615762,0.7249628206805845,0.5609516381997164,0.6979818222428524,0.9724631245930989,0.7124381870876572,0.6139985645659686,0.6632183758268129
8,val,17.37974761327108,18.796188404685573,0.9759531966226015,0.5410416251327844,0.6553019067393768,0.9878302768413237,0.7021765230853714,0.7917611936183826,0.5981717659360806,0.7240989094982542,0.9762540690104167,0.7224000062759927,0.6696514538316083,0.6960257300538004
9,val,16.98321615219116,17.820043463456003,0.9776674194041634,0.5714149850477633,0.7520484271210168,0.9887076156603899,0.7272617233319754,0.8584790414232901,0.6617317060843901,0.7670436105243145,0.9782691192626953,0.7480959460117494,0.7020615756535477,0.7250787608326486
10,val,16.63048938592275,19.19674260992753,0.9753702143167199,0.5638941400918397,0.7088247581377066,0.9875315596515666,0.7211410614515442,0.8296049723790174,0.6363594491147732,0.7493630375154221,0.9761067454020182,0.7270856680467552,0.650624570527919,0.6888551192873371
