epoch,train_loss,val_loss,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc
1,0.5586353540420532,0.7947795767533151,0.714739329473304,0.33338556247727724,0.049380661859863194,0.8336419620034515,0.5000587554853754,0.09411391624530928,0.1913831121685702,0.36583518460348147,0.7185653707005033
2,0.44191871474910255,0.5025111452529305,0.930362536217788,0.33862785157643643,0.3419395797896553,0.9639251889343777,0.5059327746358347,0.5096199336236185,0.34028371568304583,0.5369766558612933,0.9304701919043624
3,0.41237882065851955,0.4956501941931875,0.9481359824799871,0.4024624319098747,0.36085264809593015,0.9733776194339423,0.57393684529831,0.5303331681072537,0.3816575400029024,0.570483687495264,0.9482561477558725
4,0.4107472388357516,0.443240761756897,0.9550370486423149,0.4482143006513767,0.39604346765670306,0.9770014837371446,0.6189889168333432,0.567379851461893,0.4221288841540399,0.5997649389834648,0.9558676331795302
5,0.4082364703448403,0.4569248023786043,0.9565224657500744,0.4530533555648187,0.3914967410153681,0.977778157413972,0.6235880517803994,0.5626987537602063,0.4222750482900934,0.6003575207767536,0.9568889602558724
6,0.38956049301766404,0.45865819015000997,0.9543897152882409,0.45333316403334645,0.3459638015569314,0.9766626459630994,0.6238530507006923,0.5140759374906531,0.3996484827951389,0.5845622269595062,0.9551229551174497
7,0.3829203155261791,0.5677670459998282,0.8432236327281847,0.43063193561956453,0.11120802087120119,0.9149444676771162,0.6020163885591866,0.20015698011973074,0.27091997824538283,0.4616878630729835,0.8473118970218121
8,0.3700768327870906,0.4573532782102886,0.9043607786491566,0.4704749022003062,0.19481953763000112,0.9497788326544488,0.6398951814768461,0.32610705046962624,0.33264721991515367,0.5232184061598213,0.9073662961409396
9,0.360558253941157,0.38899653208883184,0.9520208885380534,0.4504072065844333,0.4509070602640491,0.975420800185248,0.6210769010795224,0.6215519554808548,0.4506571334242412,0.6177783851288453,0.9532596214345638
10,0.3544529413940101,0.43245666121181686,0.9570819123357038,0.4668412731557438,0.41399950048946293,0.9780703672167329,0.6365259577832677,0.5855723433369742,0.44042038682260337,0.6126408953269702,0.9579756318162752
11,0.34000393471970464,0.40097438191112716,0.9545021346775301,0.4683297036160828,0.4498949775331685,0.9767215064566933,0.6379080971565426,0.6205897454705493,0.45911234057462563,0.6242422719422605,0.9556100566275167
12,0.339203488649122,0.35863911948705973,0.9590126307115447,0.48147468496029483,0.49545468160306716,0.9790775369970085,0.6499938066416556,0.6626141035206226,0.488464683281681,0.6453139990916356,0.9601529729446309
13,0.3311151390438838,0.349498522909064,0.955202208392446,0.47737104186610246,0.46753344799194085,0.9770878984202935,0.6462439405379488,0.6371690521012348,0.47245224492902166,0.6333688994168297,0.9563882261954698
14,0.33171958412160935,0.3648107765536559,0.955559779763519,0.4667553047355129,0.4514972443796377,0.9772749364676262,0.6364460428110451,0.6221124375232352,0.45912627455757526,0.6246041096262233,0.956627778942953
15,0.3255983296016984,0.406902214414195,0.955757081644988,0.4561810696076967,0.448335270608092,0.9773781116426794,0.6265444306738508,0.6191042636417406,0.4522581701078944,0.6200911406202589,0.956342347420302
16,0.3126092107090729,0.40274748990410253,0.9264868221191487,0.49206645946766997,0.2509655371011866,0.9618408093754899,0.659577133907596,0.4012349335901598,0.3715159982844283,0.5565062728960017,0.9287489513422819
17,0.30466259581758487,0.3713019239275079,0.9461265022049719,0.4920270126931372,0.35503318698326586,0.9723175766148865,0.6595416953008365,0.5240213898726458,0.42353009983820156,0.597728900627125,0.9476791238464765
18,0.3036291783811241,0.3342777208278054,0.9620510111707005,0.4851783247098649,0.5720872775327865,0.9806585106028123,0.6533603630454898,0.7278060012426446,0.5286328011213257,0.6731055378044507,0.963061097420302
19,0.2892214727914886,0.34544807437219116,0.9516668623699972,0.4864172276703548,0.43192294575178497,0.975234944773664,0.6544827638101465,0.603276799262432,0.45917008671106985,0.623335678597379,0.9531437447567114
