epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean
1,val,0.9934596353769303,0.9979919540254694,1.0312096571922302,0.9557096147537232,0.0,0.0,0.5560821766828346,0.035093585366640825,0.010679412852886308,0.7147208354616055,0.06780756032646133,0.021133136219211375,0.022886499109763567,0.20061839163412057,0.5534474182128907,0.05957438304958056,0.02483128747520966,0.042202835262395114
2,val,0.9184272587299347,0.857387042359302,0.895929006934166,0.9409255111217498,0.0,0.0,0.8941188066399697,0.16735848106890316,0.1520217538487286,0.9441000253052468,0.2867302268891039,0.2639216722094824,0.1596901174588159,0.40449968051920043,0.8927973937988282,0.1973309174779746,0.07585777323583769,0.13659434535690615
3,val,0.7580645155906677,0.7123492893419767,0.6245683705806733,0.8915606528520584,0.0,0.0,0.9341281933327263,0.23806826248890328,0.44746697802771873,0.9659423781244981,0.384580187865105,0.6182759051780591,0.342767620258311,0.5398878112831161,0.9344747670491537,0.1954472724186976,0.12762281439365625,0.16153504340617691
4,val,0.6126669523119926,0.5809187700873927,0.39722164765000345,0.8281122583150864,0.0,0.0,0.9515670976029428,0.3072978968308985,0.6267311539731562,0.975182558439038,0.4701268128340729,0.7705405437676868,0.4670145254020273,0.6285320494689991,0.9517361450195313,0.24038287355431462,0.1847904149927409,0.21258664427352775
5,val,0.47677697509527206,0.5163181471197229,0.23214627981185912,0.7214076685905456,0.0,0.0,0.954162326496116,0.34731826184085623,0.6656184753735775,0.9765435691383568,0.5155697383130714,0.7992448273297252,0.5064683686072169,0.6556996879035166,0.9542331186930338,0.3055431478049833,0.2195110782984734,0.2625271130517284
6,val,0.38792684018611906,0.4465670013114026,0.15735742889344692,0.6184962522983551,0.0,0.0,0.9654855466113288,0.36502171008684037,0.7216155153159196,0.9824397317761114,0.5348218382015598,0.8383004322350125,0.54331861270138,0.6840409240046963,0.9658401234944661,0.3934702983725824,0.3131028232365164,0.3532865608045494
7,val,0.31596955478191374,0.4502250473750265,0.12443848080933094,0.5075006288290024,0.0,0.0,0.9675475268097362,0.3248697444462034,0.6551879102692048,0.983506129967349,0.4904176366137778,0.7916779795263766,0.4900288273577041,0.6492017271750482,0.9677299499511719,0.4394444572961925,0.3010814566886118,0.3702629569924022
8,val,0.2486429415643215,0.4228171102310482,0.09344462983310223,0.40384125351905825,0.0,0.0,0.9691972663795487,0.38212794675850853,0.7276680182900527,0.9843577207086605,0.5529559656972562,0.8423701898588792,0.5548979825242806,0.6929977438093701,0.9694519551595052,0.4723209933485435,0.4167299408585665,0.444525467103555
9,val,0.22639358714222907,0.36941160732193995,0.09050341572612525,0.36228375852108,0.0,0.0,0.9678960038051795,0.42296974939775556,0.7379616573160122,0.9836861317199977,0.5944887438074763,0.8492266261566082,0.5804657033568839,0.709609136839649,0.968335698445638,0.5209367510217902,0.4535878475046272,0.4872622992632087
10,val,0.22341898143291472,0.4283093959093094,0.09856137031689287,0.34827659130096433,0.0,0.0,0.969196863366847,0.3943873085401311,0.7158357577102976,0.984357512848925,0.5656782819588901,0.8343872710352498,0.5551115331252143,0.6931399765390919,0.969607416788737,0.48747166356986443,0.4328780236778172,0.4601748436238408
11,val,0.17618371479213238,0.4329066394191039,0.07707051990553737,0.2752969115972519,0.0,0.0,0.9701937998629627,0.4028266400197555,0.7227656236874852,0.9848714374499045,0.5743070861757837,0.8390759761510044,0.5627961318536203,0.698595354523401,0.9704840342203777,0.5158719515056649,0.4637372134618122,0.48980458248373854
12,val,0.1661655107885599,0.36660566769148173,0.07018971437588334,0.26214130759239196,0.0,0.0,0.9712643812362113,0.4374953170274559,0.7600967292984503,0.9854227474318954,0.6086911196791048,0.8636988145548276,0.5987960231629531,0.7229521425207058,0.9716531880696615,0.560086653421373,0.5059559784257881,0.5330213159235806
13,val,0.17055883891880513,0.5173030017237914,0.08206799140200019,0.2590496861934662,0.0,0.0,0.9681839999369282,0.380031627108321,0.5248336333974426,0.9838348446770773,0.5507578516944984,0.6883815019584455,0.45243263025288183,0.6243497534808973,0.9686102294921874,0.5291857385262702,0.4055881799198501,0.4673869592230601
14,val,0.16015013664960862,0.4437087001769166,0.07542801467701793,0.24487225830554962,0.0,0.0,0.9709264853585591,0.3860276154552739,0.7436913811739525,0.9852488081836539,0.5570273076102801,0.8530080370911245,0.5648594983146132,0.7002151606625953,0.9712450663248698,0.5233190041310052,0.469671767037471,0.4964953855842381
15,val,0.1371043300628662,0.4143839541234468,0.062322024134919045,0.2118866366147995,0.0,0.0,0.9715669685957756,0.4255963211221177,0.7516042473337243,0.9855784602516061,0.5970783100606232,0.8581895693365774,0.588600284227921,0.7162558456838726,0.9719107055664062,0.5641600405712837,0.5350841267089202,0.549622083640102
16,val,0.1365260224789381,0.42848614211145203,0.0636312559619546,0.20942078828811644,0.0,0.0,0.9718978136944798,0.4249691029471355,0.7206386346431767,0.9857486599405124,0.5964607963333523,0.8376408853479238,0.5728038687951561,0.7058351837615974,0.972246348063151,0.5668097792097112,0.577675653173179,0.5722427161914452
17,val,0.13632788114249705,0.4731438928528836,0.06317101277410984,0.20948474884033202,0.0,0.0,0.9707190066532543,0.41163709736437676,0.6926373251717421,0.9851419744530339,0.5832052701546756,0.8184119715089755,0.5521372112680595,0.6916644763964577,0.9708888244628906,0.5417625277793168,0.5617808027183434,0.55177166524883
18,val,0.12125240601599216,0.40553577205068186,0.057570754224434494,0.18493405759334564,0.0,0.0,0.9724604510345237,0.42849782889401655,0.7543978140814717,0.986037971533963,0.5999278685999427,0.8600076995381374,0.5914478214877441,0.7184520313366707,0.9727198791503906,0.571475090070481,0.530590310618315,0.551032700344398
19,val,0.14663070429116487,0.417883480850019,0.07726310221478343,0.2159983068704605,0.0,0.0,0.9654390540312338,0.42169096566180686,0.5211177848425009,0.9824156613262164,0.593224513409645,0.6851774268045367,0.4714043752521539,0.6360826015118471,0.9656856791178385,0.5632727382418291,0.43154725768733954,0.4974099979645843
20,val,0.1283415541611612,0.41871144465709986,0.06243414364755154,0.19424896478652953,0.0,0.0,0.9722050071990639,0.42448800932204095,0.7439834521556336,0.9859066411962868,0.5959867777673584,0.8532001278292407,0.5842357307388373,0.7135588228922461,0.9724897003173828,0.5763151616706681,0.5438638693269333,0.5600895154988007
21,val,0.1817509976401925,0.4347424589489636,0.10473431814461946,0.25876767814159396,0.0,0.0,0.9719840212589025,0.4297677856653113,0.7174213465439352,0.9857929991120251,0.6011714489221454,0.8354634091251317,0.5735945661046232,0.7063910511560497,0.9720215606689453,0.5674276131681815,0.505407369007091,0.5364174910876363
