epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9899233389645815,0.9877473837450931,1.0263112004846335,0.9535354722291232,0.0,0.0,0.0,0.6125451016855666,0.03991598929857692,0.012528130532751055,0.7597246130297793,0.07676771914142842,0.024746236978441798,0.026222059915663988,0.22166307383896486,0.6097274271647135,0.0661357362086114,0.02702183138313548,0.04657878379587344,400,240,0
5,val,0.39045212622731923,0.37691205112557663,0.17789956713095306,0.6030046820640564,0.0,0.0,0.0,0.9627090806770686,0.43409249581686893,0.6708111814797042,0.9810002818603828,0.605389815626372,0.8029766486068405,0.5524518386482866,0.6892042526578805,0.9633270263671875,0.4824522905126408,0.2808069419193386,0.3816296162159897,400,240,0
10,val,0.18715136777609587,0.2898573679359336,0.09417912188218906,0.28012361377477646,0.0,0.0,0.0,0.9697580637711668,0.48191633564236847,0.7886864666543686,0.9846468778145606,0.6503961445751544,0.8818610543071415,0.6353014011483685,0.746786955355968,0.9704236348470052,0.6049416530855548,0.5331156625834348,0.5690286578344947,400,240,0
15,val,0.17555984049104154,0.42185849186621216,0.08930045000743121,0.26181923076510427,0.0,0.0,0.0,0.9293231557164291,0.4534183105545614,0.22135466975765772,0.9633670263718335,0.6239336703850341,0.3624740220653172,0.33738649015610955,0.5346987120095493,0.930808334350586,0.58811449230072,0.35230310935410686,0.47020880082741345,400,240,0
20,val,0.14601398422382772,0.29862550979382113,0.07891763338120654,0.2131103351712227,0.0,0.0,0.0,0.9737143653481121,0.5172045720564055,0.7450717926290449,0.9866821485857444,0.6817862028393323,0.8539153469514902,0.6311381823427251,0.7453302433445209,0.9743404897054037,0.6811892385350702,0.6167623944483693,0.6489758164917198,400,240,0
25,val,0.13124469965696334,0.28463872286834213,0.07200523262144998,0.19048416689038278,0.0,0.0,0.0,0.9727197008723851,0.5149492492048382,0.7463201451545104,0.9861712238613773,0.6798237623803216,0.8547346226581813,0.6306346971796744,0.7446630317439112,0.9731929270426433,0.6803213345420451,0.5778540736521837,0.6290877040971143,400,240,0
30,val,0.1688653016881067,0.24962964144192243,0.10738797800577417,0.23034262608508674,0.0,0.0,0.0,0.9743942048085444,0.5412503832603451,0.7598528103218152,0.9870310624245685,0.702352309707641,0.8635413210299842,0.6505515967910802,0.7584991327969016,0.9749319203694662,0.7074509664316888,0.5981301542433656,0.6527905603375272,400,400,180
35,val,0.16495084248635233,0.25624076688760206,0.09967200663320873,0.2302296784459328,0.0,0.0,0.0,0.9760780312253551,0.5511533834813802,0.7577957792396919,0.9878942185497548,0.7106368581608373,0.8622113992871971,0.654474581360536,0.7616757313154757,0.9762707265218099,0.7292526954179646,0.5331654421699107,0.6312090687939376,400,400,180
40,val,0.1470498560946815,0.24607439613655993,0.08956462559955461,0.20453508678747684,0.0,0.0,0.0,0.9746348320342143,0.5530177746277795,0.7838482875524907,0.987154501908763,0.7121847330566765,0.8788284217016695,0.6684330310901351,0.7705002980714948,0.9751912689208985,0.713741183108511,0.6538043349992677,0.6837727590538893,400,400,180
45,val,0.14081762226260439,0.2482156541786696,0.08486449705550865,0.19677074734045535,0.0,0.0,0.0,0.974778872753761,0.5575401039840366,0.7797106497652546,0.987228379038171,0.7159239143286302,0.8762218171454996,0.6686253768746456,0.770676542167684,0.9752659352620443,0.7211210192014559,0.6627533749280314,0.6919371970647437,400,400,180
50,val,0.13751140998638406,0.24196767375657433,0.0833011653350324,0.1917216549114305,0.0,0.0,0.0,0.9751154119315834,0.5559045872913173,0.7887769431337276,0.9874009448166472,0.7145741349848381,0.8819176098635113,0.6723407652125224,0.7732656474522094,0.9756119028727214,0.7268432506224434,0.662120841099731,0.6944820458610872,400,400,180
55,val,0.13057722534452165,0.23595053447704567,0.07970536740458742,0.1814490836493823,0.0,0.0,0.0,0.9755084784918667,0.5653655441449487,0.7941300025747301,0.9876024214652672,0.7223431565357074,0.8852535785423415,0.6797477733598394,0.7783346750705151,0.9760612233479817,0.7383068648995466,0.64546817030638,0.6918875176029633,400,400,180
60,val,0.14950944583477646,0.23896576385749013,0.09544259445292169,0.20357629697898338,0.0,0.0,0.0,0.9754837880317712,0.5665999117304155,0.7846267837128307,0.9875897680776945,0.7233498578517952,0.8793175031033124,0.6756133477216231,0.7755701611583392,0.975966796875,0.7382764112139857,0.6541586537902315,0.6962175325021086,360,400,400
65,val,0.14379383392375092,0.23726674032054448,0.09144878338637023,0.1961388846923565,0.0,0.0,0.0,0.9757966911583352,0.57093918031324,0.7908755377586923,0.9877501015413306,0.7268762374357441,0.8832278079452522,0.6809073590359662,0.779203803076756,0.9764909108479818,0.7456742738536148,0.6398463158550092,0.692760294854312,360,400,400
70,val,0.13808327556170266,0.24927830774533122,0.0877450794816531,0.18842147136556692,0.0,0.0,0.0,0.9769707767710519,0.5757657739880223,0.7872045462132236,0.9883512576414705,0.7307758341912036,0.8809339119925287,0.6814851601006229,0.7799803656574326,0.9776079559326172,0.7529586601700048,0.6493412947204138,0.7011499774452092,360,400,400
75,val,0.13622587944926887,0.2544697960348506,0.08550099770955999,0.18695076190192125,0.0,0.0,0.0,0.975443972361792,0.5671320248584177,0.7863895358834472,0.9875693626436546,0.7237833390708165,0.8804233568179108,0.6767607803709325,0.7763218443678856,0.9761028035481771,0.74314573031343,0.6617705016366261,0.702458115975028,360,400,400
