epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.985988800128301,0.9811040539490549,1.016903005639712,0.9550745904445648,0.0,0.0,0.0,0.6455764462647839,0.04091097037138286,0.01562964569068957,0.7846204261493258,0.07860608935034354,0.030778238419892644,0.028270308031036216,0.23403902077561878,0.6426397450764973,0.06398303754117911,0.0321003518243959,0.0480416946827875,1176,24,0
5,val,0.2615758462250233,0.3548038527369499,0.1138136870910724,0.40933800558249156,0.0,0.0,0.0,0.9674114787752551,0.44610327724052656,0.7197733872887407,0.9834358386253639,0.6169729150905277,0.8370560826313038,0.5829383322646337,0.7110960477681741,0.9678471374511719,0.5322152662250861,0.46116321009303624,0.4966892381590612,982,218,0
10,val,0.16187500812113284,0.3146384587805522,0.08844369305297732,0.2353063229719798,0.0,0.0,0.0,0.9712988814800894,0.4989243945221081,0.6993489888513029,0.9854405038274251,0.6657098868301183,0.8230787124239112,0.5991366916867055,0.7231907549511668,0.9718342590332031,0.6536425418932253,0.5395475153144229,0.5965950286038242,836,364,0
15,val,0.12609494453916947,0.29157954395601626,0.07071802721669276,0.18147186179955802,0.0,0.0,0.0,0.9739280573187833,0.511588129879852,0.7729531449788073,0.9867918475627574,0.6768882604555984,0.8719386038687973,0.6422706374293297,0.7528231107258142,0.9743107604980469,0.676907875790719,0.5258067748410375,0.6013573253158783,741,459,0
20,val,0.11926615702609221,0.29022680301415293,0.0655815417257448,0.17295077284177143,0.0,0.0,0.0,0.9748778225808364,0.5244306449620936,0.7789926877605412,0.9872791232288319,0.6880347711392721,0.8757682851874616,0.6517116663613174,0.7594337184344905,0.9752786000569661,0.6928921603523983,0.5534710868751685,0.6231816236137835,672,528,0
25,val,0.11763003385315339,0.28856593841000605,0.06437843431408206,0.17088163336118062,0.0,0.0,0.0,0.9748604281451617,0.5185642631473533,0.8129719184642414,0.9872702032525661,0.6829665042592071,0.8968389528646483,0.6657680908057974,0.7687988699189189,0.9752922312418619,0.6890554309961809,0.6257524898808693,0.6574039604385251,620,580,0
30,val,0.11952227655798196,0.28150922373721476,0.07085189205904802,0.16819266160329183,0.0,0.0,0.0,0.9743799105837411,0.5284326815116035,0.7678613961468377,0.9870237286760661,0.6914700109513352,0.8686895905079874,0.6481470388292205,0.7568913294140608,0.9748299153645833,0.6989496171168387,0.6375243729879801,0.6682369950524094,578,578,44
35,val,0.1291759089504679,0.2484323451001393,0.0775786156890293,0.18077320198218028,0.0,0.0,0.0,0.9739651219678862,0.5466257323174184,0.7879261838144284,0.9868108723186765,0.7068623273173795,0.8813855862141213,0.6672759580659233,0.7695056793665777,0.9744260406494141,0.7257215184030712,0.6334754731610337,0.6795984957820524,543,543,114
40,val,0.12928027053674063,0.22518482510196536,0.07876139905303717,0.17979914287726084,0.0,0.0,0.0,0.9756011471746898,0.5569976311392887,0.8021044104176305,0.9876499095679292,0.7154765299568523,0.890186390733871,0.6795510207784596,0.7782343962438697,0.9760591379801432,0.7364246663369587,0.6229489978438584,0.6796868320904086,514,514,172
45,val,0.1269584815452496,0.23096445634176857,0.07747689469407003,0.1764400678873062,0.0,0.0,0.0,0.9750058561916198,0.5535559831292448,0.8080874764766588,0.987344774836984,0.7126308792738149,0.8938588281705746,0.6808217298029517,0.7788831052658413,0.975564473470052,0.7264839094273692,0.6612551072738762,0.6938695083506227,489,489,222
