epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9811105620861054,0.9619342778858385,1.0170197012027105,0.9452014265457789,0.0,0.0,0.0,0.0,0.7273376015928179,0.04642708500952435,0.019039287080547522,0.8421487506809591,0.08873448647232172,0.037367130633585884,0.03273318604503594,0.2642679912276299,0.7242482757568359,0.07723822507260204,0.03634550433342014,0.05679186470301109,400,400,400
5,val,0.33185135275125505,0.2904343275647414,0.18817132900158565,0.4755313758055369,0.0,0.0,0.0,0.0,0.9691587370535721,0.5057120300593971,0.7182110570095024,0.9843378482566747,0.6717247653782082,0.8359986441473941,0.6119615435344498,0.7310272747074906,0.9698061116536458,0.6382041856867268,0.40760778490010685,0.5229059852934168,400,400,400
10,val,0.24519732475280762,0.2448051603216874,0.15072019395728906,0.3396744563182195,0.0,0.0,0.0,0.0,0.9720261937189352,0.5369343041590305,0.687638266136941,0.9858146882783992,0.6987082046461662,0.8149119155859952,0.6122862851479858,0.7321995880049689,0.9725277455647786,0.6825370788083998,0.4476485596193602,0.56509281921388,400,400,400
15,val,0.2239016673217217,0.23768350560414164,0.14053586406012375,0.307267471353213,0.0,0.0,0.0,0.0,0.9719320036518098,0.5380463450588366,0.7667008157288503,0.9857662453389816,0.6996490668663877,0.867946410510428,0.6523735803938435,0.7588930548131656,0.9725470479329427,0.6685807168845608,0.616125765617261,0.6423532412509109,400,400,400
20,val,0.2147425569097201,0.22448732821564926,0.13967620428651573,0.2898089083035787,0.0,0.0,0.0,0.0,0.9732893560982441,0.5420760772986568,0.809501869332214,0.9864638990631508,0.7030471262458627,0.8947234408008166,0.6757889733154354,0.7749557675763716,0.9738616689046224,0.6963446188776441,0.6024660893315605,0.6494053541046023,400,400,400
25,val,0.19691739248732726,0.2241322362893506,0.12319283321499824,0.27064195116360984,0.0,0.0,0.0,0.0,0.9752978448036291,0.5575759159112087,0.7740267200360024,0.9874944655757337,0.7159534379228214,0.8726212647127368,0.6658013179736055,0.7689668269169467,0.9755793762207031,0.720230030200956,0.5592418083106683,0.6397359192558121,400,400,400
30,val,0.19609637752175332,0.22651455865094536,0.11809240644176801,0.2605721652507782,0.0,0.0,0.135281832019488,0.0,0.9764803939120424,0.5698011871831806,0.788571363020207,0.9881002583377996,0.7259533141335182,0.8817890963977129,0.6791862751016938,0.7782843147051434,0.9769835917154948,0.7340617855335438,0.6232805044981157,0.6786711450158298,400,400,400
35,val,0.1978061847637097,0.21649283602049477,0.11930778643737237,0.26319071650505066,0.0,0.0,0.13113865772883096,0.0,0.974243595358841,0.5617362438346573,0.7964052374628519,0.9869537858946542,0.7193740249702867,0.8866654592787234,0.6790707406487546,0.7774616922187834,0.9750345102945963,0.7090031909018368,0.6206050569945138,0.6648041239481753,400,400,400
40,val,0.18550047541658082,0.2097204778539507,0.11271046852692962,0.2454015310605367,0.0,0.0,0.12888950765132903,0.0,0.9751645842913478,0.5717450683782145,0.7839518016808013,0.9874261537969188,0.7275290120275835,0.8788934778867665,0.6778484350295079,0.7769538181167879,0.9759012858072916,0.7339063591150973,0.5916128905444431,0.6627596248297702,400,400,400
45,val,0.18252078962822754,0.21212929761723467,0.10987552303820848,0.24271107832590738,0.0,0.0,0.1245497840642929,0.0,0.9733245964249451,0.554748332095896,0.8253269855456061,0.9864819991483497,0.7136181729785955,0.9043059047296216,0.6900376588207511,0.784466638022149,0.9742288462320964,0.7016129252818903,0.6707825244967299,0.6861977248893101,400,400,400
