epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9816076189279557,0.9662781734215585,1.0179696295658747,0.9452456108729045,0.0,0.0,0.0,0.0,0.6975008578801678,0.05064946727093868,0.017002430160339345,0.821797355379489,0.09641553886188252,0.03343636092916467,0.033825948715639015,0.2550509184371486,0.6944551340738933,0.0825967302958951,0.03365886078173261,0.05812779553881385,400,400,400
5,val,0.31655880202849707,0.29295598990038824,0.1745538943260908,0.45856370906035104,0.0,0.0,0.0,0.0,0.9681662846461642,0.4991354243399372,0.723412489789348,0.983825698264332,0.6658977117556999,0.8395117176825966,0.6112739570646426,0.7302380662584831,0.9686918640136719,0.6278135933646528,0.4038630869736312,0.515838340169142,400,400,400
10,val,0.24090449330707392,0.24548822288450442,0.15071400454888742,0.33109498143196103,0.0,0.0,0.0,0.0,0.9719862310499793,0.543589497911447,0.6764610010922073,0.9857941356238046,0.7043187306559814,0.8070107215753851,0.6100252495018271,0.7306789100178778,0.9724869028727213,0.6963158437274156,0.39970428741187886,0.5480100655696473,400,400,400
15,val,0.22966167939205964,0.23205576876276418,0.14702545582006374,0.3122979021072388,0.0,0.0,0.0,0.0,0.9723711953072102,0.5439153787120825,0.7508233857767197,0.9859920867032909,0.7045922156249403,0.8576803255842178,0.6473693822444011,0.755703319932004,0.9729815673828125,0.678569357565561,0.6024049736563406,0.6404871656109508,400,400,400
20,val,0.21939535349607467,0.2466164192086772,0.13703423989315827,0.30175646662712097,0.0,0.0,0.0,0.0,0.9729699966356733,0.5438297839300983,0.7815732972844022,0.9862998406410546,0.7045203941404486,0.8773967352067192,0.6627015406072503,0.7661243592833912,0.9736598459879557,0.6934142074402555,0.5868432029835142,0.6401287052118849,400,400,400
25,val,0.19929747017721336,0.21132081354919233,0.12542571696763238,0.27316922346750894,0.0,0.0,0.0,0.0,0.9746256298036234,0.5611628237308777,0.8010996247026947,0.9871497818050199,0.7189036469492744,0.889567255153841,0.6811312242167862,0.7789626927457319,0.975185801188151,0.7047455451784025,0.6396699800586321,0.6722077626185172,400,400,400
30,val,0.20829087552924952,0.22177378127449437,0.13571100699404876,0.2808707429965337,0.0,0.0,0.0,0.0,0.9769252657431391,0.5609629887032233,0.8124088170596194,0.9883279683573739,0.7187396405461807,0.8964962092577319,0.6866859028814214,0.7834323571686607,0.9772912851969401,0.7268009011190834,0.6184366282595299,0.6726187646893067,400,400,400
35,val,0.19428961599866548,0.2228822088555286,0.12123737788448731,0.26734185477097827,0.0,0.0,0.0,0.0,0.9739647909711234,0.5563856770026333,0.7814210138822476,0.9868107024259191,0.714971469120879,0.8773007703319926,0.6689033454424405,0.7705904939520014,0.9745141855875651,0.7016668410937774,0.6169523538664783,0.6593095974801279,400,400,400
40,val,0.1838163731743892,0.23463749140501022,0.11699472662682335,0.25063801983992257,0.0,0.0,0.0,0.0,0.9760272821653648,0.5704564497884285,0.785705769332257,0.987868225276543,0.7264849017179436,0.879994658499717,0.6780811095603427,0.7773965004286835,0.9766480000813802,0.7350093428031272,0.5504725857316412,0.6427409642673843,400,400,400
45,val,0.17556730039417745,0.22146008830321462,0.10991499011715253,0.24121961037317913,0.0,0.0,0.0,0.0,0.9743827096935262,0.5509325289077994,0.8152137098187,0.9870251647865929,0.7104532513684243,0.89820135823029,0.6830731193632498,0.7801763161400087,0.9750039672851563,0.724387610700979,0.5892998853360268,0.656843748018503,400,400,400
