epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9808823742469152,0.9583837374260551,1.0164019886652629,0.9453627544641495,0.0,0.0,0.0,0.7493330666959108,0.0519443386929745,0.019127423464680184,0.8567071428098357,0.09875872093672672,0.03753686344667985,0.03553588107882734,0.27346827628452186,0.7468359120686849,0.08303721953612289,0.034812565096719046,0.058924892316420965,400,400,400
5,val,0.3124743776520093,0.3090824386791179,0.15783589308460552,0.4671128604809443,0.0,0.0,0.0,0.9650793193179638,0.4916031601575092,0.6372945771319141,0.9822293785605782,0.6591607919436122,0.7784727147246495,0.5644488686447117,0.6979923522024624,0.965884272257487,0.6068121636401722,0.40631799175562033,0.5065650776978963,400,400,400
10,val,0.21042042436699074,0.25537438631842013,0.1284900802746415,0.2923507678508759,0.0,0.0,0.0,0.9720056596530564,0.5310076377251742,0.7400048687158381,0.9858041277874077,0.6936707886241043,0.8505779288560015,0.6355062532205062,0.7476727220313563,0.9724578094482422,0.6781411359189182,0.5303477969876972,0.6042444664533078,400,400,400
15,val,0.18966247385988633,0.2519384893147569,0.12044833045452834,0.25887661695480346,0.0,0.0,0.0,0.9754093543648293,0.5319058951058107,0.8064383677291111,0.9875516203358886,0.6944367755293105,0.8928490250601703,0.6691721314174609,0.7712512057332503,0.9758202107747396,0.6912685814996753,0.612731072304455,0.6519998269020651,400,400,400
20,val,0.18038457059611876,0.27254993821445267,0.11579355754579107,0.2449755835533142,0.0,0.0,0.0,0.9762776209852918,0.5204393370901669,0.8013855903109981,0.9879964339206143,0.6845907290009864,0.8897435336680403,0.6609124637005825,0.7660341827954856,0.9765800984700521,0.6819378418831237,0.6336983939554975,0.6578181179193106,400,400,400
25,val,0.16151611709346375,0.2635702012400878,0.10544178418194254,0.21759044965108235,0.0,0.0,0.0,0.9759949083468643,0.5509644538541874,0.7704928558087412,0.9878516429613584,0.7104797953106227,0.8703710419173522,0.6607286548314643,0.7658174060032642,0.9763150278727214,0.717813344333304,0.5884846063609434,0.6531489753471237,400,400,400
30,val,0.1556981375068426,0.26516628500662354,0.10172309519723058,0.20967317918936412,0.0,0.0,0.0,0.9778653316990396,0.537085469191338,0.8112145436960694,0.98880880920141,0.6988361804941129,0.8957685841464789,0.6741500064437037,0.7753884481954824,0.9781936645507813,0.7246251713387127,0.6784070583145343,0.7015161148266236,400,400,400
35,val,0.15077116440360744,0.2940529300586173,0.09684629040459791,0.20469603776931763,0.0,0.0,0.0,0.9767139158755334,0.5546459604610499,0.7947314280414336,0.988219800580423,0.7135334662260501,0.8856271368788737,0.6746886942512418,0.7753637681260056,0.9773703765869141,0.7254522089809133,0.6991774483823778,0.7123148286816456,400,400,400
40,val,0.14280549159894387,0.25127335167244863,0.09251086395233869,0.19310011943181357,0.0,0.0,0.0,0.9773619136673588,0.5559680667241156,0.8097946476680836,0.9885513692884602,0.7146265770024864,0.8949022461874359,0.6828813571960997,0.7810415426865194,0.9777248891194662,0.736587563939467,0.6682958947704936,0.7024417293549803,400,400,400
45,val,0.135012146042039,0.2802743801945134,0.08857942058704793,0.18144487122694652,0.0,0.0,0.0,0.9773693293545389,0.5609333701504592,0.7963997627170085,0.9885551625032799,0.7187153287604974,0.8866620662568718,0.6786665664337339,0.7782341540740022,0.9778118133544922,0.7447303507725477,0.65717583857232,0.7009530946724338,400,400,400
