epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1713781.6575,1.006318758977087,1.091964872678121,0.9441615831851959,0.0,0.0,0.0,0.0,,,,0.47477904169430846,0.052471494433586674,0.011995716863634938,0.6438646444946163,0.09971100350195326,0.02370705065988208,0.0322336056486108,0.17974875099717672,0.48285916646321614,0.12352516744593739,0.013989494569403392,0.0687573310076704,400,400,400
5,val,281721.06026041665,0.37247640678757116,0.35092170340319473,0.5571388647953669,0.0,0.0,0.0,0.0,,,,0.9707710737008123,0.43304167462740867,0.6916374386408279,0.9851687866291339,0.6043671754905519,0.8177135630156479,0.5623395566341183,0.6984833956563495,0.9712082163492839,0.5983656640148327,0.25119047171922476,0.42477806786702876,400,400,400
10,val,44365.15998697917,0.25655213272885274,0.19621836540599663,0.3052633394797643,0.0,0.0,0.0,0.0,,,,0.9746530131724744,0.539578214033776,0.7783588575538706,0.9871638274378124,0.7009429064601437,0.8753675943948701,0.6589685357938233,0.7641966949200403,0.97506716410319,0.6957585910601856,0.5447509488295751,0.6202547699448804,400,400,400
15,val,37310.153037109376,0.2626571176867736,0.2143498109653592,0.2886972995599111,0.0,0.0,0.0,0.0,,,,0.9756971828096512,0.5542168865118425,0.7832531400606977,0.9876991183660101,0.7131783103395327,0.8784542390140276,0.6687350132862702,0.7710557364607306,0.9761350504557291,0.7096145367646297,0.5443743980991459,0.6269944674318878,400,400,400
20,val,19888.886875,0.23593661600821897,0.13878201642384133,0.2429691078265508,0.0,0.0,0.0,0.0,,,,0.9776053353039703,0.5682218805807221,0.8177170380687093,0.9886758675776997,0.7246702620554001,0.8997187361323504,0.6929694593247158,0.7878480846511339,0.9780350748697917,0.7450967128164974,0.6172798229664701,0.6811882678914838,400,400,400
25,val,16994.75375325521,0.23137881822491946,0.12793159255137046,0.2314826907714208,0.0,0.0,0.0,0.0,,,,0.9764111780209112,0.5684719804170539,0.7999870293613296,0.9880648205993706,0.7248736190568074,0.8888808822641133,0.6842295048891918,0.7816233959330982,0.9768497721354167,0.7385403316199207,0.6366572896937447,0.6875988106568327,400,400,400
30,val,14219.858605143228,0.23265476328761955,0.11576942774777611,0.21350544452667236,0.0,0.0,0.0,0.0,,,,0.9765376853706538,0.5700300683409536,0.8037027610205291,0.9881295890268106,0.7261390464238724,0.8911698516952945,0.6868664146807413,0.7834235049107122,0.9769880421956381,0.7515369917726579,0.6345950452148639,0.6930660184937609,400,400,400
35,val,12978.43650390625,0.29668913016978066,0.1121346592095991,0.21003969192504882,0.0,0.0,0.0,0.0,,,,0.9754525242963782,0.5745008033409795,0.6979522965279975,0.9875737455586967,0.7297561260329997,0.8221106069412933,0.6362265499344886,0.7493018747217851,0.9758930206298828,0.7465572004365147,0.66434022948774,0.7054487149621274,400,400,400
40,val,15660.058738606771,0.2628819693468119,0.12339806016534567,0.22684142212073008,0.0,0.0,0.0,0.0,,,,0.9770469922057179,0.5727867292784496,0.813897295422194,0.9883902568402412,0.7283717730009436,0.8974017409654444,0.6933420123503218,0.7879103389687873,0.9775539143880209,0.748675154185571,0.6611089674460167,0.7048920608157938,400,400,400
45,val,10238.025935872396,0.2403732263728192,0.0989610364412268,0.19081616123517353,0.0,0.0,0.0,0.0,,,,0.9770469253685083,0.579532060519681,0.7991281379929898,0.988390222641168,0.733802212699639,0.8883504416583179,0.6893300992563354,0.785235707960393,0.9774933624267578,0.7532282267813971,0.6046525740725371,0.6789404004269671,400,400,400
50,val,9766.670395507812,0.23758512774580404,0.09643516643593708,0.19019920845826466,0.0,0.0,0.0,0.0,,,,0.9770438165073239,0.5774291180856974,0.8200121653303832,0.9883886319053713,0.7321141868947385,0.9011062463766862,0.6987206417080403,0.7914950333078016,0.9775186157226563,0.7522357636188735,0.6654624275967349,0.7088490956078042,400,400,400
55,val,9142.10627766927,0.2402291550840202,0.09368282745281856,0.18581322650114696,0.0,0.0,0.0,0.0,,,,0.977062990357963,0.5782555727124946,0.8126300221838797,0.9883984426627277,0.7327781161813562,0.8966308758417371,0.6954427974481872,0.789316195084779,0.9775019836425781,0.7548963718311131,0.6743587456412382,0.7146275587361757,400,400,400
60,val,8699.066463216146,0.23670694330020955,0.09140464703241984,0.18360372742017111,0.0,0.0,0.0,0.0,,,,0.978312689570531,0.5874461811458975,0.8222854972669555,0.9890374708994173,0.7401147681389106,0.9024771348948456,0.7048658392064265,0.7960147893277947,0.9787637837727865,0.7633665625335573,0.6702899082062399,0.7168282353698986,400,400,400
65,val,8347.683912760416,0.23377096947086484,0.08963242699081699,0.18419493873914083,0.0,0.0,0.0,0.0,,,,0.9775501686637816,0.584280921541008,0.8311057010835182,0.9886476552190898,0.7375976237505733,0.9077637632734461,0.7076933113122631,0.7976455970961026,0.9780667114257813,0.7557929447067477,0.6717917995639805,0.7137923721353641,400,400,400
70,val,7859.780187988281,0.23532699970038315,0.0878862548681597,0.18078516860802968,0.0,0.0,0.0,0.0,,,,0.9776807450326073,0.5869262872420207,0.8200698600626727,0.9887144297564444,0.7397020163577505,0.9011410804137312,0.7034980736523466,0.794892297445767,0.978153559366862,0.7616171913664944,0.6661875675467192,0.7139023794566068,400,400,400
75,val,7674.63993733724,0.23598037503267588,0.08678764316563804,0.1792773910363515,0.0,0.0,0.0,0.0,,,,0.9779842168893378,0.5863404074951816,0.8241637537745332,0.9888695860549963,0.7392365531695788,0.9036072031024468,0.7052520806348574,0.796162792719684,0.9784276072184245,0.7627203279750805,0.6774856096266058,0.7201029688008431,400,400,400
80,val,7389.3406909179685,0.23046060592720383,0.0856496752674381,0.18226506729920705,0.0,0.0,0.0,0.0,,,,0.9777702592899731,0.5879616641318953,0.8285015404947098,0.988760200733321,0.7405237511868038,0.906208195231331,0.7082316023133026,0.798077821305526,0.9782908884684245,0.7605433699850446,0.6825718852045624,0.7215576275948035,400,400,400
85,val,7245.842052408854,0.232290252454971,0.08478139024227857,0.17808113038539886,0.0,0.0,0.0,0.0,,,,0.9780916435206478,0.5890577812602414,0.8287578108359361,0.9889244987454883,0.7413925260704801,0.906361472170124,0.7089077960480887,0.7986357452056084,0.9785894521077474,0.7626571725164137,0.6863861349926211,0.7245216537545174,400,400,400
90,val,7240.5086067708335,0.23155091585297333,0.08484704408794641,0.17964536666870118,0.0,0.0,0.0,0.0,,,,0.97779140935412,0.5875749585807314,0.829454684255649,0.9887710147082029,0.7402169647548671,0.9067780594883985,0.7085148214181902,0.7982736840635002,0.9783130645751953,0.7607999922804581,0.6867105984400627,0.7237552953602604,400,400,400
