epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1515506.0304166668,0.9654269453726316,1.0184452299276987,0.945852330327034,0.0,0.0,0.0,0.0,,,,0.7209213661882317,0.04715132314073188,0.013353484451650813,0.8378318502547761,0.09005636931119072,0.02635503732219699,0.030252403796191346,0.2604753912602048,0.7176358032226563,0.07478625971459203,0.032420450100164505,0.05360335490737827,400,400,400
5,val,221260.54533854168,0.4065831727103183,0.3405984169244766,0.578853200674057,0.0,0.0,0.0,0.0,,,,0.966943836133668,0.4341356710406147,0.46103797851414735,0.9831941495943732,0.6054318009196495,0.6311101905550953,0.447586824777381,0.6207058285628101,0.9677166493733724,0.5776258030495367,0.09538601641598318,0.33650590973275996,400,400,400
10,val,33410.0720703125,0.24566125673683067,0.17608629743258158,0.32042507092158,0.0,0.0,0.0,0.0,,,,0.9725120428443067,0.5327097805511588,0.7815955160414615,0.9860644921001057,0.6951215256936608,0.8774107354940964,0.6571526482963101,0.7622724464789757,0.9731758371988932,0.6908938036896943,0.5624494174083743,0.6266716105490343,400,400,400
15,val,24272.153587239583,0.25314464027944367,0.17183659105251234,0.2931204444169998,0.0,0.0,0.0,0.0,,,,0.9746664915612488,0.5530764494965651,0.7866010295467464,0.9871707407063349,0.7122333864193828,0.880555889689937,0.6698387395216557,0.7714479902015201,0.975390625,0.7184541098779629,0.5910456189942739,0.6547498644361184,400,400,400
20,val,14191.577778320312,0.24836911398329234,0.12431888001039625,0.25136835912863414,0.0,0.0,0.0,0.0,,,,0.9762690222166195,0.5652432505603882,0.7909581069808135,0.9879920306817523,0.7222433322846399,0.8832792949179654,0.6781006787706008,0.7774901265859403,0.9768954213460287,0.7332931168335192,0.559300089494391,0.6462966031639551,400,400,400
25,val,11406.621193033854,0.22052708346592753,0.11371093422795335,0.23724618732929229,0.0,0.0,0.0,0.0,,,,0.9744625127313659,0.5591373115307715,0.807339085627073,0.9870661067992084,0.717239344342041,0.8934007924107493,0.6832381985789222,0.7803129699630702,0.9752056630452474,0.7260016471311491,0.5954265761415727,0.6607141116363608,400,400,400
30,val,9723.761775716146,0.21956430571643928,0.10575888284792502,0.2213383718331655,0.0,0.0,0.0,0.0,,,,0.9761466043778265,0.5665478051883349,0.8145989670740519,0.9879293390635441,0.7233073938911464,0.8978280951934532,0.6905733861311933,0.7857644588800712,0.9767482248942058,0.7411059373180852,0.6227562743082427,0.6819311058131639,400,400,400
35,val,8857.296640625,0.20942703399219012,0.10097787845879794,0.21389384269714357,0.0,0.0,0.0,0.0,,,,0.975483584506698,0.5708889027509201,0.8252779034764988,0.987589663773681,0.7268354900861378,0.9042764413075299,0.6980834031137094,0.7905501302447057,0.9761695861816406,0.731524880050116,0.641662524444075,0.6865937022470955,400,400,400
40,val,8857.253118489583,0.21429404714389852,0.10220180246978998,0.218688006401062,0.0,0.0,0.0,0.0,,,,0.9763407932212924,0.5769993520087471,0.8166543869702675,0.9880287818478185,0.7317686608732946,0.8990751271431944,0.6968268694895072,0.7899981774001024,0.977006352742513,0.7324686586724914,0.646602292964225,0.6895354758183583,400,400,400
45,val,7519.713279622396,0.20826691800826475,0.09631447847932577,0.2093183606863022,0.0,0.0,0.0,0.0,,,,0.9764114840595045,0.5751959239189102,0.8207781520324581,0.9880649772930659,0.7303166738622424,0.9015685421271756,0.6979870379756841,0.7907951866702909,0.9769752502441407,0.7390843628909477,0.6371336437653534,0.6881090033281505,400,400,400
50,val,7010.841866861979,0.20784374306860723,0.09452581725393733,0.20848681092262267,0.0,0.0,0.0,0.0,,,,0.9755601521038437,0.5717768534332823,0.8088201515963556,0.9876289021773752,0.7275547444083197,0.8943068783068783,0.690298502514819,0.785385719044494,0.9761838022867838,0.7366119920760491,0.6133495386246093,0.6749807653503292,400,400,400
