epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,2652537.2641666667,0.9669049648862136,1.0191272795200348,0.9457683074474335,0.0,0.0,0.0,0.0,,,,0.7005708959751811,0.04493979248947017,0.013012618209303935,0.8239243628516215,0.08601412791909353,0.025690930153083897,0.028976205349387052,0.2528411022246517,0.6967427825927734,0.0695715353658799,0.0306925280817987,0.0501320317238393,400,400,400
5,val,435796.475625,0.4437310821131656,0.4056372681756814,0.615204685330391,0.0,0.0,0.0,0.0,,,,0.9659042961620821,0.4085961330243397,0.3286317032583606,0.9826564782911961,0.5801466061773995,0.4946919487957697,0.36861391814135014,0.5677107108149274,0.9665786743164062,0.5622267462820167,0.06588435024485474,0.31405554826343574,400,400,400
10,val,74395.80752604167,0.27208663836905833,0.24302552375942468,0.370236799120903,0.0,0.0,0.0,0.0,,,,0.9721380729125555,0.5276430784072241,0.7488815968752839,0.9858722229086645,0.6907936622962529,0.8564120043498726,0.638262337641254,0.7495542493983546,0.9727527618408203,0.6736543981462293,0.4805919018905254,0.5771231500183773,400,400,400
15,val,46940.75568359375,0.2466026270075848,0.19803928580135108,0.2937193818887075,0.0,0.0,0.0,0.0,,,,0.9757707422072407,0.5547253830287733,0.7853984562211109,0.9877368070722156,0.7135991848902706,0.8798018767008994,0.6700619196249421,0.7719648604857082,0.9761922454833984,0.7201598226577609,0.5890622512387557,0.6546110369482583,400,400,400
20,val,38138.048336588545,0.2544282980655369,0.1845549281189839,0.28394885996977487,0.0,0.0,0.0,0.0,,,,0.9779167718491285,0.5598669325732741,0.7998994196513886,0.9888351074902781,0.7178393501164556,0.8888267987844745,0.6798831761123314,0.7792277080245972,0.9782773844401041,0.7408728471345023,0.4842574600793303,0.6125651536069163,400,400,400
25,val,29871.112252604165,0.2292051425105647,0.17456661144892374,0.2807896339893341,0.0,0.0,0.0,0.0,,,,0.9769664062110999,0.5666248121759685,0.8184462280400907,0.9883490211484957,0.7233701493453983,0.9001599447042288,0.6925355201080297,0.7873458154757197,0.9774097951253256,0.7383731858305819,0.5867971848670089,0.6625851853487954,400,400,400
30,val,25712.88849934896,0.22420639250623553,0.1592407863525053,0.2564727153380712,0.0,0.0,0.1769890316327413,0.0,,,,0.9777523169343977,0.5712861725131363,0.8238069438365594,0.9887510266704744,0.7271573854677452,0.903392704606771,0.6975465581748479,0.7909484777613645,0.9781236012776693,0.7486077972994658,0.6099591718020491,0.6792834845507574,400,400,400
35,val,24338.80498697917,0.2308698580845406,0.1604249661291639,0.26080151995023093,0.0,0.0,0.1728238966067632,0.0,,,,0.977641563553325,0.5787253322976992,0.81324568591584,0.9886943939393635,0.7331551859694481,0.8970055103206638,0.6959855091067696,0.7898708605889547,0.9782081095377604,0.7498300987239024,0.6129642664216296,0.681397182572766,400,400,400
40,val,22877.393053385418,0.22591540962457657,0.15212865271915993,0.2538017421960831,0.0,0.0,0.16720554848512015,0.0,,,,0.9780633056757535,0.5802516866825413,0.8396418146737248,0.988910014021643,0.7343788227819291,0.9128318436517404,0.7099467506781331,0.7993189356773399,0.9785256703694661,0.7488183218346645,0.6409754174746807,0.6948968696546726,400,400,400
45,val,20698.373064778647,0.24477781218133474,0.14960992650439342,0.24630440413951873,0.0,0.0,0.1643345332145691,0.0,,,,0.9764340437085358,0.577153751009224,0.8025345725300538,0.9880765278424138,0.7318928172220395,0.8904512398934008,0.6898441617696389,0.7853741224159378,0.9770249176025391,0.7448991037018784,0.6467347009625872,0.6958169023322328,400,400,400
50,val,18792.780205078125,0.20940176554416357,0.14240269024545948,0.23945312559604645,0.0,0.0,0.1595328539609909,0.0,,,,0.9768781305684726,0.575364193530449,0.8429130147323863,0.9883038468209072,0.730452292737512,0.9147615845067845,0.7091386041314176,0.7983851129437692,0.977470932006836,0.7505530054658152,0.6697519485286357,0.7101524769972254,400,400,400
55,val,18043.53663736979,0.2123330549189919,0.14319168249766032,0.23488581935564676,0.0,0.0,0.15660981555779774,0.0,,,,0.9776207133439636,0.5799533703388186,0.8526948559887566,0.9886837316655148,0.7341398565635496,0.9204914163090129,0.7163241131637876,0.803422979890513,0.9782049814860027,0.7547789223991966,0.7023405407789755,0.728559731589086,400,400,400
60,val,17529.750209960937,0.2221658608238948,0.13632236942648887,0.23130855917930604,0.0,0.0,0.15829792122046152,0.0,,,,0.9782356010630353,0.5822838066142615,0.8179494778816583,0.9889980753934116,0.7360042543318703,0.8998594161535921,0.7001166422479599,0.792822961852985,0.9786235046386719,0.7566267190823908,0.6409594568882888,0.6987930879853398,400,400,400
65,val,16509.588151041666,0.21750723452944504,0.13418206283822656,0.2368395201365153,0.0,0.0,0.1488371807336807,0.0,,,,0.9777503345427284,0.5821519541679184,0.8263069173097779,0.9887500130483275,0.7358989161999706,0.9048938154677315,0.7042294357388481,0.7954030686734749,0.9781409200032553,0.7562812107750899,0.6938133338274972,0.7250472723012935,400,400,400
70,val,15853.433098958334,0.20813974169524094,0.13810578626890976,0.22986495991547903,0.0,0.0,0.15412993232409158,0.0,,,,0.977945246352696,0.5847695050513626,0.8398900879257784,0.9888496642220138,0.7379868216638988,0.9129785452267296,0.7123297964885704,0.8008682797766123,0.9783481089274089,0.760375667187932,0.691897212579019,0.7261364398834755,400,400,400
75,val,15504.601765950521,0.2226153972901796,0.1351817200705409,0.22391310095787048,0.0,0.0,0.14936485131581625,0.0,,,,0.977843720974289,0.5826029106294451,0.831530851189558,0.9887977605152762,0.736259116821323,0.9080173021923037,0.7070668809095015,0.797325827597764,0.9783022054036459,0.758515725133304,0.6234107423406636,0.6909632337369838,400,400,400
80,val,15211.63053873698,0.21180810798939906,0.13146445619563263,0.23152358452479044,0.0,0.0,0.15146402696768443,0.0,,,,0.9778380326877489,0.5862417783323474,0.8298958977934092,0.988794852285182,0.739158161561823,0.9070416506142717,0.7080688380628783,0.7979919029378353,0.9783162434895833,0.7596743402601674,0.6702476730803525,0.71496100667026,400,400,400
85,val,14744.604291992187,0.21936506425079547,0.13093003270526726,0.2298508067925771,0.0,0.0,0.1500023372968038,0.0,,,,0.9777843201613873,0.5855313758793319,0.8194650495637836,0.9887673900474648,0.7385932373045568,0.9007758074388406,0.7024982127215578,0.7942602485348343,0.9782240295410156,0.7607912238534098,0.6592402676606378,0.7100157457570238,400,400,400
90,val,14751.753240559896,0.22070309951117165,0.12926042472322782,0.2242762307325999,0.0,0.0,0.14769975324471793,0.0,,,,0.9776946455928933,0.5842828882871639,0.818199745609797,0.9887215377475931,0.7375991909107308,0.9000108459869848,0.7012413169484805,0.793392426496618,0.9781401062011719,0.7590360836308933,0.6605792087708345,0.7098076462008639,400,400,400
91,val,14589.621673177084,0.21862027794122696,0.1280640402560433,0.22922678569952648,0.0,0.0,0.14646404604117075,0.0,,,,0.977685049943616,0.584458273174468,0.8168997815037865,0.9887166310646783,0.7377389270132102,0.8992238205099746,0.7006790273391272,0.7930143682072902,0.9781275431315104,0.7587597986153272,0.6625253392890027,0.7106425689521649,400,400,400
92,val,14255.446350911458,0.21828939844118922,0.1301275465389093,0.22031444013118745,0.0,0.0,0.14645857373873392,0.0,,,,0.9775946122001593,0.5842672330810174,0.8193857163686805,0.9886703838786688,0.7375867162824021,0.9007278764440295,0.7018264747248489,0.793749187216619,0.9780481974283854,0.757720291266027,0.6687489616084882,0.7132346264372575,400,400,400
93,val,14568.914651692709,0.21752661348957764,0.13025863716378808,0.22706572274367015,0.0,0.0,0.14827233453591665,0.0,,,,0.9776159771510566,0.5847478878689795,0.8181325425426408,0.9886813096639775,0.7379696068316502,0.8999701874303293,0.7014402152058101,0.7934988025208923,0.9780673980712891,0.7592781982716126,0.6698536191547749,0.7145659087131937,400,400,400
94,val,14567.13124186198,0.2177329283011587,0.13019490266839664,0.22554601033528646,0.0,0.0,0.1496160238981247,0.0,,,,0.9776875511835518,0.5850123389522074,0.8196133828704131,0.9887179100646635,0.7381801700533602,0.9008654152427535,0.7023128609113103,0.7941044243353907,0.9781380462646484,0.7583050952432839,0.6757740148238143,0.7170395550335491,400,400,400
95,val,14715.11591796875,0.2167681485022369,0.12850899575899044,0.2262317430973053,0.0,0.0,0.14787653903166453,0.0,,,,0.9777062819567439,0.5853155834549024,0.8202505667393433,0.9887274878748938,0.7384215351990867,0.9012501704187649,0.7027830750971229,0.7944241440503298,0.97815673828125,0.7599938370394674,0.671404708347172,0.7156992726933198,400,400,400
96,val,14316.61318684896,0.21722157064237094,0.12942784859488407,0.23157061457633973,0.0,0.0,0.14616303662459054,0.0,,,,0.977699312995554,0.5850769710783355,0.8203542261143363,0.9887239243812711,0.7382316212446198,0.9013127383074616,0.7027155985963358,0.7943768367294086,0.9781487528483073,0.7592265217054763,0.6707866986663963,0.7150066101859363,400,400,400
97,val,14466.42275390625,0.21791958181481613,0.13007899136592946,0.2351383876800537,0.0,0.0,0.15011397302150725,0.0,,,,0.9778589443798337,0.5853841656469746,0.8203989996477911,0.9888055436495706,0.7384761098684078,0.9013397610156026,0.7028915826473828,0.7945473698915331,0.9782992808024088,0.7604791996144004,0.6664962019497231,0.7134877007820617,400,400,400
98,val,14415.977395833334,0.21802470186039022,0.1297012464205424,0.2244934493303299,0.0,0.0,0.14937137067317963,0.0,,,,0.9776770193502762,0.5845610314144097,0.8207512159686691,0.9887125246279812,0.7378207842112832,0.9015522920104339,0.7026561236915394,0.7943297555777851,0.9781278483072917,0.7586766563243084,0.6676854341261529,0.7131810452252306,400,400,400
99,val,14437.603325195312,0.21822683630805267,0.13451952675978343,0.23211325089136758,0.0,0.0,0.15003906190395355,0.0,,,,0.9777888717239712,0.5851798547406697,0.82075968750555,0.9887697172364671,0.7383135143821308,0.9015574028113451,0.7029697711231098,0.7945761379900637,0.9782336171468099,0.7600345018232154,0.6655092953068085,0.712771898565012,400,400,400
100,val,14266.665721028647,0.21828856025087207,0.12784965398410955,0.22868933121363322,0.0,0.0,0.14787321249643962,0.0,,,,0.977657665450101,0.5846204575190984,0.8215928221988948,0.9887026278914587,0.7378681181920212,0.9020597931508398,0.7031066398589967,0.7946236483893646,0.9781094614664714,0.7587985705197822,0.6673424600342281,0.7130705152770052,400,400,400
