epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1.1289761400222778,1.1150650570267124,1.3126011427243551,0.9453511408964793,0.0,0.0,0.0,0.0,,,,0.7408871616673192,0.05461306007673142,0.018681040499741904,0.851160463447546,0.10356985352098311,0.03667691800875651,0.03664705028823666,0.27139375408126415,0.7384620412190755,0.0912143549098358,0.03572511423042332,0.06346973457012955,400,400,400
5,val,0.8452747980753581,0.8553298523551539,1.0124266026417414,0.6781229960918427,0.0,0.0,0.0,0.0,,,,0.9645914360898348,0.4947068808143947,0.6473474717267232,0.9819766271705634,0.6619450103084458,0.7859270528374733,0.571027176270559,0.7022152628769843,0.965339101155599,0.5882050923572204,0.2547190661270279,0.42146207924212414,400,400,400
10,val,0.8220485524336497,0.8483520777601945,1.013202961285909,0.6308941419919332,0.0,0.0,0.0,0.0,,,,0.965509109667592,0.5220357332257136,0.591984743777376,0.9824519305645746,0.6859704037556879,0.7437065538363721,0.5570102385015447,0.6931765288902273,0.966206537882487,0.6587886429335162,0.2587725996619922,0.4587806212977542,400,400,400
15,val,0.8152879005670548,0.8407980046774212,1.0090742645661037,0.6215015379587809,0.0,0.0,0.0,0.0,,,,0.9695916710186702,0.5366226383330186,0.7062013095036316,0.984561099933164,0.6984442698503589,0.8278053774429229,0.621411973918325,0.7374718729517734,0.9703729756673177,0.6490501506584033,0.2724601578121857,0.4607551542352945,400,400,400
20,val,0.806882025996844,0.8392402184636969,1.0096815709273022,0.6040824804703394,0.0,0.0,0.0,0.0,,,,0.9720587054992456,0.5495410913984852,0.7579632194823672,0.9858314083536976,0.7092952803239515,0.8623197699273251,0.6537521554404262,0.759854338793366,0.9727412923177083,0.7020797784297996,0.36345501345655684,0.5327673959431782,400,400,400
25,val,0.8042567326625188,0.8434165261293712,1.0205280766884486,0.5879853860537211,0.0,0.0,0.0,0.0,,,,0.9702307610430968,0.5351818861172067,0.7268912439401275,0.9848904810819508,0.6972227733494077,0.8418494754558259,0.6310365650286671,0.744101297033477,0.970920181274414,0.6908277070964971,0.33043669345133986,0.5106322002739185,400,400,400
30,val,0.7935264809926351,0.8466164532460665,1.014632758696874,0.5724202022949855,0.0,0.0,0.0,0.0,,,,0.971391015552051,0.5360765514539927,0.7725586014298073,0.9854879198381973,0.6979815569042606,0.8716875152185487,0.6543175764419,0.7600087228119503,0.9720430246988933,0.694088064851928,0.46789587899356894,0.5809919719227484,400,400,400
35,val,0.7936445332566897,0.8432172254512185,1.0122234600782394,0.5750656062364579,0.0,0.0,0.0,0.0,,,,0.9723360721963775,0.551116177238388,0.7479498145113528,0.9859740293788695,0.7106059305236528,0.8558023900937287,0.6495329958748703,0.7571340213153728,0.9730843098958334,0.7082885294652226,0.3458796217925328,0.5270840756288777,400,400,400
40,val,0.790186429421107,0.8407301134184787,1.0133099144697189,0.5670629419883092,0.0,0.0,0.0,0.0,,,,0.972438558554251,0.550950514757279,0.7513358100135513,0.9860267173716423,0.7104682058066846,0.8580145574796848,0.6511431623854151,0.7582416277750271,0.9731404113769532,0.701868710894499,0.4216110979726306,0.5617399044335648,400,400,400
45,val,0.7860082513093949,0.8517527141069111,1.0150180957714716,0.5569984100262324,0.0,0.0,0.0,0.0,,,,0.9709643947123904,0.5414039316643723,0.7280813929966702,0.9852683258178052,0.7024815761041648,0.8426471067246462,0.6347426623305212,0.7468165731244776,0.9715851338704428,0.6997820792829166,0.3352965667688629,0.5175393230258898,400,400,400
50,val,0.7787816001971563,0.84766927675197,1.0163638391097387,0.5411993638674418,0.0,0.0,0.0,0.0,,,,0.9728036953900656,0.555156085797221,0.7628779507348015,0.986214388855067,0.7139554554906697,0.865491511101854,0.6590170182660112,0.7636125773073626,0.9735882568359375,0.7150342776152657,0.43283433686132944,0.5739343072382976,400,400,400
55,val,0.7810588187972705,0.84373508158483,1.0150668931007385,0.5470507415135701,0.0,0.0,0.0,0.0,,,,0.9714472854789946,0.5478294140098903,0.7566345953417954,0.9855168764940788,0.7078679459781733,0.8614592896533203,0.6522320046758429,0.7586370982768935,0.9722469838460287,0.7059175213339112,0.44525348397022646,0.5755855026520689,400,400,400
60,val,0.7742240758736928,0.8508237098392687,1.0169413288434346,0.5315068238973617,0.0,0.0,0.0,0.0,,,,0.972240533307326,0.5486345556521722,0.7448270040981693,0.9859249081317059,0.7085397308871585,0.8537545583014865,0.6467307798751707,0.7552340310192225,0.9729598744710286,0.701456336286679,0.4760016492810588,0.5887289927838689,400,400,400
65,val,0.7748916947841644,0.8526156779966856,1.0160720535119374,0.5337113336722056,0.0,0.0,0.0,0.0,,,,0.974284809184447,0.5570086026528573,0.8000192481381128,0.9869749335577497,0.715485581394755,0.8889007703285721,0.678513925395485,0.7771042199918057,0.974946543375651,0.7177567532783093,0.5273067129195186,0.622531733098914,400,400,400
