epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9871941755844068,0.9920854145480741,1.029725332803364,0.9446630153474929,0.0,0.0,0.0,0.0,,,,0.5965100592827697,0.040765002217856915,0.007231298944410827,0.7472675237019818,0.07833661226307037,0.014358765364001904,0.02399815058113387,0.21483545348167918,0.5936657768601001,0.06949586490021012,0.034141629773845585,0.05181874733702785,277,120,234
5,val,0.3731312589554847,0.345125275914387,0.2137348040749755,0.5325277145904831,0.0,0.0,0.0,0.0,,,,0.9644276071193155,0.47746724501702564,0.7170506253901637,0.9818917262454642,0.6463320884132677,0.8352119789446849,0.5972589352035946,0.7196484925088349,0.9655515882703993,0.5899329766809625,0.28153253894519964,0.4357327578130811,277,120,234
10,val,0.23130330481106723,0.25720603651897883,0.1323493104192275,0.3302572992029069,0.0,0.0,0.0,0.0,,,,0.9735790745610582,0.533294577650626,0.7680548769117103,0.9866126846501866,0.6956192051076849,0.8688133914183523,0.6506747272811682,0.7583095097077982,0.9743584113392404,0.6930795036820414,0.5192231915529721,0.6061513476175068,277,120,234
15,val,0.19957722454697271,0.2647357278613634,0.12004433723190162,0.27911011101324346,0.0,0.0,0.0,0.0,,,,0.9726590745160361,0.5357552210399348,0.7671685552988777,0.9861400655403815,0.6977091318981794,0.8682460459117076,0.6514618881694063,0.7585276169516163,0.9735470903598196,0.6846476377897127,0.5379050111751585,0.6112763244824356,277,120,234
20,val,0.18363324170814285,0.2731493530414438,0.11221416038755752,0.25505232282831697,0.0,0.0,0.0,0.0,,,,0.9748856361514702,0.5484500946143479,0.7613774988449898,0.9872831300259639,0.7083858840810018,0.8645250655742537,0.6549137967296689,0.7615710765369359,0.9756114515185679,0.7148674575581574,0.4823873969140907,0.598627427236124,277,120,234
25,val,0.18548169765102712,0.2500244097844247,0.11670427715193622,0.25425911817369584,0.0,0.0,0.0,0.0,,,,0.9752231848334182,0.5447023223934615,0.7799957353577904,0.9874561946433049,0.7052521569974266,0.8764018023908426,0.662349028875626,0.76664041419489,0.9759306145231252,0.7182625425332217,0.580492897228016,0.6493777198806189,277,120,234
30,val,0.16362804641263395,0.24293373220710343,0.10173099524565513,0.22552509775644616,0.0,0.0,0.0,0.0,,,,0.9752741797390375,0.5483738475293073,0.7799066219673919,0.9874823351033581,0.7083222807002723,0.876345547953897,0.6641402347483496,0.7678515497452456,0.97596624937807,0.7224991882833075,0.5802927839198043,0.6513959861015559,277,120,234
35,val,0.1503530427153352,0.2686270246262191,0.09385348823440226,0.20685259790360172,0.0,0.0,0.0,0.0,,,,0.9752097572085644,0.5521945642719236,0.7821856274473501,0.9874493112941736,0.7115017369371311,0.8777824435355657,0.6671900958596368,0.7698633163092793,0.9760138038697281,0.7229009664731112,0.5284071222675163,0.6256540443703138,277,120,234
40,val,0.16053653315086908,0.24857796560372075,0.10109966775237382,0.21997339853757544,0.0,0.0,0.0,0.0,,,,0.9756535719453356,0.5558151739277013,0.7839278775161265,0.9876767726891048,0.7145002610104766,0.8788784427850727,0.6698715257219139,0.7717988744630544,0.9763826303042693,0.7275143793999376,0.583017706101137,0.6552660427505372,277,120,234
45,val,0.14268871342551104,0.2644002415159697,0.08995616325189042,0.19542126376417618,0.0,0.0,0.0,0.0,,,,0.9756764010782955,0.5605583583133925,0.7702157838304051,0.9876884701824503,0.7184074281198022,0.8701942337942631,0.6653870710718988,0.7688168477406977,0.976354232002403,0.7335080247821599,0.5313695182867453,0.6324387715344526,277,120,234
