epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9810075406233469,0.9628067691075174,1.0165684121847152,0.9454466696580252,0.0,0.0,0.0,0.0,,,,0.7255782854691769,0.05383630580148312,0.017793878638885104,0.8409682615725492,0.10217204608554178,0.03496558392094319,0.035815092220184114,0.26573615663651506,0.7232059478759766,0.08856540385749918,0.03470885315775582,0.0616371285076275,400,400,400
5,val,0.30581816474596657,0.2874453142285347,0.1649925674746434,0.4466437606016795,0.0,0.0,0.0,0.0,,,,0.9672503091579571,0.5179934461935112,0.6386142034278302,0.9833525552444514,0.68247125505373,0.7794564481278241,0.5783038248106707,0.7079526529264327,0.9679458363850911,0.6486682714561339,0.33320739783922765,0.4909378346476808,400,400,400
10,val,0.21777551407615345,0.23144398610058584,0.13508234072476624,0.30046868840853375,0.0,0.0,0.0,0.0,,,,0.972797209417665,0.5466860971075763,0.6997763750106151,0.9862110558285082,0.7069127965007534,0.8233746336264322,0.6232312360590957,0.7397532271786188,0.9733058166503906,0.694916689493672,0.4526051484713618,0.5737609189825169,400,400,400
15,val,0.20307394929230213,0.2680227452594983,0.12811368451764185,0.2780342145760854,0.0,0.0,0.0,0.0,,,,0.970004171000096,0.5303841687403721,0.6806494315137209,0.9847737231009636,0.6931385982343511,0.8099838297635649,0.6055168001270466,0.727012590418063,0.9705628712972005,0.6568180824339862,0.50581941235758,0.581318747395783,400,400,400
20,val,0.18956588856875897,0.23613075147333898,0.12225347883378467,0.2568782985210419,0.0,0.0,0.0,0.0,,,,0.9735845264976877,0.5515679825056137,0.745737782586252,0.9866154840861115,0.7109813926617528,0.8543525723335912,0.6486528825459328,0.7569634305298512,0.9741074371337891,0.7078662746774753,0.5783376978312488,0.6431019862543621,400,400,400
25,val,0.17589590060214202,0.23513545625303922,0.1125607835687697,0.23923101842403413,0.0,0.0,0.0,0.0,,,,0.9737013641443456,0.5498423716764698,0.7268550992553687,0.9866754736388118,0.7095461857604312,0.8418252342872236,0.6383487354659192,0.7501329450253947,0.9741248830159506,0.7035210924367344,0.6443765508595733,0.673948821648154,400,400,400
30,val,0.1320962373415629,0.26401503482147265,0.04562299681206544,0.21856947739919028,0.0,0.0,0.0,0.0,,,,0.9763432489661017,0.5636087831513598,0.7567839120198008,0.9880300392928839,0.7209076710549553,0.8615560591623531,0.6601963475855803,0.7655786480457542,0.9767035166422526,0.7448192315090686,0.6042115226983532,0.6745153771037109,400,400,400
35,val,0.11760699670761823,0.242162876223263,0.04405308458022773,0.19116090854008994,0.0,0.0,0.0,0.0,,,,0.9759766711411171,0.5611648741870934,0.7975953311974536,0.987842301374434,0.7189053295594994,0.887402539776449,0.6793801026922734,0.7782456255085547,0.9764070638020833,0.7294399662117694,0.6735173099823591,0.7014786380970643,400,400,400
40,val,0.1166730503241221,0.2516940957621524,0.04370314571385582,0.18964295427004496,0.0,0.0,0.0,0.0,,,,0.9766518735124384,0.5765393664786446,0.7712360020072417,0.9881880432258044,0.7313986301102038,0.8708449931384,0.6738876842429431,0.7748090806661082,0.9772517649332683,0.7448727502307463,0.5928219339676969,0.6688473420992216,400,400,400
45,val,0.11236013002693652,0.2400203335442041,0.042676013940945265,0.18204424599806468,0.0,0.0,0.0,0.0,,,,0.9752575804886494,0.5720961197218573,0.8013224641564662,0.9874738263223222,0.7278131566447416,0.8897046254643964,0.6867092919391617,0.7828920547889909,0.9760718536376953,0.7361457099237191,0.6713199309385887,0.7037328204311539,400,400,400
50,val,0.10841834905246893,0.24941674306204445,0.04090007694748541,0.17593662142753602,0.0,0.0,0.0,0.0,,,,0.9771559222733095,0.5798532240717755,0.7964002572069939,0.9884459907944818,0.7340596141929091,0.8866623727222357,0.6881267406393847,0.7844698011840263,0.9778634389241536,0.7476964582841708,0.6434999973271822,0.6955982278056765,400,400,400
55,val,0.10252824880182743,0.27953581551187917,0.03890673958075543,0.16614975770314536,0.0,0.0,0.0,0.0,,,,0.9754028178484886,0.5692437271466397,0.7907369334559318,0.9875482701911393,0.725500720250381,0.8831413689892391,0.6799903303012858,0.7784611594836868,0.9760301208496094,0.739654410172057,0.6764002595308136,0.7080273348514353,400,400,400
60,val,0.10459307434658209,0.23937688552235303,0.03688919024231533,0.16441111067930858,0.0,0.0,0.07885848005612692,0.0,,,,0.9766515438412325,0.5781299748638459,0.8215611018466804,0.9881878744731131,0.7326772624209541,0.902040673808625,0.6998455383552631,0.7921142068505862,0.977392832438151,0.7454836832379234,0.6535469797589976,0.6995153314984605,400,400,400
65,val,0.10214522089809179,0.2595396883001453,0.036323063761616745,0.16079017440478008,0.0,0.0,0.07177203595638275,0.0,,,,0.9770586616072827,0.5798533476806897,0.8016859058905098,0.9883962277709722,0.734059713241037,0.8899285977310953,0.6907696267855998,0.7861993050594941,0.977748514811198,0.7481557350996147,0.6418417644707485,0.6949987497851816,400,400,400
70,val,0.09932815461109082,0.2439855817509325,0.035561866896847885,0.15618813395500183,0.0,0.0,0.06906308571497599,0.0,,,,0.9767599431501279,0.5814898627160731,0.8183300840203074,0.9882433590733141,0.7353696997050796,0.9000896935181194,0.6999099733681902,0.792193296628836,0.9774675750732422,0.7509407926448466,0.6623425155041364,0.7066416540744915,400,400,400
75,val,0.09776645947247743,0.2623628832791981,0.034793798768272,0.15406612773736317,0.0,0.0,0.06672992626825969,0.0,,,,0.976471392302988,0.5775648645508414,0.803375030987955,0.9880956497581296,0.7322232860647332,0.8909683423395706,0.6904699477693983,0.785803762613928,0.9772007497151692,0.7436068180708361,0.6823572769532262,0.7129820475120312,400,400,400
80,val,0.09759500005592903,0.2507615758008079,0.03441426649379233,0.15421252091725668,0.0,0.0,0.06563212653001149,0.0,,,,0.9771952551896363,0.5853577394039209,0.8133879199501464,0.9884661139305757,0.7384550815944037,0.897092024273006,0.6993728296770336,0.7919803048479013,0.9779142506917318,0.7542024590409606,0.6681064072605964,0.7111544331507785,400,400,400
