epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.9809250678618749,0.9613030756774702,1.0164404326677323,0.9454097048441569,0.0,0.0,0.0,0.0,,,,0.7361775330799044,0.052568987871099926,0.01766993393586501,0.8480440727440552,0.09988701638915785,0.034726257201145916,0.03511946090348247,0.2688054849622898,0.7337670135498047,0.08567670471064807,0.035443679712255496,0.060560192211451785,400,400,400
5,val,0.31805790970722836,0.2977573052048683,0.1761376868436734,0.4599781308571498,0.0,0.0,0.0,0.0,,,,0.9689298136888341,0.5049206311042344,0.7171506926141741,0.9842197593356793,0.6710262596822123,0.8352798571479951,0.6110356618592042,0.7303337124690809,0.9695586395263672,0.6365732412523055,0.41485630243909666,0.5257147718457011,400,400,400
10,val,0.21206967147688072,0.24939444367038577,0.1331735393529137,0.29096580346425377,0.0,0.0,0.0,0.0,,,,0.9728958420974984,0.5454810240151039,0.7287352505844434,0.9862617390517252,0.7059045249199681,0.8430848510066254,0.6371081372997737,0.7490373722323486,0.9733757527669271,0.6951485330080278,0.48992878997228173,0.5925386614901548,400,400,400
15,val,0.18720758393406867,0.23013725876808167,0.1164846392472585,0.2579305283228556,0.0,0.0,0.0,0.0,,,,0.9716635218905881,0.5412157454823378,0.7716960487679614,0.9856281369539968,0.7023231459563882,0.8711381947310876,0.6564558971251495,0.7615251053802957,0.9724156188964844,0.6863517398581517,0.5801163144776887,0.6332340271679202,400,400,400
20,val,0.1945728234698375,0.2433374951544561,0.12487343856443961,0.2642722084124883,0.0,0.0,0.0,0.0,,,,0.9718319852945263,0.5361513935053883,0.7833318730684679,0.9857147997823626,0.6980449918831619,0.8785037545710856,0.6597416332869281,0.7637717506227942,0.9726280975341797,0.6901673958603034,0.5686722146686762,0.6294198052644898,400,400,400
25,val,0.16758281223475932,0.21879011157311892,0.10522091372559468,0.22994471073150635,0.0,0.0,0.0,0.0,,,,0.9755248870976089,0.5669832475926658,0.8099592436983051,0.987610830386273,0.7236621686463007,0.8950027427615536,0.6884712456454855,0.7841557927961933,0.9761604817708334,0.7148426970287827,0.6385125295528259,0.6766776132908043,400,400,400
30,val,0.1293401400744915,0.2398834730449476,0.05167692734549443,0.2070033532381058,0.0,0.0,0.0,0.0,,,,0.9769836402095874,0.5729833416912609,0.7678230479784728,0.9883578400335308,0.7285307180369668,0.8686650497700975,0.6704031948348668,0.7725966766264403,0.9774296061197917,0.7501715893616471,0.6073458205956709,0.678758704978659,400,400,400
35,val,0.13369859990974267,0.25119957955260025,0.054982589290787774,0.21241461078325907,0.0,0.0,0.0,0.0,,,,0.975484955476391,0.5632177314157307,0.7651504643008515,0.9875903663778107,0.7205876956188971,0.8669521151602401,0.6641840978582911,0.7679510503976577,0.9759157053629557,0.729286163073844,0.6642508651543054,0.6967685141140747,400,400,400
40,val,0.12765383570144573,0.2525863784708475,0.05315437604362766,0.20215329547723135,0.0,0.0,0.0,0.0,,,,0.9753234002665733,0.5645672348233042,0.7360265530612694,0.9875075647207457,0.7216912412039155,0.8479438886039814,0.6502968939422868,0.758639062717049,0.9757435353597005,0.7454468953368528,0.5167962328814855,0.6311215641091692,400,400,400
45,val,0.11884270197401445,0.24692542321587863,0.0505513192464908,0.18713408470153808,0.0,0.0,0.0,0.0,,,,0.9751603292292753,0.5634288373142325,0.7850352421802493,0.9874239724223212,0.7207604514729689,0.8795739418807262,0.674232039747241,0.7745414695745857,0.9756278991699219,0.7385810670107023,0.6874575737188128,0.7130193203647575,400,400,400
