epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1558628.1758333333,1.0051289624289463,1.091511886914571,0.9440602868795395,0.0,0.0,0.0,0.0,,,,0.4878167504072167,0.05270911946942192,0.012337552399720987,0.6557484317523659,0.10013995033307577,0.02437438455281072,0.03252333593457145,0.18428780742545323,0.4952101135253906,0.1236055707909959,0.013831641526701924,0.06871860615884892,400,400,400
5,val,221947.85572916668,0.39890637758531067,0.32337955468644697,0.5366351532936097,0.0,0.0,0.0,0.0,,,,0.9690671953025128,0.43544986401468466,0.48893612168088835,0.9842906302175559,0.6067085656294715,0.6567590302382067,0.4621929928477865,0.6311510603326953,0.9695294952392578,0.5928290209721249,0.18058698524323755,0.3867080031076812,400,400,400
10,val,31509.954296875,0.24201584803430656,0.20214245788753032,0.3254646329085032,0.0,0.0,0.0,0.0,,,,0.9737777446736453,0.5389647762356271,0.8007189356834687,0.9867146869007328,0.7004250968679838,0.8893324991660103,0.6698418559595479,0.771153818864247,0.9743294016520182,0.687109417148908,0.5749002193610743,0.6310048182549912,400,400,400
15,val,27268.836901041668,0.26120584830641747,0.22849405597895384,0.30548778335253396,0.0,0.0,0.0,0.0,,,,0.9754940466210499,0.5502849640534138,0.7582510249807963,0.9875950254464871,0.709914598687231,0.8625059951141822,0.654267994517105,0.7613433452184198,0.9759078725179037,0.7142292970659707,0.5386553134289527,0.6264423052474617,400,400,400
20,val,13518.986274414063,0.2659672349691391,0.1486942367379864,0.2689815330505371,0.0,0.0,0.0,0.0,,,,0.9768338048289232,0.5669529104384304,0.7664416547443932,0.9882811619699707,0.7236374579754258,0.8677803228720832,0.6666972825914118,0.770076123337249,0.9771537780761719,0.7346720431458337,0.5398346378011244,0.637253340473479,400,400,400
25,val,11408.022202148437,0.22229073627998955,0.1404147232013444,0.25859007795651756,0.0,0.0,0.0,0.0,,,,0.9770869263776686,0.5750360020613889,0.7941718790905992,0.9884106898302586,0.7301877561005443,0.885279597061945,0.684603940575994,0.7820982691765522,0.9774976094563802,0.7481344328959393,0.6032570460724922,0.6756957394842158,400,400,400
30,val,10276.609104817708,0.22566371352264755,0.1346493305452168,0.24278241256872812,0.0,0.0,0.0,0.0,,,,0.977349164487388,0.5776799046003058,0.7979767008037412,0.9885448478602493,0.7323157288317709,0.8876385332991527,0.6878283027020236,0.7843352566304783,0.9777360280354818,0.7496873035626791,0.5811295178334903,0.6654084106980847,400,400,400
35,val,9070.541954752603,0.22022265744836708,0.1290545635484159,0.2473333607117335,0.0,0.0,0.0,0.0,,,,0.9769535633551543,0.5788921346609396,0.8177712861997462,0.9883424491743079,0.7332890220334832,0.8997515720576579,0.6983317104303428,0.79120566140528,0.9773838297526042,0.7439322601239983,0.6042765321022004,0.6741043961130994,400,400,400
40,val,8114.658411458333,0.20893552330763718,0.12849741098160544,0.23701421439647674,0.0,0.0,0.0,0.0,,,,0.9781844688747123,0.5871005645017339,0.8248698699389212,0.988971942976735,0.739840407890035,0.9040314419422463,0.7059852172203276,0.7967183011051224,0.9785924784342448,0.7609479619646375,0.6541024179465167,0.7075251899555771,400,400,400
45,val,7465.791441243489,0.21508289442250603,0.12119957124193509,0.23726843416690827,0.0,0.0,0.0,0.0,,,,0.9769929831581662,0.5762112796188812,0.8243738745788027,0.9883626208904995,0.7311345719568836,0.9037334792673763,0.700292577098842,0.7925260457852833,0.977458750406901,0.7479248203798968,0.6333249211484508,0.6906248707641738,400,400,400
50,val,7138.843986002604,0.20574519175447917,0.12095182228833437,0.23516915500164032,0.0,0.0,0.0,0.0,,,,0.9779038037757365,0.5861425259273506,0.8398480652238179,0.9888284778147032,0.7390792647522741,0.9129537173186637,0.7129952955755843,0.8012981316423017,0.9783824920654297,0.7572209914017192,0.6458701050953809,0.70154554824855,400,400,400
55,val,6680.777123209636,0.20539340063145287,0.12000725208471219,0.22799489855766297,0.0,0.0,0.0,0.0,,,,0.9777593468141331,0.5849256649477096,0.8371812223541899,0.9887546211212739,0.7381111655694056,0.9113757664923378,0.7110534436509497,0.7999554113720109,0.9782145182291667,0.7629527760979091,0.6648163226596174,0.7138845493787633,400,400,400
60,val,6285.838708496094,0.2013415627573666,0.1188695546425879,0.23209223767121634,0.0,0.0,0.1253301703929901,0.0,,,,0.9781995350432191,0.5889690907548051,0.8448186853818141,0.9889796430690675,0.7413222751551802,0.9158826198759643,0.7168938880683096,0.8039957703932794,0.9786844889322917,0.7653502917160359,0.6717185525183584,0.7185344221171972,400,400,400
65,val,6032.623846842448,0.20105165752925372,0.11604544112458826,0.2340655783812205,0.0,0.0,0.12023714919885,0.0,,,,0.9785399400729218,0.5927167974082134,0.8563103630134504,0.9891535877075662,0.7442839786366615,0.9225939585052522,0.7245135802108319,0.8091890334981953,0.9790906524658203,0.7695860627585117,0.6449807518238109,0.7072834072911613,400,400,400
70,val,5797.579632161458,0.20034638890310338,0.11595018285016219,0.23010194142659504,0.0,0.0,0.12133359690507253,0.0,,,,0.9784140363333617,0.5933111007071769,0.8481413654365135,0.9890892587344133,0.7447523593400448,0.9178316997803797,0.7207262330718451,0.8066221674923506,0.9789668273925781,0.7697410354483086,0.6482649111026506,0.7090029732754797,400,400,400
75,val,5694.69344156901,0.20209330143897156,0.11443612273782491,0.2284201443195343,0.0,0.0,0.12013864060242971,0.0,,,,0.978477927260519,0.594617317422902,0.8456386432888756,0.989121904044044,0.7457805843772936,0.9163642583707193,0.7201279803558889,0.8062446293240989,0.9790005493164062,0.7673859113928865,0.6438123556398863,0.7055991335163864,400,400,400
80,val,5508.314899902343,0.1963120602855557,0.11412501749272148,0.23272641082604725,0.0,0.0,0.11841300666332245,0.0,,,,0.9785144699702485,0.5946520895304458,0.8514082412202852,0.9891405747312656,0.745807933196945,0.919741224290016,0.7230301653753655,0.8081916002403265,0.9790522257486979,0.7678520920943116,0.6672144061773814,0.7175332491358465,400,400,400
85,val,5372.158706868489,0.19913766101786964,0.1137296915675203,0.22619560102621714,0.0,0.0,0.11806231041749318,0.0,,,,0.9786156026863617,0.5949536762412954,0.8526060354495855,0.9891922426546093,0.7460450859530628,0.9204396608183103,0.7237798558454405,0.8087251047924141,0.97916140238444,0.7720750308632246,0.6515619526844095,0.7118184917738171,400,400,400
90,val,5480.7514347330725,0.1988634182826469,0.11465404198815425,0.22731936514377593,0.0,0.0,0.11773659765720368,0.0,,,,0.9785759995607191,0.5943285496672813,0.8538419119850711,0.9891720103528814,0.7455534178213281,0.921159357186814,0.7240852308261763,0.8089154870710238,0.9791292063395183,0.7725199430123801,0.649935211311793,0.7112275771620866,400,400,400
91,val,5386.549041341146,0.1973212769157008,0.11387541720022758,0.23039078732331594,0.0,0.0,0.1180074679851532,0.0,,,,0.97856213682002,0.594881035944781,0.854542339998765,0.9891649280146262,0.7459879734445314,0.9215668163168861,0.724711687971773,0.8093285042545221,0.9791117350260417,0.77236452835702,0.6585910823631869,0.7154778053601034,400,400,400
92,val,5325.566934407552,0.1975597315712979,0.11271005069836974,0.2193477690219879,0.0,0.0,0.11685335755348206,0.0,,,,0.9786126072032127,0.5947985106846833,0.8542737075800825,0.9891907123613154,0.745923082696287,0.9214105814992667,0.7245361091323829,0.8092282751559928,0.9791521708170573,0.7727838943231228,0.6582320309414841,0.7155079626323034,400,400,400
93,val,5367.543567708333,0.19824641805730367,0.11296133465444048,0.22996278762817382,0.0,0.0,0.11841488182544709,0.0,,,,0.9785920072332855,0.5947753418362712,0.8525708696404182,0.9891801883923256,0.7459048635043848,0.9204191684239331,0.7236731057383448,0.808646072903325,0.9791327412923178,0.7728737987594353,0.6569839258403108,0.7149288622998731,400,400,400
