epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1658183.8366666667,0.9656883556591837,1.020375043352445,0.9458355772495269,0.0,0.0,0.0,0.0,,,,0.7051656854238433,0.04411448957483324,0.013686629826190747,0.8270934507441302,0.08450124965279776,0.027003670411510687,0.028900559700511995,0.25432226827495574,0.7012146759033203,0.06702962510126463,0.032290999820948206,0.049660312461106415,400,400,400
5,val,269438.77296875,0.409036500673545,0.40041522783537703,0.6122182581822078,0.0,0.0,0.0,0.0,,,,0.9690678983049318,0.398981087760545,0.5990030906656961,0.9842909928491059,0.5703881078181324,0.7492206790123457,0.49899208921312055,0.6556840255770576,0.9695462290445963,0.5507583667591394,0.13574140768151738,0.34324988722032834,400,400,400
10,val,57089.80423177083,0.30206033469815,0.3028619973361492,0.37998575150966646,0.0,0.0,0.0,0.0,,,,0.971608481159957,0.5220704497873327,0.6664860942179339,0.9855998190759763,0.6860003751603977,0.7998699737494174,0.5942782720026334,0.720055008388408,0.9721998341878255,0.6679376838678276,0.337185945398682,0.5025618146332548,400,400,400
15,val,29556.1617578125,0.24383052850240156,0.19943238557626805,0.2990535261233648,0.0,0.0,0.0,0.0,,,,0.9770963800574831,0.5558284044837284,0.8161393387539839,0.9884155268435366,0.7145111927277987,0.8987629102444534,0.6859838716188562,0.7830213744317319,0.9774407450358072,0.7290150098331647,0.556992382940696,0.6430036963869303,400,400,400
20,val,23592.943414713543,0.24459958331365333,0.18872790820896626,0.28946435352166494,0.0,0.0,0.0,0.0,,,,0.9769372017090162,0.5637965968073275,0.8009149123771708,0.9883340764334615,0.7210612914216386,0.8894533627021607,0.6823557545922492,0.7805495702978381,0.9773450978597005,0.7360601263095063,0.5579810347653694,0.6470205805374378,400,400,400
25,val,19134.917356770835,0.215744694008639,0.17022872762133678,0.2741378931204478,0.0,0.0,0.0,0.0,,,,0.9768801312012443,0.5664222000314457,0.837863173138914,0.9883048706728076,0.7232050209963506,0.911779707417408,0.7021426865851799,0.7937218347905346,0.9773285929361979,0.7291077507006744,0.6382791296686426,0.6836934401846585,400,400,400
30,val,17563.752701822916,0.22652256567227214,0.16244664819290242,0.2543035997947057,0.0,0.0,0.17785894751548767,0.0,,,,0.9751480494827022,0.5638596936693479,0.8078441443647462,0.9874176771084038,0.7211128926103861,0.8937099438387843,0.685851919017047,0.7822839625055987,0.9758243052164713,0.7347816886421279,0.6028886700187847,0.6688351793304563,400,400,400
35,val,15744.260895182291,0.21756567394262866,0.15464432321488858,0.2540543891986211,0.0,0.0,0.17205889721711476,0.0,,,,0.9780454488990598,0.5759677496065443,0.8452168642398387,0.9889008864214117,0.7309384976314905,0.9161165612780554,0.7105923069231914,0.799743354248481,0.9784569803873698,0.75090816894048,0.6178581721003122,0.6843831705203961,400,400,400
40,val,15059.891518554687,0.23584206088593132,0.155178561595579,0.254998064438502,0.0,0.0,0.16961149513721466,0.0,,,,0.9772242058574345,0.5747456597458761,0.8176330575932573,0.9884809248869737,0.7299536356094806,0.8996678996099376,0.6961893586695667,0.7898676410655225,0.977739995320638,0.7463114597806445,0.6413572381776192,0.6938343489791319,400,400,400
45,val,12978.309611002604,0.2708113268017769,0.1489213889092207,0.24778185943762462,0.0,0.0,0.16680954297383627,0.0,,,,0.9763983761811709,0.5731921164854908,0.7901909233430422,0.9880582659329884,0.7286994518711437,0.8828007259331001,0.6816915199142666,0.7799271386699013,0.977010981241862,0.7462943631968666,0.6112818706222091,0.6787881169095378,400,400,400
50,val,12145.023227539063,0.23131871595978737,0.13895731479550402,0.23818337043126425,0.0,0.0,0.1617725020647049,0.0,,,,0.976408620064818,0.5732339154741636,0.8097491588478267,0.9880635109077756,0.7287332288426979,0.8948744690820599,0.6914915371609951,0.786463898128936,0.9769198862711589,0.7458853377160535,0.6511185019965068,0.6985019198562801,400,400,400
55,val,11768.934575195313,0.2436890631522003,0.1418735422194004,0.24090734004974365,0.0,0.0,0.15674450794855754,0.0,,,,0.9769188198229792,0.5755411778486696,0.8032957217958426,0.9883246697104702,0.7305949040754938,0.8909195669758113,0.6894184498222562,0.7852519064891639,0.977421162923177,0.7528773763759418,0.6063007954685523,0.6795890859222471,400,400,400
60,val,10879.658167317708,0.24137319506783234,0.1366984637081623,0.2352207899093628,0.0,0.0,0.15872577945391336,0.0,,,,0.9781743952302221,0.579836601271486,0.8223031892249486,0.9889667944229771,0.734046294160828,0.9024877902723595,0.7010698952482173,0.7934380619088856,0.9785895792643229,0.7566854861851134,0.6772474377129503,0.7169664619490319,400,400,400
65,val,10385.176267903646,0.24616732860082075,0.1369275021677216,0.23659060994784037,0.0,0.0,0.15749786893526713,0.0,,,,0.9774707204664169,0.577774887799544,0.8043213579019315,0.9886070224451823,0.7323920443496755,0.8915500050802458,0.6910481228507377,0.7865223220559642,0.9778057098388672,0.7533518262284097,0.652719386415436,0.7030356063219229,400,400,400
70,val,10042.052661132813,0.2264191420062592,0.13534991872807345,0.23023865461349488,0.0,0.0,0.1522137318054835,0.0,,,,0.9778017823843671,0.5842329515864635,0.8258354627684383,0.9887763183280827,0.737559398700056,0.9046110447611292,0.7050342071774509,0.7959567322464229,0.9783215077718099,0.7615382372177111,0.6554109680830036,0.7084746026503573,400,400,400
75,val,9728.93068359375,0.22406994276925138,0.13255002978568275,0.22561293065547944,0.0,0.0,0.147147753238678,0.0,,,,0.9771284430234644,0.580533682286924,0.8203998911753457,0.9884319316444813,0.7346046323377703,0.9013402990764325,0.7004667867311349,0.792687338828578,0.977616678873698,0.7558146874123399,0.6651237924409662,0.710469239926653,400,400,400
80,val,9457.24444498698,0.22906609859905744,0.13401047743856906,0.23138202349344889,0.0,0.0,0.15279724776744844,0.0,,,,0.9780226692423122,0.5849113861279404,0.8226779323584481,0.9888892422218263,0.7380997969317686,0.9027134391142232,0.7037946592431943,0.7952039959095668,0.978501230875651,0.7600333012510085,0.665190071599666,0.7126116864253373,400,400,400
85,val,9237.733198242187,0.22936075572904788,0.13050375655914345,0.22283392389615378,0.0,0.0,0.14851269801457723,0.0,,,,0.9776867105434254,0.5834550128971489,0.8180978726336618,0.9887174802067394,0.7369391718046193,0.8999492105984161,0.7007764427654053,0.7930798653580787,0.9781275177001953,0.7582913672687627,0.659566311451656,0.7089288393602093,400,400,400
90,val,9164.646515299479,0.22710897714683884,0.13058530669659377,0.22342212458451588,0.0,0.0,0.14922781944274902,0.0,,,,0.9775450876086831,0.5824973644919551,0.8191780229543448,0.9886450566755622,0.736174830444612,0.9006023738391473,0.70083769372315,0.7930734916849943,0.9780237070719401,0.7571634285494145,0.6648801370309146,0.7110217827901646,400,400,400
91,val,9273.476818847656,0.2280285223142097,0.12913956637183824,0.2299341050783793,0.0,0.0,0.14710080285867055,0.0,,,,0.9776085663868627,0.5830225569258325,0.821799393321005,0.9886775199128274,0.7365941241646479,0.9021842869570021,0.7024109751234188,0.7941435055445667,0.9781038411458334,0.7571635051956189,0.6625963641662562,0.7098799346809376,400,400,400
92,val,9202.588068033854,0.22668461501598358,0.1319374842569232,0.2268509328365326,0.0,0.0,0.14519399841626485,0.0,,,,0.9775085925513614,0.5831738032603299,0.8196025100079986,0.9886263920504029,0.7367148219094621,0.9008588474681712,0.7013881566341642,0.7934283019398967,0.9779928843180339,0.7563314744012337,0.6678981108010881,0.7121147926011608,400,400,400
93,val,9213.86059407552,0.22608567558621107,0.12798116300875942,0.222851043343544,0.0,0.0,0.14642719844977062,0.0,,,,0.9774615881172679,0.5829412332468524,0.8193303779061211,0.988602351611699,0.7365292166294154,0.9006944399500366,0.7011358055764867,0.7932443997567472,0.9779462687174479,0.7571686595758833,0.6686586873774789,0.7129136734766811,400,400,400
94,val,9066.423450520833,0.22704266815593369,0.13326556014517943,0.22234905242919922,0.0,0.0,0.1474646298090617,0.0,,,,0.9776604037685089,0.5838069880661864,0.8191058744160689,0.9887040281592724,0.7372198663916861,0.9005587700375065,0.7014564312411276,0.7935244220835881,0.978136240641276,0.7583488493953664,0.6717978553072537,0.71507335235131,400,400,400
95,val,9104.057257486978,0.22740420973614642,0.12961942083512742,0.22260438680648803,0.0,0.0,0.14994822164376576,0.0,,,,0.9777169077503948,0.5838129431312461,0.8207044661679935,0.9887329211970223,0.7372246143878964,0.9015240874267932,0.7022587046496198,0.7940781056832115,0.9781918589274089,0.7593355323651305,0.6664679412344777,0.7129017367998041,400,400,400
96,val,9191.206548665365,0.22766092870580523,0.12890868819629153,0.2343336002031962,0.0,0.0,0.14841061095396677,0.0,,,,0.9775350635126938,0.5828311843135927,0.8202465624452188,0.9886399301323124,0.7364413717516465,0.9012477533190282,0.7015388733794057,0.7935376034238351,0.9780158742268881,0.757621232323721,0.6658966530061452,0.7117589426649331,400,400,400
97,val,9006.141088867187,0.2282752328013119,0.12823574571559826,0.21961743593215943,0.0,0.0,0.14928934673468272,0.0,,,,0.9777548111914475,0.5837390678448574,0.819555522360484,0.9887523020130329,0.7371657108127111,0.9008304635818819,0.7016472951026707,0.7936831337989295,0.9782217915852864,0.7595806394493497,0.664672920878127,0.7121267801637383,400,400,400
98,val,9009.11376139323,0.22797940867511848,0.12846896793693305,0.22050848166147868,0.0,0.0,0.1501452285051346,0.0,,,,0.977500522464823,0.5824833508402252,0.8200904984506523,0.9886222646823208,0.7361636386644492,0.9011535406055384,0.7012869246454387,0.7933581239185669,0.9779801940917969,0.7567812218146124,0.6647573293597586,0.7107692755871855,400,400,400
99,val,9104.065286458334,0.22813368902394646,0.13284653790295123,0.22868245601654053,0.0,0.0,0.1514772508541743,0.0,,,,0.9775994666101155,0.582993286753935,0.8198246587416825,0.9886728663877109,0.7365707632903653,0.9009930212821164,0.7014089727478088,0.7934724707019111,0.9780735015869141,0.757964867035881,0.6651042470623314,0.7115345570491062,400,400,400
100,val,8971.255397949219,0.22766230333792536,0.1291880395139257,0.22317363421122233,0.0,0.0,0.14739871978759767,0.0,,,,0.9775077777711325,0.5824310815608832,0.8204536170363924,0.9886259753404264,0.7361218928869662,0.9013727231040909,0.7014423492986378,0.7934641587894693,0.9779862213134766,0.7573943819830491,0.6636222485978611,0.7105083152904551,400,400,400
