epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1713603.1195833334,1.9402457977596081,1.0912744748592376,0.9440576606988906,0.9358352746566136,0.0,0.0,0.0,,,,0.4669033746300121,0.05206000012485365,0.012612051690776728,0.6365836805682941,0.0989677397081448,0.024909937956432884,0.03233602590781519,0.17719180881521415,0.47544662475585936,0.12125874283303159,0.014798762764478033,0.06802875279875481,400,400,400
5,val,282551.39817708335,0.8768770192798815,0.36814018234610557,0.5643727711836497,0.579418736298879,0.0,0.0,0.0,,,,0.9691448189336939,0.4347265656345325,0.6138236587971594,0.9843306694512116,0.6060061562215058,0.7607072252920919,0.524275112215846,0.6725650144551286,0.9699263254801432,0.5966025018728982,0.16570118254761546,0.38115184221025683,400,400,400
10,val,43342.80927734375,0.6341609899934969,0.19110706847161055,0.30443518857161206,0.37340457995732623,0.0,0.0,0.0,,,,0.9731260001145647,0.5339914278657126,0.7287108782254935,0.9863799879562305,0.6962117495124085,0.8430685401523115,0.6313511530456031,0.7452761020685904,0.9735575612386068,0.6887999074842401,0.5260769124621218,0.607438409973181,400,400,400
15,val,28562.394016927083,0.6073937557245556,0.1702841466665268,0.2689767996470133,0.34821802695592247,0.0,0.0,0.0,,,,0.976057836580766,0.5564429825177128,0.7646904727759453,0.9878838751700396,0.7150187816293879,0.8666567702074681,0.660566727646829,0.765730430624808,0.9764596048990886,0.7216548676665689,0.5324774148196879,0.6270661412431284,400,400,400
20,val,19197.416790364583,0.5971503524403823,0.13609904322152336,0.2428150357802709,0.32561647911866504,0.0,0.0,0.0,,,,0.9764517018178192,0.5637698205238835,0.7679558011049724,0.9880855686174762,0.7210393922745141,0.86875,0.665862810814428,0.7693924411488916,0.9768354543050131,0.7443237681427912,0.5480437305398044,0.6461837493412979,400,400,400
25,val,15695.228165690105,0.565106968346395,0.12212456745405992,0.22451883633931477,0.314145766099294,0.0,0.0,0.0,,,,0.9759669541750723,0.5725147373540603,0.7715927813326181,0.9878373240128598,0.728151824277823,0.8710723925531179,0.6720537593433392,0.7733581576205836,0.9764605204264323,0.7399416448970154,0.6258977646093804,0.6829197047531979,400,400,400
30,val,13968.014747721354,0.5733747890121058,0.11476672732581696,0.21185029248396556,0.304829335808754,0.0,0.0,0.0,,,,0.9767483017199855,0.5767198708857254,0.7686468180623085,0.9882374006545077,0.7315438608149867,0.8691919836255623,0.672683344474017,0.7740383302226732,0.9772459920247396,0.7530232031784666,0.6369511233927718,0.6949871632856193,400,400,400
35,val,11756.720328776042,0.5615113730493345,0.106092893059055,0.20270393192768096,0.296220651268959,0.0,0.0,0.0,,,,0.9765446216539364,0.5730937551719009,0.7920241268391399,0.9881331399812079,0.7286199608735662,0.8839435976078637,0.6825589410055204,0.7805541678883258,0.9770156097412109,0.7433210615878401,0.6021924028817004,0.6727567322347703,400,400,400
40,val,10652.324059244791,0.5577737053758219,0.09989089318240682,0.19489973107973735,0.29056439916292826,0.0,0.0,0.0,,,,0.977589122256134,0.580297347977498,0.7959423505045882,0.9886675763475588,0.7344153917870916,0.886378507952619,0.6881198492410431,0.7846096069127401,0.9780032094319662,0.7501090806781152,0.6299600991915356,0.6900345899348255,400,400,400
45,val,10570.12823404948,0.5406287328193062,0.10004961137349407,0.19221293687820434,0.2894041079282761,0.0,0.0,0.0,,,,0.9764701652600416,0.5802663265712471,0.8064875504379491,0.9880950215421731,0.7343905477379487,0.8928791679106023,0.693376938504598,0.7877413474230792,0.9772544352213541,0.7456327936168751,0.6502421801118249,0.69793748686435,400,400,400
50,val,9671.369682617187,0.5329241564399317,0.09630778272325793,0.19276629745960236,0.2865901746352514,0.0,0.0,0.0,,,,0.9768636090846807,0.5800852375884962,0.820667226560406,0.9882964151856527,0.7342454999121618,0.9015016193934635,0.7003762320744511,0.792538691077861,0.9775568389892578,0.7508871798614777,0.6532938006625539,0.7020904902620158,400,400,400
55,val,9244.312054036458,0.5459799162651363,0.09496272035563985,0.1859214707215627,0.28286943773428597,0.0,0.0,0.0,,,,0.9761785965277676,0.5779305639110472,0.7812213333859401,0.9879457233703028,0.7325171045278351,0.8771749122282398,0.6795759486484937,0.7784434979415851,0.9768344370524088,0.7569379601207683,0.6664723920869514,0.7117051761038599,400,400,400
60,val,8796.263754882813,0.5351259786831705,0.09229662486662467,0.1859874693552653,0.2807484128077825,0.0,0.0,0.0,,,,0.9775285397525547,0.5848171642374683,0.8026587692295718,0.9886365937099157,0.7380247733735922,0.8905276838085286,0.6937379667335201,0.7883348244065317,0.9781173451741536,0.7641192368208892,0.677432766271767,0.720776001546328,400,400,400
65,val,8434.936267903646,0.5368663519620895,0.09033235654855767,0.18439967632293702,0.2778004852930705,0.0,0.0,0.0,,,,0.9771547175365262,0.5856039181793206,0.8054051716342506,0.9884453744257615,0.7386509473964266,0.8922154254218723,0.6955045449067856,0.7893879357833659,0.9777706909179688,0.7561148661908159,0.6781110813995134,0.7171129737951647,400,400,400
70,val,8025.578135579427,0.5299911310798243,0.08871604821955165,0.181852588057518,0.27560669620831807,0.0,0.0,0.0,,,,0.9774526912442141,0.5880253711874692,0.8035912934568679,0.9885978011733878,0.7405742777872178,0.8911013225359479,0.6958083323221685,0.7896897852961837,0.9780565643310547,0.7596959563760182,0.6843465300160337,0.722021243196026,400,400,400
75,val,7782.372734375,0.5377960118808245,0.0871974923958381,0.180449614127477,0.2744046284755071,0.0,0.0,0.0,,,,0.9772791657755301,0.5848334894527628,0.8039693437338709,0.9885090407982131,0.7380377728573917,0.8913337097733695,0.6944014165933168,0.7886939996540546,0.9778753153483073,0.7648191558683044,0.6890725802510786,0.7269458680596915,400,400,400
80,val,7466.350096028646,0.5303259829157277,0.08578133409221968,0.1826251083612442,0.27222011466821033,0.0,0.0,0.0,,,,0.977419193984197,0.5893834527029098,0.809447373108793,0.9885806681332419,0.7416504201054852,0.8946901525166656,0.6994154129058514,0.7920833399319666,0.9780329132080078,0.7607357804125495,0.6817726282607132,0.7212542043366313,400,400,400
85,val,7327.633081868489,0.5284989601687381,0.08485139766708016,0.17718141118685404,0.2708367528518041,0.0,0.0,0.0,,,,0.9777608676564662,0.5915019614102083,0.8105367383951767,0.9887553987404525,0.7433254570243651,0.8953551962868427,0.7010193499026924,0.7932665224872837,0.978353983561198,0.762723763326476,0.6864465885133801,0.724585175919928,400,400,400
90,val,7320.794283854167,0.5314909447180597,0.0852289000277718,0.1791236792008082,0.2709056550264359,0.0,0.0,0.0,,,,0.9774685093621588,0.5889992045207356,0.8098046457534419,0.9886058915572269,0.7413461288652892,0.8949083511898172,0.6994019251370888,0.7920907865454455,0.9780688730875651,0.7607626691762648,0.6891150285670169,0.7249388488716408,400,400,400
91,val,7246.027395833334,0.5314187925112875,0.08496386008958022,0.18135239402453104,0.27069902102152504,0.0,0.0,0.0,,,,0.9776236241003201,0.5901537695112599,0.8089425872876753,0.9886852201667748,0.7422600012986743,0.8943817155641209,0.6995481783994676,0.7922399936330851,0.9782172139485678,0.7624207906442602,0.6876191772191032,0.7250199839316817,400,400,400
92,val,7157.929093424479,0.5309239461233741,0.08460191320627927,0.1759734708070755,0.27060680150985716,0.0,0.0,0.0,,,,0.977556885117618,0.5898759091946034,0.8098930617791096,0.9886510901146355,0.7420401878954462,0.894962336595723,0.6998844854868564,0.7924419520304437,0.9781556955973307,0.7609402228357433,0.6879681685685137,0.7244541957021284,400,400,400
93,val,7233.995767415365,0.5305783905481037,0.08511987048511704,0.17706494371096293,0.27104838450749713,0.0,0.0,0.0,,,,0.9773647648135096,0.5888604027220844,0.8086734394038528,0.9885528276880037,0.7412361736918243,0.8942171890027814,0.6987669210629686,0.7916328689798157,0.9779714457194011,0.760029535394081,0.6885686389308169,0.724299087162449,400,400,400
94,val,7265.171546223958,0.5318979213112279,0.08475786454354724,0.17865347743034363,0.27093091249465945,0.0,0.0,0.0,,,,0.9775526314097179,0.5896361992179705,0.8098707758556336,0.9886489147071245,0.7418504932236005,0.8949487296658066,0.6997534875368021,0.7923532021611074,0.9781510670979817,0.7612152401545855,0.6897519044014507,0.7254835722780182,400,400,400
