epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.6323206802209218,0.9828498410551172,0.30959198037783303,0.9550493828455607,0.0,0.0,0.0,0.6315585532564196,0.043079712213322144,0.014813651634175239,0.7741782260843719,0.08260099723713508,0.029194821355271506,0.02894668192374869,0.22981730570130568,0.6288870493570964,0.06864509618192569,0.030608688549133085,0.04962689236552938,1176,24,0
5,val,0.174086441497008,0.3593341527800811,0.037447996397192276,0.3107248870531718,0.0,0.0,0.0,0.9703385011417586,0.4505488437257422,0.7471062819540354,0.984945988295385,0.6212115444089497,0.8552499520732546,0.5988275628398888,0.7226645422738454,0.9707267761230469,0.5720970836947761,0.5346214528690646,0.5533592682819204,982,218,0
10,val,0.1307782841473818,0.32113146625067057,0.038164470287350316,0.22339209854602815,0.0,0.0,0.0,0.9730287979550982,0.49174056352187745,0.7543294815601895,0.9863300515061638,0.6592842958710169,0.8599632959361051,0.6230350225410335,0.7396996143457217,0.9734212748209635,0.657868786320449,0.5979693686588722,0.6279190774896606,836,364,0
15,val,0.12231132805347443,0.3275366315716191,0.048689157034580904,0.19593349874019622,0.0,0.0,0.0,0.9715911644885248,0.49586680873734684,0.708098564077166,0.985590909503368,0.6629825674866138,0.8291073817039712,0.6019826864072564,0.7251855124343459,0.9720691935221354,0.6581448527459606,0.603178625384126,0.6306617390650433,741,459,0
20,val,0.11171189218759536,0.3329461087521754,0.0375702113720278,0.18585357308387757,0.0,0.0,0.0,0.9731674799513779,0.5031483739859276,0.7541079243392117,0.9864012962299159,0.6694593596927751,0.8598193005978135,0.6286281491625696,0.743474592758839,0.9736013031005859,0.6654917426526762,0.6273313629548538,0.646411552803765,672,528,0
25,val,0.10052860430131356,0.31229932567006663,0.03179573948805531,0.16926146904627482,0.0,0.0,0.0,0.9749037228702281,0.5166268976687515,0.7871501945865105,0.9872924047693331,0.6812841028507047,0.8808998784443318,0.6518885461276309,0.7595602717084967,0.9754921213785808,0.6754879411528526,0.6168653993211656,0.6461766702370091,620,580,0
30,val,0.09647487911085288,0.30147497904928106,0.029170499642690022,0.16377925912539165,0.0,0.0,0.0,0.9737250844347061,0.5278201069848815,0.6805522373740319,0.9866876518049527,0.6909453600876121,0.8099150056024886,0.6041861721794567,0.7273658095978731,0.9742922719319661,0.7053207610584371,0.5625150453927462,0.6339179032255917,578,578,44
35,val,0.10111720024297635,0.2590076201840451,0.03159788875995825,0.1706365112463633,0.0,0.0,0.0,0.9751215495582614,0.557045903225723,0.7743259207849071,0.9874040914356371,0.7155163532066643,0.8728113721546369,0.6656859120053151,0.7688311245229639,0.9756382497151693,0.7369274209317744,0.6347552970243366,0.6858413589780555,543,543,114
40,val,0.1045370207602779,0.2874089404940605,0.03374334018987914,0.1753307016690572,0.0,0.0,0.0,0.9755165762305436,0.5446230359215533,0.7537520698973631,0.9876065713322574,0.7051856967763274,0.859587946135939,0.6491875529094582,0.7579638940164867,0.9757472483317057,0.7200460528973565,0.6144881745740175,0.6672671137356869,514,514,172
45,val,0.10092411600053311,0.2781660348961228,0.0341002977391084,0.16774793366591137,0.0,0.0,0.0,0.9760240334802015,0.555759217097434,0.7725507706742482,0.9878665612798384,0.7144540247485199,0.8716825305718978,0.6641549938858411,0.7681113404172946,0.9763729095458984,0.7328182869749419,0.6236730092227221,0.6782456480988319,489,489,222
50,val,0.10393580831587315,0.2745109380860078,0.0353071263525635,0.17256449083487194,0.0,0.0,0.0,0.9767350407700455,0.5710968393424927,0.7622992989380408,0.9882306132333792,0.727003994968888,0.8651189947103779,0.6666980691402667,0.770043726350193,0.9772017415364583,0.7482315985295932,0.596321139496105,0.672276369012849,467,467,266
55,val,0.10455917146056891,0.28603339548173706,0.0353491866402328,0.17376915593942008,0.0,0.0,0.0,0.975569495885918,0.561601124445381,0.7465708625751328,0.987633690353613,0.7192632172890366,0.8548990236495684,0.654085993510257,0.7612471609688106,0.9760257212320963,0.7379189514406944,0.6353358011849453,0.6866273763128199,448,448,304
60,val,0.10804968165854613,0.2857954168790265,0.035893864994868636,0.16408702850341797,0.0,0.0,0.16118469794591267,0.9766447351211393,0.5686489928456058,0.7614349388496908,0.9881843892006069,0.7250175092568654,0.8645620931613264,0.6650419658476483,0.7689095556054787,0.9770151519775391,0.7503361591908458,0.6550365491935332,0.7026863541921895,431,431,338
65,val,0.1081478734066089,0.28583033500533356,0.03572355209073673,0.16518466532230378,0.0,0.0,0.15387528816858928,0.9771395069854265,0.5682483197763328,0.7754060537534188,0.9884375923227444,0.7246917629184869,0.8734971384310857,0.6718271867648757,0.7735979601717261,0.9775076293945313,0.7527276121754831,0.6797078806851732,0.7162177464303281,416,416,368
70,val,0.10547660340865453,0.2854864536539504,0.03543048874164621,0.16063583115736643,0.0,0.0,0.1488688709338506,0.9762500301684727,0.5661919681154041,0.7709872372230674,0.9879823051390402,0.7230173307512257,0.8706863844281408,0.6685896026692357,0.7711430785023147,0.9766609191894531,0.7499173127153922,0.6449845557916162,0.6974509342535042,403,402,395
75,val,0.10300005715340375,0.2943642539413352,0.03448697269273301,0.156610666513443,0.0,0.0,0.14902474840482077,0.9767371652122976,0.5665523533066191,0.773951684329475,0.9882317006038565,0.7233111004694633,0.8725735781490759,0.6702520188180471,0.7724137342827974,0.9771643575032553,0.7517758446747683,0.7034373772653162,0.7276066109700423,400,400,400
80,val,0.10319044516732295,0.29211115641029256,0.03440385483515759,0.15748707592487335,0.0,0.0,0.14489959438641867,0.9764619488323987,0.5681966030499984,0.7833373393443039,0.9880908149122191,0.7246497052026617,0.878507192175229,0.6757669711971512,0.7759986304089003,0.9769593811035157,0.7531760567993325,0.677999884714934,0.7155879707571333,400,400,400
85,val,0.10139013613263766,0.2975190924970727,0.03381780159194023,0.1546234409014384,0.0,0.0,0.14339029550552368,0.9770928707292222,0.5685623308355505,0.7782129413010619,0.988413731287024,0.7249470673348194,0.8752753095269549,0.6733876360683062,0.7746227142886116,0.9774902598063151,0.756083462517222,0.6837019626693392,0.7198927125932806,400,400,400
90,val,0.09861105599751076,0.30021022848392787,0.033263143020061156,0.14974003414312997,0.0,0.0,0.14218934615453085,0.9768389333913198,0.5685542749863106,0.777863176215266,0.9882837866973073,0.7249405188625336,0.8750540386028911,0.6732087256007884,0.7744187948642988,0.9772926584879558,0.7557539212216299,0.6867737541785156,0.7212638377000727,400,400,400
91,val,0.10016706665356954,0.29836909080806534,0.03295034791032473,0.15328216632207234,0.0,0.0,0.14101618071397146,0.976776386819211,0.5685429567401377,0.7791008788986544,0.9882517752965687,0.7249313183257994,0.8758366522543161,0.673821917819396,0.7748067408193343,0.9772412618001302,0.7550727449213851,0.6891908149247616,0.7221317799230733,400,400,400
92,val,0.09980917457491159,0.3013415097406036,0.032967622596770524,0.15255091706911722,0.0,0.0,0.14099809408187866,0.9768090615215003,0.5684199392492949,0.7780353031763549,0.9882684984959295,0.724831309555223,0.8751629416878741,0.673227621212825,0.77442143464905,0.9772640228271484,0.7544089273855135,0.687199744901045,0.7208043361432792,400,400,400
93,val,0.0999136371165514,0.29981374897454915,0.03292677709367126,0.15276051898797352,0.0,0.0,0.1413997854789098,0.9766669217893464,0.5680586207082616,0.778110857428354,0.9881957461049979,0.7245374799211022,0.8752107374831737,0.6730847390683078,0.7742787999753208,0.9771338399251303,0.7542925976629649,0.6865891292165955,0.7204408634397802,400,400,400
94,val,0.10020840441187223,0.3019513605456603,0.03300820199772716,0.15323357701301574,0.0,0.0,0.1417502949635188,0.9770938379496555,0.569793498726904,0.7754976321564702,0.9884142261683951,0.725947074171226,0.8735552423289602,0.6726455654416871,0.7741283229443431,0.9775260162353515,0.756901252167468,0.6823428141810055,0.7196220331742367,400,400,400
95,val,0.10023291648675998,0.2984553540223523,0.03303167909849435,0.1532941194375356,0.0,0.0,0.14140033682187397,0.9769126698122204,0.5691372090695012,0.7785506503392483,0.9883215224727289,0.7254142031428847,0.875488870885678,0.6738439297043748,0.7748668430736566,0.9773664347330729,0.7556253367179778,0.6891720438212011,0.7223986902695895,400,400,400
96,val,0.09928504278262457,0.304584350240858,0.032838959589911,0.15164577305316926,0.0,0.0,0.14085352897644043,0.9768415259055623,0.5687168990077311,0.7760343579597548,0.9882851135050751,0.7250727003291221,0.8738956591484363,0.672375628483743,0.7738642609576827,0.9772870127360026,0.7546507821749519,0.6873685731205956,0.7210096776477737,400,400,400
97,val,0.09983677931129932,0.3006130645149632,0.03309769770440956,0.1523772418498993,0.0,0.0,0.14198619107405344,0.9768847489765781,0.569343545309308,0.7781720075309098,0.9883072338762345,0.7255817848310503,0.87524941820611,0.6737577764201088,0.7748001006055986,0.977335688273112,0.7556502567744313,0.6885767508330801,0.7221135038037557,400,400,400
