epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.6324221030871073,0.9819199678144956,0.30975658059120176,0.9550876222054163,0.0,0.0,0.0,0.6378660710869956,0.04109900867834194,0.015039245777202365,0.778898937278389,0.07895312229816923,0.029632836049973632,0.02806912722777215,0.23133477518084664,0.63513427734375,0.06585441818029368,0.030751365795865758,0.048302891988079716,1176,24,0
5,val,0.17186472122867902,0.3262086526343697,0.03646221475365261,0.3072672281662623,0.0,0.0,0.0,0.9682336851129846,0.46098316395629185,0.7593619116840529,0.9838604962778127,0.6310588312434284,0.8632242253752047,0.6101725378201723,0.7295262535844431,0.9690284474690756,0.575130940835235,0.4925362435931914,0.5338335922142132,982,218,0
10,val,0.12616847715030113,0.30143218487501144,0.03393629419617355,0.21840065975983938,0.0,0.0,0.0,0.9731128656885801,0.5042710984857904,0.7707556693530649,0.9863732405890341,0.6704524191063608,0.8705387001637057,0.6375133839194277,0.7493798778424785,0.9735646565755208,0.668464797048355,0.5830863518794296,0.6257755744638923,836,364,0
15,val,0.11099266357719899,0.28345455739058945,0.03302903046210607,0.18895629624525706,0.0,0.0,0.0,0.9747294720616678,0.5128819317054611,0.8375184926400269,0.9872030431024311,0.6780197726696265,0.9115755797774148,0.6752002121727441,0.7750432988023852,0.9753546651204427,0.6872892300303376,0.6230157332525152,0.6551524816414265,741,459,0
20,val,0.09956277603904407,0.34649883171445445,0.029330892320722342,0.16979465941588084,0.0,0.0,0.0,0.973361068716126,0.5044469004297725,0.7174607416341808,0.9865007313125898,0.6706077832134428,0.8354901212490131,0.6109538210319767,0.7317562369266931,0.9739189910888671,0.6778631226881914,0.5946461013817267,0.636254612034959,672,528,0
25,val,0.09154691990464926,0.29042956036956685,0.026356992463891706,0.1567368471622467,0.0,0.0,0.0,0.9749734270428478,0.525961677187882,0.810835504137297,0.9873281469945523,0.6893510958376756,0.8955374491882281,0.6683985906625896,0.7705902027893424,0.9756048329671224,0.690999390252461,0.605125819271226,0.6480626047618435,620,580,0
30,val,0.09661532651633024,0.2862267749089944,0.02971748686550806,0.16351316610972086,0.0,0.0,0.0,0.9744953157830157,0.5374031258126564,0.7113659263700484,0.9870829350603599,0.6991050255977466,0.8313428652619205,0.6243845260913523,0.7410881226552402,0.9748948415120443,0.71178398992376,0.5844493162540331,0.6481166530888965,578,578,44
35,val,0.10335288709650436,0.2537787589979799,0.03220972015677641,0.17449605385462444,0.0,0.0,0.0,0.9755379829050415,0.5526028056316548,0.7776377784255054,0.9876175414967284,0.7118405346521786,0.8749113996826474,0.6651202920285801,0.7685928556540672,0.9759838358561198,0.7359894405744815,0.637092009786102,0.6865407251802917,543,543,114
40,val,0.1027512501180172,0.23994076644119464,0.032923046763365466,0.17257945319016774,0.0,0.0,0.0,0.975762916910823,0.556951527254549,0.8066594795903367,0.9877327978566008,0.7154384931130768,0.8929845260859541,0.6818055034224428,0.7797913079185695,0.9762363433837891,0.7364627303423612,0.6438393076214861,0.6901510189819237,514,514,172
45,val,0.10119622358431418,0.2680196485629207,0.03306102275537948,0.1693314242362976,0.0,0.0,0.0,0.9760578539478699,0.5591114860890146,0.7829023572936642,0.9878838840652883,0.7172180964319997,0.878233576943677,0.6710069216913395,0.7726905657768496,0.9764752960205079,0.7442497093713597,0.6295410580055374,0.6868953836884486,489,489,222
