epoch,n_groups_evaluated,mean_mIoU_fg,worst_group_mIoU_fg,eligible_worst_group_mIoU_fg,p10_mIoU_fg,cvar20_mIoU_fg,std_mIoU_fg,avg_worst_gap,worst_crack_recall,worst_spalling_recall
1,38,0.6183212978471568,0.24220589620412475,0.3170180722891235,0.369902565471074,0.36824350567977815,0.16540355833307438,0.3761154016430321,0.0,0.0
5,38,0.6149734970162349,0.22943912928984775,0.3120273897114782,0.42055463466247633,0.37819797194609267,0.15932961715964605,0.38553436772638716,0.0,0.0
10,38,0.625368411912201,0.22447975672284765,0.3128975720397636,0.42454900501546194,0.39428125407158876,0.1567185368971882,0.4008886551893534,0.0,0.0
15,38,0.6134092436861162,0.23294445102444838,0.30930757040104134,0.38299222720803766,0.3702230519350325,0.16361293130605142,0.38046479266166777,0.0,0.0
20,38,0.6121339669957105,0.22788294521146177,0.30889022513475384,0.3851575651180799,0.37582006960794545,0.16206622530863388,0.38425102178424875,0.0,0.0
25,38,0.6176471447461716,0.226925807596667,0.31170667147924447,0.40044500731701543,0.3787256586433303,0.1633290707701199,0.3907213371495045,0.0,0.0
30,38,0.61329799231654,0.228819152766042,0.3127758444008977,0.3890687574796328,0.36904121177647486,0.16339830098021652,0.384478839550498,0.0,0.0
35,38,0.6161672168666855,0.23027591349732135,0.31354198473279254,0.4008387745648935,0.37752167113902363,0.16146113586737804,0.38589130336936417,0.0,0.0
40,38,0.6191410528600043,0.23309942227995734,0.31721297071558935,0.4005332805197612,0.3796427471234015,0.16135929043974234,0.386041630580047,0.0,0.0
41,38,0.6220369174874514,0.2330407143937542,0.3169766889414159,0.42286200962416454,0.39398693969357224,0.1590596739218337,0.3889962030936972,0.0,0.0
42,38,0.6187258567819962,0.2335961188598443,0.3176801535886659,0.40194860364185203,0.3773055377400186,0.16268237283525933,0.3851297379221519,0.0,0.0
43,38,0.6184405960180598,0.2322001574135036,0.31731273861095555,0.3949687273824669,0.37456439009011766,0.16347168846840437,0.38624043860455615,0.0,0.0
44,38,0.6191892464515659,0.23295725172653226,0.31688665944705696,0.40272604355714675,0.37826786913102395,0.16260479479816606,0.38623199472503367,0.0,0.0
45,38,0.6201649793271443,0.23331123233168582,0.3179082829280009,0.41770673588303137,0.3805752198637964,0.16210627286707624,0.3868537469954585,0.0,0.0
46,38,0.6204196203240183,0.23300559673264773,0.31700818828947896,0.42419851032966444,0.3838601015539166,0.1612739975994796,0.38741402359137056,0.0,0.0
47,38,0.6188476939539183,0.23220243059685686,0.31648422080693467,0.3973719769551033,0.37680666131108453,0.16283673332560464,0.3866452633570614,0.0,0.0
48,38,0.6190539916575104,0.2326924230607017,0.3173503354329577,0.39998691430047745,0.37651004257447274,0.16301674151209875,0.3863615685968087,0.0,0.0
49,38,0.6199321965882338,0.23306886227537935,0.3171870679678935,0.4155820700938907,0.3803310623075409,0.16227122827494014,0.38686333431285447,0.0,0.0
50,38,0.6218414815014155,0.2335877174532844,0.317202427323761,0.42297810175283107,0.3900505355916164,0.16020246474758537,0.38825376404813106,0.0,0.0
