epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1554867.1658333333,0.963197543432838,1.0195949751138687,0.9459857008854549,0.0,0.0,0.0,0.0,,,,0.7242388127465901,0.04650920677435071,0.013525267041171038,0.8400678692447817,0.08888446747201732,0.026689550780822555,0.030017236907760876,0.26142442885403727,0.7210337575276693,0.07390468167711822,0.031163581237815905,0.05253413145746706,400,400,400
5,val,259088.11255208333,0.43996702369890717,0.3755623948574066,0.6007621383666992,0.0,0.0,0.0,0.0,,,,0.9651805613227988,0.4229654823134338,0.3324264053795752,0.9822818119807966,0.5944845290636053,0.49897901157981805,0.3776959438465045,0.573524149671936,0.9659114837646484,0.5662779788516753,0.05617117712207673,0.311224577986876,400,400,400
10,val,50198.80138020834,0.2850996051964007,0.21834404439975819,0.34588484386603036,0.0,0.0,0.0,0.0,,,,0.9733498034743135,0.5391324907353628,0.7149312179937745,0.9864949455596946,0.7005667075194775,0.8337724691141167,0.6270318543645687,0.7424711707344837,0.9738830057779948,0.6948489679736018,0.497502875395823,0.5961759216847125,400,400,400
15,val,26627.985634765624,0.2449849006768904,0.1540955175831914,0.2641816008090973,0.0,0.0,0.0,0.0,,,,0.9765920777394765,0.5652042561746679,0.7886771363947029,0.9881574339368526,0.722211499163716,0.8818552217695117,0.6769406962846853,0.7768244901029492,0.9770304616292318,0.7347857955338735,0.5658093106747623,0.6502975531043178,400,400,400
20,val,17850.433011067707,0.2695596057333444,0.132256231525292,0.24102251688639323,0.0,0.0,0.0,0.0,,,,0.9765152415403808,0.5675277471382896,0.7771646096466375,0.9881180989824715,0.7241055198855392,0.8746118456648369,0.6723461783924636,0.7737358661084359,0.9769290415445964,0.7414969551553021,0.5860644459206747,0.6637807005379884,400,400,400
25,val,14038.524415690104,0.23861507640073173,0.121846420802176,0.22893470784028372,0.0,0.0,0.0,0.0,,,,0.975999731445992,0.5666612846634643,0.8066911572282246,0.987854113453525,0.7233998697876667,0.8930039359530909,0.6866762209458445,0.7831173911125603,0.9765665435791016,0.736276029005586,0.6093763057587833,0.6728261673821847,400,400,400
30,val,10188.798353678385,0.25140084208626495,0.10899573573221763,0.2086683166027069,0.0,0.0,0.0,0.0,,,,0.976370548238335,0.5696577197291637,0.7827999946783338,0.9880440174628551,0.7258368656670643,0.8781691687401788,0.6762288572037487,0.7762760875486108,0.9768407185872395,0.7529577162628223,0.613612507396083,0.6832851118294526,400,400,400
35,val,8310.724985351562,0.25287424361235217,0.10256519718716542,0.20036341746648154,0.0,0.0,0.0,0.0,,,,0.9759832871633566,0.571710541997921,0.7771127303570051,0.9878456902987672,0.7275010591596289,0.8745789921845764,0.674411636177463,0.7749355198394277,0.9764771016438802,0.7428466269272932,0.6263378001266545,0.6845922135269739,400,400,400
40,val,8093.558689778646,0.25467280749427645,0.1022625244781375,0.20181653261184693,0.0,0.0,0.0,0.0,,,,0.97639567174437,0.5747251218105036,0.7778557390013296,0.988056881224195,0.7299370713661146,0.8750493326733839,0.6762904304059166,0.7763255108520678,0.9768217213948568,0.7417633662255112,0.6238765354501639,0.6828199508378375,400,400,400
45,val,6457.990266927083,0.23500992867507434,0.09566263489425182,0.1902004478375117,0.0,0.0,0.0,0.0,,,,0.9773167216303169,0.5774330129164729,0.8098489860491874,0.9885282523929801,0.7321173174243041,0.8949354253219198,0.6936409994828301,0.7881995735319923,0.9777164713541666,0.7492617310735784,0.6398584105448578,0.6945600708092181,400,400,400
50,val,5437.322096354167,0.23109654611662814,0.0928787907709678,0.19128785034020743,0.0,0.0,0.0,0.0,,,,0.9767046354179078,0.5762762578686594,0.8041509033829048,0.988215050359728,0.7311868779243856,0.8914452797435819,0.6902135806257821,0.785710598889824,0.9771253458658854,0.7494501633317405,0.6382640282586795,0.6938570957952099,400,400,400
55,val,4697.044738769531,0.24484759745629212,0.0892760908852021,0.18393827696641285,0.0,0.0,0.0,0.0,,,,0.9761300052492589,0.5709983379138052,0.781015541526913,0.9879208378561458,0.7269241782547751,0.8770451726180077,0.6760069397203591,0.7760479615633257,0.9764616902669271,0.7537891482026766,0.6627497440670221,0.7082694461348493,400,400,400
60,val,4215.604447428385,0.23217736419878507,0.08825930453216037,0.185151456395785,0.0,0.0,0.09691635588804881,0.0,,,,0.9771444894789482,0.5766440435039204,0.8072785174385144,0.9884401415057555,0.7314828554736953,0.8933637064227196,0.6919612804712174,0.787022350140461,0.9775249226888021,0.7535949093338206,0.6700848212325433,0.7118398652831819,400,400,400
