epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1739113.8829166666,1.0096833925498159,1.091900059779485,0.9440544976790746,0.0,0.0,0.0,0.0,,,,0.4470464422637676,0.05163112736939286,0.012631592348758979,0.6178743531747407,0.09819246696994556,0.024948051086299806,0.03213135985907592,0.17043638732730648,0.456745859781901,0.11951145911134434,0.013352285611131437,0.06643187236123789,400,400,400
5,val,281878.08234375,0.3947131523960515,0.365313406859835,0.5650811052322388,0.0,0.0,0.0,0.0,,,,0.9686030567906087,0.4281435845272703,0.5215532737742699,0.984051155919377,0.5995805872264448,0.6855537466401521,0.4748484291507701,0.6394333050307163,0.9691915384928386,0.5866592649162545,0.154695074234195,0.3706771695752248,400,400,400
10,val,44937.742213541664,0.2785514357842897,0.19464352872222662,0.3075557788213094,0.0,0.0,0.0,0.0,,,,0.9735938485972445,0.5344116593048991,0.750268655351386,0.9866202707200754,0.6965688198002769,0.857318278605362,0.6423401573281425,0.7527580544178433,0.9741504160563151,0.6966647573125908,0.5890645138926066,0.6428646356025987,400,400,400
15,val,28850.96712890625,0.2644495258205815,0.17415718575318653,0.2622045346101125,0.0,0.0,0.0,0.0,,,,0.9766014598611025,0.5519183649652395,0.7917829396684997,0.988162236741168,0.7112724192520289,0.8837933682022763,0.6718506523168696,0.7734342548316139,0.9770212554931641,0.7195065846753649,0.5873761060085194,0.6534413453419421,400,400,400
20,val,20241.90588216146,0.23258272480023534,0.1394316875562072,0.24559442698955536,0.0,0.0,0.0,0.0,,,,0.976902350011577,0.569616012057427,0.8267288926601613,0.9883162413215363,0.7258030087381481,0.9051467855815681,0.6981724523587941,0.791082418243055,0.9775479634602865,0.734349973991749,0.5833362261416393,0.6588431000666941,400,400,400
25,val,16114.726142578125,0.2267198295969712,0.12445194186021884,0.22527775009473164,0.0,0.0,0.0,0.0,,,,0.9761383990266747,0.5677985833363516,0.8174836466821087,0.9879251367287443,0.7243259298372992,0.8995774439835635,0.6926411150092302,0.7871402096817116,0.9767268371582031,0.7331790739103073,0.5781317932129126,0.65565543356161,400,400,400
30,val,13550.3498828125,0.23300925093261818,0.11371889680003126,0.20995699644088744,0.0,0.0,0.0,0.0,,,,0.9764922844780682,0.5663571853454749,0.8064279062461431,0.9881063459207282,0.7231520251500738,0.8928426132675783,0.686392545795809,0.7830924586898954,0.9769910939534505,0.7422699229841585,0.6354825535334251,0.6888762382587919,400,400,400
35,val,25364.452154947918,0.23463574404779233,0.18194942646970352,0.24585478007793427,0.0,0.0,0.0,0.0,,,,0.9762948812883318,0.55956013987228,0.8127028481341276,0.9880052724236097,0.7175871267370364,0.8966752040696228,0.6861314940032038,0.7828526230982464,0.9766966247558594,0.7319435780184942,0.627992322964187,0.6799679504913406,400,400,400
40,val,11441.478224283854,0.23643863514850014,0.10606735172991952,0.1999106874068578,0.0,0.0,0.0,0.0,,,,0.9766707975234968,0.5687362358571612,0.8065092672684662,0.9881977299883564,0.7250884155759969,0.8928924770897513,0.6876227515628137,0.7839721002163748,0.977104008992513,0.7389983161973003,0.6775671235337473,0.7082827198655237,400,400,400
45,val,10171.765966796875,0.2255136903963591,0.10050404099126657,0.19133085787296294,0.0,0.0,0.0,0.0,,,,0.9764003614630226,0.5686282644319526,0.8176865577093627,0.9880592824221567,0.7250006611832536,0.8997002857740294,0.6931574110706576,0.7875717278681127,0.9768611653645833,0.7380317607587666,0.6736973361173034,0.705864548438035,400,400,400
