epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1724305.715,1.0096939645315473,1.0922382088502247,0.9441648727655411,0.0,0.0,0.0,0.0,,,,0.4503362189818346,0.05140061980401627,0.01230304618967621,0.6210094088362211,0.09777551741142682,0.02430704172230847,0.03185183299684624,0.1713466283251757,0.4596239217122396,0.1202647434143468,0.013318047784500346,0.06679139559942357,400,400,400
5,val,296381.61505208333,0.42876162340766505,0.3689277269442876,0.5545790652434032,0.0,0.0,0.0,0.0,,,,0.9660250810433976,0.4513205164575693,0.3813628555867443,0.9827189798928855,0.621944651563484,0.5521544958942125,0.4163416860221568,0.5995694843625704,0.9668343861897787,0.6061551199342698,0.1618435439825424,0.38399933195840613,400,400,400
10,val,54207.975735677086,0.2547793905985983,0.20751447220643363,0.3025129210948944,0.0,0.0,0.0,0.0,,,,0.9755523678473855,0.5432505646273675,0.7676880542862331,0.9876249131379629,0.7040341692776773,0.8685786526924452,0.6554693094568003,0.7621636622536619,0.9759009552001953,0.7053754786644995,0.5841050834429915,0.6447402810537455,400,400,400
15,val,31500.777923177084,0.2700978605762908,0.16060934177289407,0.2540569802125295,0.0,0.0,0.0,0.0,,,,0.9765337443882378,0.5581572027199824,0.7758531990931551,0.9881275714728436,0.7164324648958917,0.8737807826562994,0.6670052009065688,0.770181382067125,0.9769018046061198,0.724944889838853,0.5726387834554312,0.6487918366471421,400,400,400
20,val,25458.614443359376,0.30090255760832835,0.15192119372387727,0.24260858635107677,0.0,0.0,0.0,0.0,,,,0.9735827901425751,0.5552450100133871,0.6616087311889994,0.9866145925119684,0.7140289876366267,0.7963472010833396,0.6084268706011933,0.7301455104483204,0.974103775024414,0.7343668607457446,0.535656382323779,0.6350116215347619,400,400,400
25,val,17375.550338541667,0.24086285421722814,0.12081594040617347,0.21221907317638397,0.0,0.0,0.0,0.0,,,,0.9763194801430246,0.5669742705881368,0.8052778642560371,0.9880178685202953,0.7236548566624935,0.8921373049548753,0.6861260674220869,0.7828572049957329,0.976811548868815,0.7387660157830137,0.6271488408315271,0.6829574283072704,400,400,400
30,val,13907.901245117188,0.2770438262898671,0.10917469233895341,0.19593373517195384,0.0,0.0,0.0,0.0,,,,0.9759665993767502,0.5640201698273809,0.7986515167968095,0.9878371422721263,0.7212441127145197,0.8880558677860129,0.6813358433120952,0.7795460953336469,0.9765968322753906,0.7395042760788835,0.6166995600605466,0.678101918069715,400,400,400
35,val,10881.438753255208,0.2444160000274056,0.09996741086865465,0.18598036706447602,0.0,0.0,0.0,0.0,,,,0.9770000191234929,0.5719689139820657,0.8091458594965508,0.9883662212169809,0.7277102096544273,0.8945059407445677,0.6905573867393082,0.7860382642007031,0.9774386342366537,0.7499542952879261,0.6381822894526833,0.6940682923703048,400,400,400
40,val,11953.03001546224,0.28073541937690033,0.10437692581365506,0.1939566244681676,0.0,0.0,0.0,0.0,,,,0.9764540894650561,0.5745400813720436,0.7804378572120507,0.9880867910565447,0.7297878131770303,0.8766808165201807,0.6774889692920472,0.7771440093497168,0.9769748433430989,0.7426904945922729,0.6942011084627938,0.7184458015275333,400,400,400
45,val,8037.929502766927,0.2486673762139521,0.08979272554938991,0.17413498262564342,0.0,0.0,0.0,0.0,,,,0.9770193308737586,0.5745515134093498,0.8199927604768744,0.9883761029710898,0.7297970355574879,0.9010945299167233,0.6972721369431121,0.7905212015866608,0.9776127370198567,0.7496459746396194,0.6456727656178223,0.6976593701287208,400,400,400
50,val,7539.358206380209,0.25427002381337316,0.08803027872617046,0.17548620243867238,0.0,0.0,0.0,0.0,,,,0.9763309513144204,0.5719115548326384,0.8094179435140285,0.9880237423444501,0.7276637837216355,0.8946721750112379,0.6906647491733335,0.7858868165536957,0.9768940989176432,0.7401843000126193,0.6683457738089162,0.7042650369107677,400,400,400
