epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.981438162724177,0.9620654457493832,1.017387418548266,0.9454889067014058,0.0,0.0,0.0,0.7289105634557359,0.054605413126340874,0.01729651515149392,0.8432021630995116,0.1035561024942306,0.034004864646406764,0.03595096413891739,0.26693749724452354,0.7266448211669921,0.089092266309893,0.03473060013588643,0.061911433222889715,400,400,400
5,val,0.32617643361290294,0.2858683423776376,0.1711590259273847,0.48119384149710337,0.0,0.0,0.0,0.9704048070242047,0.511420268935653,0.7605548002048276,0.9849801457698982,0.6767413133817463,0.8639944636955835,0.6359875345702403,0.7474599587215618,0.9709699503580729,0.6410462653817484,0.4286062376851261,0.5348262515334372,400,400,400
10,val,0.21869400031864644,0.23014736587279722,0.138461987276872,0.29892601251602174,0.0,0.0,0.0,0.9744184561428191,0.5521512412748584,0.7590339411171997,0.9870435044923778,0.711465772911858,0.8630122743795622,0.655592591196029,0.7618678795116257,0.9748632558186849,0.7072262354480816,0.49500619636862403,0.6011162159083528,400,400,400
15,val,0.2006049095839262,0.21979915174214462,0.12795742283264797,0.2732523969809214,0.0,0.0,0.0,0.9715424951029445,0.5410642658277655,0.7764463965223352,0.9855658678584204,0.7021955901847335,0.8741568538655008,0.6587553311750503,0.7630177191510151,0.9722597249348959,0.6706189654592611,0.5837761521330507,0.6271975587961559,400,400,400
20,val,0.18249865951637426,0.266334151162913,0.11415143687898914,0.2508458818991979,0.0,0.0,0.0,0.964641656343447,0.5576979817227146,0.47039967438565056,0.9820026499273352,0.716054059601382,0.6398255965095868,0.5140488280541826,0.6642464374839374,0.9653846232096354,0.7140848505618228,0.4743282609368346,0.5942065557493287,400,400,400
25,val,0.1752987946321567,0.21374974144916786,0.1102352193556726,0.24036237041155498,0.0,0.0,0.0,0.9758124683470182,0.5696306460493784,0.8131593808318156,0.9877581845238494,0.7258148883408825,0.8969530085753034,0.6913950134405971,0.7862008317427374,0.9764694213867188,0.734564978598263,0.645656339556755,0.690110659077509,400,400,400
30,val,0.1596722375229001,0.22021443985010447,0.10085519547884662,0.218489279349645,0.0,0.0,0.0,0.9774918417242114,0.5772843893550511,0.8136096666791366,0.9886178249634834,0.7319978480115455,0.897226874809198,0.6954470280170939,0.7894619659194664,0.9779382832845052,0.7584654757465783,0.6766354810547323,0.7175504784006552,400,400,400
35,val,0.1520675792048375,0.23113003098650983,0.09655118256186446,0.20758397579193116,0.0,0.0,0.0,0.9737898151388458,0.5692684221477469,0.7442959680138735,0.9867208835205634,0.725520776577699,0.8534055936176465,0.6567821950808101,0.762451401766822,0.9746405537923177,0.7314734811385166,0.6535677960948418,0.6925206386166792,400,400,400
40,val,0.1465655724083384,0.2191877055325006,0.09234711178888877,0.2007840327421824,0.0,0.0,0.0,0.9773065115572445,0.5851060126404322,0.8150738194628813,0.9885230295302658,0.7382547387676315,0.898116441020651,0.7000899160516567,0.7924954478868527,0.9779961903889974,0.7490918506853852,0.6926238496241295,0.7208578501547573,400,400,400
45,val,0.13948309232791264,0.2295271071948503,0.0884912718894581,0.1904749119281769,0.0,0.0,0.0,0.9758204040640617,0.5740772021022378,0.7939652060642205,0.9877622501082571,0.7294142896365396,0.8851511761547487,0.6840212040832292,0.78128760407684,0.9763749694824219,0.7442073328377796,0.6492105709993009,0.6967089519185403,400,400,400
50,val,0.13689212703456483,0.22442715909135968,0.08564578929295143,0.18813846389452615,0.0,0.0,0.0,0.9771907001272929,0.5869367921697842,0.8118304196730745,0.988463783553484,0.7397103590588233,0.8961439336243848,0.6993836059214293,0.7919859706567172,0.9779376475016276,0.76201641924805,0.6908133581659556,0.7264148887070028,400,400,400
55,val,0.13030936067303023,0.2358293866640643,0.08178165864199399,0.17883706331253052,0.0,0.0,0.0,0.9781788182703076,0.5848793687575295,0.8247314955023617,0.9889690550074879,0.7380743043125703,0.9039483316150108,0.7048054321299456,0.7959298941767329,0.9785548655192057,0.759152118237578,0.6156785120592351,0.6874153151484066,400,400,400
60,val,0.12763604568938414,0.21802886242144986,0.07956510831912358,0.17570698300997417,0.0,0.0,0.0,0.9775477070864487,0.5845365445256089,0.8321486327479708,0.988646396325563,0.7378012789229952,0.9083855074572879,0.7083425886367898,0.7980776281200095,0.9781948598225911,0.7515404890473777,0.6864226380124689,0.7189815635299233,400,400,400
