epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.7270287028948466,0.7171759558351416,0.5084725075960159,0.9455848987897237,0.0,0.0,0.0,0.0,0.6960898405603761,0.055782240034252466,0.018188727030039247,0.8208171806870713,0.10566997230876461,0.035727614237282025,0.036985483532145855,0.2566869358748893,0.6943386586507162,0.09353408258329952,0.03534881463403925,0.06444144860866939,400,400,400
5,val,0.3261970108250777,0.29989968750037643,0.18848808832466601,0.46390593389670054,0.0,0.0,0.0,0.0,0.9679312923961038,0.5095101282424271,0.6781467588313053,0.9837043560779756,0.6750668560742508,0.8082091214758597,0.5938284435368661,0.718529393156612,0.9685833994547526,0.6310000629563753,0.3458397729417382,0.48841991794905676,400,400,400
10,val,0.22260518717269104,0.24110004639154986,0.149644504164656,0.2955658706029256,0.0,0.0,0.0,0.0,0.9746144967773335,0.5471552129243011,0.773359589407278,0.9871440712786739,0.70730487588264,0.8721971494408116,0.6602574011657896,0.765043099702971,0.9750520579020182,0.6962678529632191,0.5891692923271028,0.642718572645161,400,400,400
15,val,0.19786292754113674,0.2440866255446484,0.13364624521384635,0.26207961002985636,0.0,0.0,0.0,0.0,0.9722245743022067,0.5362068973781221,0.7773926464625326,0.9859167023574785,0.6980920321257222,0.8747562312804021,0.6567997719203273,0.7619413727142872,0.9728421529134115,0.6603768260834215,0.6052862361093997,0.6328315310964105,400,400,400
20,val,0.19837472374240558,0.2654094233324653,0.13458087207128605,0.26216857592264814,0.0,0.0,0.0,0.0,0.9721405019633643,0.5426155755954113,0.7424944849441776,0.9858734719920309,0.7035007090291762,0.8522201836041553,0.6425550302697944,0.752416854167651,0.9727483367919922,0.6927709287892172,0.586541709113171,0.6396563189511941,400,400,400
25,val,0.18793173054854076,0.2829417072628674,0.12862046112616857,0.2472430004676183,0.0,0.0,0.0,0.0,0.969649714485712,0.54978310931863,0.5557016267027425,0.9845910238297307,0.7094968399292271,0.7144064352243861,0.5527423680106862,0.6917114835023614,0.9699308013916016,0.6983264880662313,0.5745326629385622,0.6364295755023968,400,400,400
30,val,0.16952112442503373,0.25385232857967677,0.11655147571116686,0.22249077280362448,0.0,0.0,0.0,0.0,0.9763500380616406,0.5683572734561928,0.7765851110601728,0.9880335155802892,0.7247803585004614,0.8742447589203847,0.6724711922581827,0.7737641408593353,0.9767849985758463,0.742100316826283,0.6071342307084674,0.6746172737673752,400,400,400
35,val,0.16073039884368578,0.26829353072925616,0.11129963715871175,0.21016116082668304,0.0,0.0,0.0,0.0,0.9752444924069192,0.5619407949142963,0.7686887894535887,0.987467117266625,0.7195417351848217,0.8692188179595621,0.6653147921839424,0.768624692258268,0.9757255554199219,0.7337981842781954,0.6070435719423083,0.6704208781102519,400,400,400
40,val,0.1620748480906089,0.2748781558322279,0.11010140423973401,0.2140482920408249,0.0,0.0,0.0,0.0,0.9748712877163983,0.5711142834124157,0.7010837707041101,0.9872757721275807,0.7270181290338366,0.8242789482541693,0.6360990270582629,0.749023113944308,0.975332768758138,0.7419638867608243,0.6176009839779335,0.6797824353693789,400,400,400
45,val,0.14844174516697725,0.2703938509680723,0.10192072506994009,0.19496276477972665,0.0,0.0,0.0,0.0,0.9735145297219581,0.5549081370735652,0.7584038084570148,0.9865795412807153,0.7137503802866929,0.86260482923147,0.6566559727652901,0.7622754917508461,0.9740677897135417,0.7309291411367415,0.5937083989449716,0.6623187700408566,400,400,400
50,val,0.1446050029247999,0.2753960276512723,0.0982642076164484,0.19094579895337424,0.0,0.0,0.0,0.0,0.9755254392922941,0.5626085722761806,0.7784046935463738,0.9876111133671487,0.7200889362288014,0.8753965802846955,0.6705066329112772,0.772179568371616,0.9759870147705079,0.7385228514118539,0.6889225048435099,0.713722678127682,400,400,400
55,val,0.13560699947178365,0.2860114701876515,0.09283053250362476,0.17838346640268962,0.0,0.0,0.0,0.0,0.9759867023476564,0.56809396704217,0.7779938583578986,0.9878474396493592,0.7245662300630388,0.8751367218742029,0.6730439127000343,0.774024842582575,0.9764103698730469,0.7426252938431003,0.6141579947682398,0.6783916443056701,400,400,400
60,val,0.13618314354370037,0.29906130033104045,0.08944063420717915,0.17510946293671925,0.0,0.0,0.07816189845403035,0.0,0.9757625320299765,0.5660450678591237,0.7683750939638218,0.9877326006657688,0.722897545513094,0.8690182264911966,0.6672100809114727,0.770060897950974,0.9761792500813802,0.7377107027027742,0.6414299995877296,0.6895703511452519,400,400,400
65,val,0.13125571313003698,0.28800918397150543,0.08588497318327427,0.1695612625281016,0.0,0.0,0.07065190732479096,0.0,0.9761650873385259,0.5715649728873903,0.7625637276846852,0.9879388049034028,0.7273831915931172,0.8652892553126503,0.6670643502860377,0.7700979293035338,0.9765913899739583,0.7459669101361354,0.6212343259759762,0.6836006180560558,400,400,400
70,val,0.1264524752025803,0.306303024684128,0.08235828335086505,0.1639269826809565,0.0,0.0,0.06619683921337127,0.0,0.9763946449707921,0.5716557818509188,0.7744948850454503,0.9880563555010256,0.7274567223335471,0.8729187010596687,0.6730753334481845,0.7741817706223871,0.9768102773030599,0.7528221792940666,0.6269565568599857,0.6898893680770262,400,400,400
75,val,0.12393474822243054,0.3102834797219226,0.08091163483137885,0.16058568278948465,0.0,0.0,0.06372179011503855,0.0,0.9758799433055384,0.5661217587078847,0.7707938549646083,0.9877927518945762,0.7229600834803018,0.8705630560029401,0.6684578068362466,0.7709318523260104,0.9763127899169922,0.7448545023140226,0.6565473372080265,0.7007009197610246,400,400,400
80,val,0.12225054127474626,0.30706012484274414,0.07910001405204335,0.15914835890134177,0.0,0.0,0.06252710481484731,0.0,0.9766092654368204,0.5721699308277464,0.771786967638194,0.9881662324607132,0.7278728839782597,0.8711961220337817,0.6719784492329701,0.7735220546342535,0.9770066324869792,0.7526166389969999,0.661232896557448,0.7069247677772239,400,400,400
85,val,0.1189873439570268,0.3092643259779403,0.07739763338739673,0.15466068883736928,0.0,0.0,0.05916364868481954,0.0,0.9767822985245052,0.5721861486953994,0.7715175559498336,0.9882548010001785,0.7278860065905042,0.8710244539870444,0.6718518523226165,0.7734953343899127,0.9771631876627604,0.7537414385507412,0.6362546815208874,0.6949980600358143,400,400,400
90,val,0.11879120752215386,0.31159268790169764,0.0770146548251311,0.15464946965376536,0.0,0.0,0.05918290654818217,0.0,0.9764778259953044,0.5721179234692748,0.7751596568866811,0.9880989436383631,0.7278308006396267,0.8733407768472784,0.6736387901779779,0.7745851354504202,0.9768793487548828,0.7506495114937008,0.6616054290814501,0.7061274702875755,400,400,400
91,val,0.11941751016924779,0.3134099692106247,0.07723913041874766,0.15563604811827342,0.0,0.0,0.059598417083422346,0.0,0.9765018997109878,0.5712261055483816,0.7746519871538304,0.9881112685535752,0.7271087255121886,0.8730184765929344,0.672939046351106,0.7741266641377332,0.9769017537434895,0.7509736026387214,0.6585967861642393,0.7047851944014804,400,400,400
92,val,0.11658611055463552,0.30795749727832644,0.07654665096352498,0.1507958835363388,0.0,0.0,0.05829686224460602,0.0,0.9764344999322975,0.5714448037345126,0.7765581316485647,0.9880767614264425,0.727285873963226,0.8742276628212039,0.6740014676915387,0.7748124784384581,0.9768357849121094,0.7499993142742358,0.6591881248351004,0.7045937195546681,400,400,400
93,val,0.11729719416548809,0.3065440211641161,0.0765172364624838,0.15225873947143553,0.0,0.0,0.05818412522474925,0.0,0.9765070227349507,0.5730780422020675,0.776228990002056,0.9881138913270637,0.7286072614679007,0.8740190531415182,0.6746535161020617,0.775271351646358,0.9769075266520182,0.7527501964194259,0.6399476536882817,0.6963489250538537,400,400,400
94,val,0.11897351833681266,0.30545529644740255,0.07732210646693906,0.15467745939890543,0.0,0.0,0.05947470744450887,0.0,0.9761403733756912,0.5699850073086764,0.7758824341530013,0.987926147886169,0.7261024846164165,0.873799322783498,0.6729337207308388,0.7740026049457897,0.9765555572509765,0.7474387201315429,0.6381903224596602,0.6928145212956016,400,400,400
95,val,0.11859103611359993,0.3070532075668636,0.0770212343459328,0.15415713608264922,0.0,0.0,0.06003701786200206,0.0,0.9764095648457485,0.5714423927829094,0.7763301469232188,0.9880639946426829,0.7272839213290241,0.8740831745358825,0.6738862698530641,0.7747273681839588,0.9768136850992839,0.7501295666504266,0.6609937526273215,0.7055616596388741,400,400,400
96,val,0.11942033385237058,0.3066411688923836,0.07654562746485075,0.1564651075998942,0.0,0.0,0.058299324711163836,0.0,0.9763611640220233,0.5723804352156056,0.7749209936603397,0.988039212463642,0.7280431915792954,0.8731892815829002,0.6736507144379726,0.7745541976326562,0.976768315633138,0.7506500844405591,0.6406793283022603,0.6956647063714096,400,400,400
97,val,0.11853474531322718,0.30752736565313843,0.07667478441571196,0.15449174543221791,0.0,0.0,0.05902960916360219,0.0,0.9766673866531639,0.5736251752361544,0.7746811082969232,0.9881959840566085,0.7290493114411064,0.873036969487265,0.6741531417665387,0.7749912233954138,0.9770613352457682,0.7531799521779019,0.639230488578483,0.6962052203781924,400,400,400
98,val,0.11727334388842185,0.30871181739004033,0.0763958379936715,0.15227612296740214,0.0,0.0,0.05874726990858714,0.0,0.9765501439987881,0.5729250272466903,0.775174616074646,0.9881359670674632,0.7284835797286038,0.8733502710722064,0.6740498216606681,0.7748832624400416,0.9769491831461589,0.7519494577104311,0.6424320067141343,0.6971907322122827,400,400,400
99,val,0.11854148338238399,0.30833128094673157,0.07672555167848866,0.154401686390241,0.0,0.0,0.05955728610356649,0.0,0.9765827034609775,0.5729188416292463,0.7754166026724005,0.9881526351019773,0.7284785793980455,0.8735038317262828,0.6741677221508234,0.7749727159208749,0.9769791158040365,0.7520221248100556,0.6419364944972827,0.6969793096536692,400,400,400
100,val,0.11666455597927174,0.3078895166124168,0.07615180549522241,0.15133549650510153,0.0,0.0,0.05841810683409373,0.0,0.9765094233954956,0.5729412260241877,0.775697181298843,0.9881151203599378,0.728496674312963,0.8736818298393144,0.6743192036615153,0.7750492769061754,0.9769080607096354,0.75173753896524,0.6429292801787129,0.6973334095719764,400,400,400
