epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1642218.0529166667,0.9627918491238042,1.0192129323879877,0.9459932891527811,0.0,0.0,0.0,0.0,,,,0.734150491504928,0.04682251112196767,0.013603030306071408,0.8466975560671421,0.08945644677011015,0.026840942458437177,0.030212770714019538,0.26485867764432236,0.7310269927978515,0.07408940439146727,0.032658537691557854,0.05337397104151256,400,400,400
5,val,267993.8009375,0.40321530558561025,0.39654096129039923,0.6311109544833501,0.0,0.0,0.0,0.0,,,,0.9684269088857177,0.4065349237475027,0.5838651594855425,0.9839602420736286,0.5780658793232819,0.7372662451583804,0.49520004161652265,0.6529423307062543,0.9689735412597656,0.5516772967177377,0.11050632569178291,0.3310918112047603,400,400,400
10,val,44569.2226953125,0.26989711507370595,0.20863534937302272,0.3502231089274089,0.0,0.0,0.0,0.0,,,,0.9734587364675452,0.5327610329026549,0.772568017050843,0.9865508900480163,0.6951651581248025,0.8716935086487948,0.6526645249767489,0.7595959288070144,0.9739695994059244,0.684776607617307,0.4762577656923337,0.5805171866548203,400,400,400
15,val,26458.002001953126,0.2662455047431745,0.15623921137303115,0.26597159186999003,0.0,0.0,0.0,0.0,,,,0.9761747379415673,0.5539878207740864,0.7551896481819178,0.9879437472805417,0.7129886262533627,0.8605219942633181,0.6545887344780021,0.7617840689658572,0.9765060170491536,0.7178631429138875,0.5584113382328779,0.6381372405733827,400,400,400
20,val,24430.12991861979,0.2739845902511948,0.1585931985701124,0.26473072191079455,0.0,0.0,0.0,0.0,,,,0.9762430379185465,0.5601465071998224,0.766067130943719,0.9879787244657544,0.7180691103237259,0.867540216927498,0.6631068190717707,0.7674855586873627,0.9766875203450521,0.7312529945331407,0.5363821323984682,0.6338175634658045,400,400,400
25,val,16408.2037109375,0.24005020605890373,0.1263508051695923,0.23261541883150735,0.0,0.0,0.0,0.0,,,,0.9754040194563597,0.5643693891070543,0.7752365524798704,0.9875488860499488,0.7215295735608808,0.8733895788670236,0.6698029707934623,0.7716699870144281,0.9760041046142578,0.7296103646076152,0.5520021192632628,0.640806241935439,400,400,400
30,val,14126.075392252604,0.23949117429162325,0.11431269065166513,0.2142556130886078,0.0,0.0,0.0,0.0,,,,0.9769175018426975,0.5682948194258475,0.7958466465812339,0.9883239952421955,0.7247295755703639,0.8863191610445055,0.6820707330035407,0.7803529892832596,0.9773343404134115,0.7421787194648025,0.5940612985701034,0.6681200090174529,400,400,400
35,val,12176.318842773437,0.2304403270153623,0.10746101971715688,0.20859434485435485,0.0,0.0,0.0,0.0,,,,0.9766436582068136,0.5721883415909097,0.7935584620654023,0.98818383794357,0.7278877809409372,0.8848983502345017,0.6828734018281559,0.7807968206210418,0.9771411387125651,0.7451637253861213,0.5837943308731616,0.6644790281296414,400,400,400
40,val,10643.567726236979,0.2376140607030768,0.10152628353486458,0.20057235221068065,0.0,0.0,0.0,0.0,,,,0.9767055796943936,0.5717768631656134,0.7903318421579756,0.9882155336915639,0.7275547522872106,0.8828886618084718,0.6810543526617945,0.7796047616726609,0.9771400197347005,0.744516941453347,0.6177270327391762,0.6811219870962616,400,400,400
45,val,10112.954931640625,0.23227071860118917,0.09831389625246326,0.19397165556748708,0.0,0.0,0.0,0.0,,,,0.9767801071645437,0.5756370153110179,0.801908944220228,0.9882536794298469,0.7306721151094459,0.8900660011621755,0.6887729797656229,0.7847753555652631,0.9772592417399089,0.7373963156558069,0.6401869512128882,0.6887916334343476,400,400,400
