epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1756566.8045833334,1.022819211608485,1.1374811653296153,0.9422252909342448,0.0,0.0,0.0,0.0,,,,0.3063215659360239,0.05086764546861708,0.019457712296750196,0.46898340182653886,0.09681075573686256,0.0381726717293916,0.03516267888268364,0.1255489745671304,0.3175,0.10916507403406497,0.030525526154200247,0.06984530009413262,400,400,400
5,val,291292.83286458335,0.3622363895962113,0.3530426900088787,0.5627040688196818,0.0,0.0,0.0,0.0,,,,0.9703817710442704,0.4174032168400596,0.693317702650954,0.984968279045724,0.588968914252379,0.8188867352718731,0.5553604597455069,0.6937008968450947,0.9707662200927735,0.5717428662465432,0.3391792781534952,0.4554610722000192,400,400,400
10,val,44914.71169921875,0.261658505193497,0.20703142878909905,0.31775865018367766,0.0,0.0,0.0,0.0,,,,0.975722577367917,0.5327156000610533,0.784450379365015,0.9877121297746034,0.6951264801373894,0.8792067164615208,0.6585829897130342,0.7642961855979952,0.9760885365804036,0.6938505223518505,0.5108467267858795,0.602348624568865,400,400,400
15,val,33892.58830078125,0.26217758224198695,0.19451689028491576,0.29575716972351074,0.0,0.0,0.0,0.0,,,,0.9757940810445875,0.5498713881297684,0.7786869273391137,0.9877487643132249,0.7095703454378868,0.8755750271398424,0.6642791577344411,0.7681174655044899,0.9762870788574218,0.7081582845398359,0.5274150557679366,0.6177866701538862,400,400,400
20,val,20994.461298828126,0.23744082862609311,0.14351908344154557,0.25057462652524315,0.0,0.0,0.0,0.0,,,,0.9764917645717167,0.5624689404335458,0.7890882507598979,0.9881060797471234,0.7199745554973718,0.8821121601181388,0.6757785955967218,0.7760163185883867,0.9769064331054688,0.7280625276370831,0.5982782088681267,0.6631703682526049,400,400,400
25,val,21292.597825520832,0.2439990874968077,0.1496585639566183,0.25772030850251515,0.0,0.0,0.0,0.0,,,,0.977166428735224,0.5685029268859649,0.7892250076488426,0.9884513660899136,0.7248987772240184,0.8821976042978913,0.6788639672674037,0.7782981210900105,0.9775247955322266,0.7420477661067796,0.5273591584147228,0.6347034622607512,400,400,400
30,val,14958.767825520834,0.22931506504353724,0.11874987908949454,0.21874325315157572,0.0,0.0,0.0,0.0,,,,0.9766235394491813,0.5709210535291948,0.802897058071796,0.988173539328924,0.726861546920613,0.8906743227264422,0.6869090558004953,0.7834805503500574,0.9770459493001302,0.7351969051907329,0.6084579056075236,0.6718274053991282,400,400,400
35,val,12969.331352539062,0.22795114470155617,0.11046049839506547,0.2101857203245163,0.0,0.0,0.0,0.0,,,,0.9773593137176487,0.5784859087700932,0.8069353068010394,0.9885500393756033,0.7329630319232071,0.8931535111012036,0.6927106077855663,0.7875935097629272,0.97787473042806,0.7452608652047712,0.6207875755559795,0.6830242203803754,400,400,400
40,val,12331.587833658854,0.23072158094299466,0.10946962293237447,0.2088004312912623,0.0,0.0,0.0,0.0,,,,0.9768666148606499,0.5767970064168417,0.8000960216896051,0.9882979534555087,0.7316059125804298,0.8889481583750398,0.6884465140532234,0.7845865476556989,0.9772657267252605,0.7462498555639318,0.6085455264859035,0.6773976910249176,400,400,400
45,val,10628.713113606771,0.2215089035269461,0.09992847004284461,0.19722021261850992,0.0,0.0,0.0,0.0,,,,0.9774314497990775,0.5792157570088585,0.8100134202051401,0.9885869367541334,0.7335486040310696,0.8950358170419933,0.6946145886069993,0.7888868756710253,0.977833735148112,0.7526580615617464,0.6596943748283168,0.7061762181950316,400,400,400
50,val,10071.516713867188,0.2273661568760872,0.09741837559267878,0.19661336998144785,0.0,0.0,0.0,0.0,,,,0.977921261901836,0.5829240756574531,0.8061046240873762,0.9888374029222303,0.7365155216498187,0.8926444385742055,0.6945143498724147,0.7889833205488884,0.978331807454427,0.756364955923876,0.667687991049668,0.7120264734867721,400,400,400
55,val,9250.130068359374,0.23439493598906616,0.09488592704137166,0.18940366466840108,0.0,0.0,0.0,0.0,,,,0.9777259265987555,0.5790557847340182,0.8120209336532063,0.988737532788706,0.7334203013373038,0.8962599918932448,0.6955383591936122,0.7896008816619933,0.9781196848551432,0.7545313370457295,0.6644128377404519,0.7094720873930906,400,400,400
60,val,8742.639471028646,0.23099599817865774,0.0916768474318087,0.1887889991203944,0.0,0.0,0.0,0.0,,,,0.9776833417124853,0.5785902878831065,0.8189406346943101,0.9887157575650151,0.7330468105932636,0.9004588924717059,0.6987654612887083,0.7917380880966339,0.9780777231852213,0.7619363551115516,0.6649220065805634,0.7134291808460576,400,400,400
65,val,8231.918138020834,0.23822468264322533,0.0895254063171645,0.18211583256721497,0.0,0.0,0.0,0.0,,,,0.9771318195185505,0.5801890659086402,0.7944415120776193,0.9884336591745218,0.7343286679116716,0.8854470950772959,0.6873152889931298,0.78392079916827,0.9775549825032552,0.7578860952563654,0.6660700878302623,0.7119780915433138,400,400,400
70,val,7870.509680175781,0.22567655106908396,0.0877349371338884,0.1803586882352829,0.0,0.0,0.0,0.0,,,,0.9775834588975342,0.5825414230667374,0.810692216765811,0.9886646801167306,0.7362100158337164,0.8954500486160353,0.6966168199162742,0.7902723662433608,0.9779949442545572,0.7610566772119718,0.6635609556434897,0.7123088164277307,400,400,400
75,val,7564.066220703125,0.22343921798624491,0.08643533106272419,0.18106121083100638,0.0,0.0,0.0,0.0,,,,0.9781920782340818,0.5839131655403597,0.8237367349457059,0.9889758320206267,0.7373045167424375,0.9033504882164137,0.7038249502430327,0.7952806595733825,0.9785754648844401,0.761289534028889,0.6952722800896753,0.7282809070592822,400,400,400
80,val,7431.201508789062,0.22484479197546056,0.0866708610455195,0.17974419732888539,0.0,0.0,0.0,0.0,,,,0.9778234321848539,0.5834441368548189,0.8164921607775766,0.9887873874612517,0.7369304963466647,0.8989768064047851,0.6999681488161977,0.7925865766057498,0.9782263437906901,0.7608927100452791,0.6743150541890233,0.7176038821171512,400,400,400
85,val,7208.804807128906,0.22292727271192952,0.08476610764240225,0.1786098204056422,0.0,0.0,0.0,0.0,,,,0.977899072105538,0.5817855224209632,0.8256316639803737,0.9888260588185954,0.7356060782886994,0.9044887643767878,0.7037085932006684,0.7951054195022916,0.9782909393310547,0.7617342305560966,0.6987123333370456,0.730223281946571,400,400,400
