epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1394057.98125,0.9665506811518418,1.018691350221634,0.9459101984898249,0.0,0.0,0.0,0.0,,,,0.7103655652695197,0.04898673516377003,0.012711452243609036,0.8306593393764685,0.09339819755894647,0.025103798748295936,0.03084909370368953,0.2573545842256329,0.707219975789388,0.08068214181275753,0.03104904858541781,0.05586559519908767,400,400,400
5,val,202044.86809895834,0.39670082377760035,0.29819229717055956,0.5541346659262975,0.0,0.0,0.0,0.0,,,,0.9641648478122925,0.45621160623987905,0.35196247452674345,0.9817555271760305,0.6265732319190541,0.5206689995592496,0.4040870403833112,0.5907796428596384,0.9650374094645182,0.5810923538922675,0.094387897819392,0.3377401258558298,400,400,400
10,val,31303.105550130207,0.25203447710526616,0.18170376234998306,0.335230397383372,0.0,0.0,0.0,0.0,,,,0.9728395202100998,0.5367236142090761,0.7658410832626206,0.9862327982019502,0.698529793186419,0.8673952492345798,0.6512823487358483,0.7584680725605987,0.9734727478027344,0.6812937097477058,0.5460609295256674,0.6136773196366866,400,400,400
15,val,14609.943483072917,0.23168197764377846,0.12991090811789036,0.2619090791543325,0.0,0.0,0.0,0.0,,,,0.9735228613737437,0.5512095937107724,0.7871168775880657,0.9865838196534364,0.7106835800211625,0.8808790151994724,0.669163235649419,0.7706164442241938,0.9741453043619792,0.7066927285545189,0.5796791096116756,0.6431859190830973,400,400,400
20,val,17155.668854166666,0.2311528030979006,0.15192495411261916,0.27758490065733593,0.0,0.0,0.0,0.0,,,,0.9736832854303111,0.5496682625636575,0.8034964896667656,0.9866661917015975,0.7094012000404869,0.8910430314341545,0.6765823761152115,0.775616012553578,0.9743762715657552,0.7181358745950254,0.5989720280984197,0.6585539513467225,400,400,400
25,val,8200.415458170573,0.23413918383027377,0.11395632736384868,0.24141216456890105,0.0,0.0,0.0,0.0,,,,0.9732045832657251,0.5515610001371303,0.7595709464949042,0.9864203555163411,0.710975591792243,0.8633592729045483,0.6555659733160173,0.7614455099659199,0.973787841796875,0.711451968312508,0.5924189532470711,0.6519354607797896,400,400,400
30,val,6117.861594238281,0.22597107428469157,0.10458879914755623,0.22643292824427286,0.0,0.0,0.0,0.0,,,,0.9756419085236455,0.56433709643221,0.7918745681312347,0.9876707963263662,0.7215031820434302,0.8838504460243434,0.6781058322817224,0.7772845243623635,0.976193618774414,0.7341928918444985,0.6231332126881132,0.6786630522663059,400,400,400
35,val,5625.204518229167,0.23986634102306867,0.102445055047671,0.22164786716302237,0.0,0.0,0.0,0.0,,,,0.9735326739995677,0.5556044685181286,0.7613220724903311,0.9865888584723589,0.7143261410754347,0.8644893337581341,0.6584632705042299,0.7634864050026758,0.9742604573567708,0.7113173344324352,0.6296962293196213,0.6705067818760282,400,400,400
40,val,5484.374288736979,0.26727628374570295,0.1039454127723972,0.22223459045092264,0.0,0.0,0.0,0.0,,,,0.9741201600947503,0.5578636414263395,0.7295984019041827,0.9868904434348071,0.7161905915148954,0.8436622063259763,0.6437310216652611,0.7538607344750908,0.9746379852294922,0.7210941689355875,0.5913972550866937,0.6562457120111407,400,400,400
45,val,4253.298889567057,0.22890300989935272,0.09841304083665212,0.21823269744714102,0.0,0.0,0.0,0.0,,,,0.9750226568354143,0.5616189245469939,0.7995359170575167,0.9873533890468846,0.71927781575766,0.8886023440586454,0.6805774208022553,0.7787258328133083,0.9756184641520182,0.7193968783520992,0.6059764464109776,0.6626866623815384,400,400,400
