epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,0.778452355787158,1.1901795048462718,0.31106660831719635,0.9543172042816878,0.0,0.14576045414432884,0.0,0.0,,,,0.5982040208076778,0.03273668490433666,0.008369696501649908,0.7485953145148088,0.06339793169518151,0.016600452256125914,0.020553190702993288,0.21310346740455477,0.5952733612060547,0.05320190891732411,0.02311074107802381,0.03815632499767396,400,240,0
5,val,0.42933580093085766,0.5071095981095967,0.07226555596571416,0.7030992545187473,0.0,0.041653396026231346,0.0,0.0,,,,0.9619393084220942,0.40563906575524705,0.647540177239483,0.9806004745332737,0.5771596359799491,0.7860690575989006,0.526589621497365,0.6717061838056081,0.9623111216227214,0.4446600210479601,0.23831425082015575,0.34148713593405794,400,240,0
10,val,0.18165809884667397,0.4352379045204112,0.03689775797247421,0.2597413446754217,0.0,0.033338547305902466,0.0,0.0,,,,0.9720300674060358,0.4743040874373576,0.7551333050874055,0.985816680457233,0.6434277588713672,0.860485414866878,0.6147186962623815,0.7338224866435996,0.9724009704589843,0.6072370561481129,0.5284578158826021,0.5678474360153575,400,240,0
15,val,0.18797883656807243,0.3726761964590926,0.0487173693429213,0.26380316242575647,0.0,0.031718570383964105,0.0,0.0,,,,0.9721828582069302,0.49494677469210785,0.774013943977729,0.985895252218975,0.6621597277856862,0.8726131455790248,0.6344803593349184,0.7470478589589223,0.9726413218180339,0.6434131204992015,0.5231284828017765,0.5832708016504891,400,240,0
20,val,0.14658726644702255,0.38307798183278036,0.03313234781962819,0.19983299411833286,0.0,0.03010459523939062,0.0,0.0,,,,0.9715610563678068,0.5019438042693857,0.6939287126510639,0.9855754182502539,0.6683922565445838,0.8193127697387438,0.5979362584602248,0.7224778577627521,0.9720675659179687,0.6603509571747713,0.592438797286193,0.6263948772304821,400,240,0
25,val,0.14410481471568345,0.3805429900163098,0.03352341139689088,0.1964387245476246,0.0,0.029123747037374415,0.0,0.0,,,,0.9727257818371361,0.505046449517759,0.6934676495094831,0.9861743490078665,0.6711373588231566,0.8189913160848956,0.5992570495136211,0.7237466269547927,0.9730470784505209,0.6729943415335105,0.5862514303557158,0.6296228859446131,400,240,0
30,val,0.19616967831947366,0.34584163325397593,0.05077291284972916,0.24398444599034835,0.0,0.048790998352045305,0.0,0.0,,,,0.9758624022352597,0.5295876685847667,0.7826087763863512,0.9877837658445072,0.6924580780319203,0.878048831300866,0.6560982224855589,0.7626862824021258,0.9762465159098307,0.7040035271766628,0.6015718818408038,0.6527877045087334,400,400,180
35,val,0.17294893939884343,0.3247626396386247,0.039759601568993254,0.21736163022566815,0.0,0.04438832317459948,0.0,0.0,,,,0.9759092989265292,0.5467189035636872,0.7775145880140234,0.987807790020241,0.7069402233386174,0.8748334255672385,0.6621167457888553,0.7667142635014134,0.9762522633870443,0.7257089564778231,0.5770228273127567,0.6513658918952898,400,400,180
40,val,0.16920545682006952,0.2996879463133059,0.03963694379721977,0.21176015698179906,0.0,0.043506907147108295,0.0,0.0,,,,0.9754279144578895,0.5551233535775191,0.7904942419589839,0.9875611327741849,0.7139283868388612,0.8829899850379885,0.6728087977682515,0.7736818366647974,0.9758840688069661,0.724423483167563,0.6287946393007441,0.6766090612341535,400,400,180
45,val,0.15643679548283013,0.315922264205782,0.035832347086041556,0.1924384737501339,0.0,0.04230138505143779,0.0,0.0,,,,0.9750211402891288,0.5543188356123725,0.7694237336727123,0.9873526114726983,0.7132627140736942,0.8696884969160603,0.6618712846425424,0.7662545698580713,0.9754913075764974,0.7192118070045738,0.6237380140738865,0.6714749105392301,400,400,180
50,val,0.15136771065240004,0.3154146835992211,0.03475773735542079,0.18422178200313022,0.0,0.04187795172768588,0.0,0.0,,,,0.9756319964705377,0.558074926918266,0.7662155760543995,0.9876657173132467,0.7163646847486195,0.8676353967685766,0.6621452514863327,0.7666408331477345,0.9761093393961588,0.7399161816653337,0.6245474659310306,0.6822318237981821,400,400,180
55,val,0.147052939631501,0.3144240508738317,0.0341852249691681,0.17584688176914137,0.0,0.042036886205326536,0.0,0.0,,,,0.9760074767011047,0.5631163750049198,0.7754851661833594,0.9878580807098208,0.7205047352960492,0.8735473333752121,0.6693007705941396,0.7715363392964613,0.9765250651041667,0.7333364285515427,0.6470524219500094,0.6901944252507761,400,400,180
60,val,0.17000991604451476,0.3230648123120007,0.04035469388653492,0.19652008763675033,0.0,0.05157252488143999,0.0,0.0,,,,0.9757562672029703,0.5597992811655604,0.7842761412601782,0.9877293909175594,0.7177837404146645,0.8790972687739562,0.6720377112128693,0.7732772298762361,0.9762528483072916,0.7344599064982174,0.6880148969626764,0.7112374017304468,360,400,400
65,val,0.16272972566557342,0.3070128599279805,0.03773547089176959,0.18622850344098849,0.0,0.05074773778303944,0.0,0.0,,,,0.9764199285824519,0.5659897563779196,0.7893638476206362,0.9880693009230784,0.7228524376647705,0.8822843366040662,0.6776768019992778,0.7772578441936693,0.9768203735351563,0.7403838240936159,0.6539267139890264,0.6971552690413212,360,400,400
