epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1.0374243625005086,1.020396905510049,1.1333463980754217,0.9415023330847422,0.0,0.0,0.0,0.0,,,,0.3056718824056223,0.05656718345124332,0.0213776017373521,0.4682215900099498,0.10707730532850435,0.04186033001113208,0.03897239259429771,0.12787222253140593,0.31884923299153645,0.11362254615699738,0.028734532508108115,0.07117853933255275,400,400,400
5,val,0.307966340482235,0.31016864431531804,0.16426236567397912,0.4516703140735626,0.0,0.0,0.0,0.0,,,,0.9653792940114884,0.4825661804265822,0.708010732628655,0.982384720295975,0.650987708741248,0.8290471706100061,0.5952884565276186,0.7186520690222419,0.9661319732666016,0.6133655821867172,0.4186246144494751,0.5159950983180961,400,400,400
10,val,0.2187180362890164,0.2376786935094156,0.13514205234746138,0.30229402124881743,0.0,0.0,0.0,0.0,,,,0.9738341103031021,0.5469739840378007,0.735312439365624,0.9867436226984243,0.7071534359099284,0.8474697958535136,0.6411432117017124,0.7520401779021756,0.9743135070800781,0.6982673594717478,0.5828871964072224,0.6405772779394852,400,400,400
15,val,0.19480658081670602,0.2550427699951749,0.11921565346419812,0.2703975083430608,0.0,0.0,0.0,0.0,,,,0.9719382675482298,0.5446829288290812,0.6340416606665457,0.9857694670702546,0.705235901379409,0.7760409981320945,0.5893622947478134,0.716887619014619,0.9725017293294271,0.6924628851832372,0.5206645310596592,0.6065637081214481,400,400,400
20,val,0.17827924999097983,0.2381751366743916,0.11185588805625836,0.24470261255900064,0.0,0.0,0.0,0.0,,,,0.9739996610348575,0.5496100461718717,0.7483468858029887,0.986828600086227,0.709352714290435,0.8560622515814813,0.6489784659874303,0.7573188643365727,0.9745593770345052,0.6748750404941845,0.5879390714790814,0.6314070559866329,400,400,400
25,val,0.17072137472530205,0.23863807987225683,0.10668256503840287,0.23476018408934277,0.0,0.0,0.0,0.0,,,,0.9752510035727767,0.5616856888373345,0.7718373362720281,0.9874704549535942,0.719332568457493,0.8712282109327093,0.6667615125546813,0.7695913428940465,0.9758359018961589,0.7249255243307754,0.6112574599228802,0.6680914921268277,400,400,400
30,val,0.15887642020980516,0.23478970500199417,0.10020561804374059,0.21754722237586976,0.0,0.0,0.0,0.0,,,,0.974817006135214,0.5564709134831186,0.7691747773166943,0.9872479354864024,0.7150418406956681,0.8695294407071539,0.6628228453999064,0.7668208989783424,0.9752743784586588,0.7244320577251276,0.6653291902244816,0.6948806239748047,400,400,400
35,val,0.1644411902874708,0.30504114259230464,0.10689606681466103,0.22198631385962167,0.0,0.0,0.0,0.0,,,,0.9718387021332582,0.5472121724096317,0.6631337540764376,0.9857182548266878,0.7073524655088542,0.7974508994854541,0.6051729632430347,0.7273948762064425,0.9725636037190756,0.6992012173934485,0.6351296090336046,0.6671654132135265,400,400,400
40,val,0.1455591927220424,0.2373089974648074,0.09231462915738424,0.19880375583966572,0.0,0.0,0.0,0.0,,,,0.9750568574911563,0.5582238192455162,0.7990135295793745,0.9873709243284631,0.7164873394321558,0.8882796226287315,0.6786186744124454,0.777431402105349,0.9754569244384765,0.7221642652725784,0.6551871688469943,0.6886757170597864,400,400,400
45,val,0.13791282544533412,0.23924515317929418,0.0869797110495468,0.18884593943754832,0.0,0.0,0.0,0.0,,,,0.9761696760260001,0.5661383181020567,0.778755042195339,0.9879411549205017,0.7229735861237827,0.8756180853707656,0.6724466801486979,0.7736876787744653,0.9765461222330729,0.7398296232954277,0.688985200940574,0.7144074121180009,400,400,400
