epoch,split,train_loss,val_loss,loss_ce,loss_dice,loss_tversky,loss_bd,loss_cldice,loss_snake,loss_skel_pred,loss_skel_consist,loss_contrastive,IoU_background,IoU_crack,IoU_spalling,Dice_background,Dice_crack,Dice_spalling,mIoU_fg,mIoU_all,pixel_acc,BF1_crack,BF1_spalling,BF1_fg_mean,sampled_t0,sampled_t1,sampled_t2
1,val,1713997.65125,1.558858639315555,1.091995949347814,0.9441387710968653,0.0,0.0,0.0,0.0,,,,0.48953126623255905,0.051328862491587524,0.013359529488112976,0.6572957242726706,0.09764568314036606,0.026366810789969854,0.03234419598985025,0.1847398860707532,0.49721054077148436,0.12211468908997954,0.01409294747262336,0.06810381828130145,400,400,400
5,val,275276.5728125,0.819556408806851,0.3400738450139761,0.5465042291084925,0.0,0.0,0.0,0.0,,,,0.9694940185497143,0.432302793856643,0.5942952719577248,0.9845107519175156,0.6036472116243201,0.7455272337701363,0.5132990329071839,0.6653640281213608,0.9702527872721354,0.5933291924624032,0.1805258946485221,0.38692754355546266,400,400,400
10,val,42775.854479166665,0.6647369555736843,0.1876703528687358,0.3041747258106868,0.0,0.0,0.0,0.0,,,,0.9734520536768507,0.5344142169176042,0.7439321208843216,0.986547458159074,0.6965709924027659,0.8531663726763458,0.6391731689009629,0.7505994638262589,0.9738232930501302,0.694723311342982,0.5517985944427016,0.6232609528928419,400,400,400
15,val,25381.607604166667,0.6143416032979363,0.15430375912537178,0.2555471573273341,0.0,0.0,0.0,0.0,,,,0.9763588217096082,0.5669333333333333,0.7496541986052677,0.9880380131225658,0.7236215112321307,0.8569169830276778,0.6582937659693004,0.7643154512160697,0.9767475128173828,0.7270910033634532,0.5809091969062994,0.6540001001348763,400,400,400
20,val,20162.380455729166,0.6350937587650198,0.14119622288892666,0.24785993059476216,0.0,0.0,0.0,0.0,,,,0.9772833076405205,0.5665988833880413,0.7777480128809152,0.9885111595937219,0.7233490198367474,0.874981164085839,0.6721734481344783,0.7738767346364924,0.9776679229736328,0.7409926049551594,0.5620108425595554,0.6515017237573574,400,400,400
25,val,24202.620423177083,0.6210486418322513,0.1642680043975512,0.26200419664382935,0.0,0.0,0.0,0.0,,,,0.9762785794896003,0.5696953029882308,0.7697206803872377,0.9879969247470536,0.7258673729910526,0.86987815525647,0.6697079916877342,0.7718981876216896,0.9767729187011719,0.7443626381358619,0.6149826810252452,0.6796726595805536,400,400,400
30,val,14479.044562174478,0.6283331144797174,0.11978213944161932,0.21560622294743856,0.0,0.0,0.0,0.0,,,,0.9772706906998384,0.5774138181284496,0.7913612754503524,0.9885047052955017,0.7321018891713936,0.883530627010347,0.684387546789401,0.7820152614262135,0.9777482604980469,0.7538794926270392,0.6101526826828847,0.6820160876549619,400,400,400
35,val,12621.983515625,0.6062700481791246,0.10976631948103507,0.20831867158412934,0.0,0.0,0.0,0.0,,,,0.9767100172992037,0.5768371693396384,0.7841868890113071,0.9882178050918072,0.731638219285776,0.8790411966829977,0.6805120291754727,0.7792446918833832,0.977155532836914,0.7505718249263107,0.6107019512010952,0.6806368880637029,400,400,400
40,val,11390.781708984376,0.6267423817985937,0.10380219336599111,0.20189799388249716,0.0,0.0,0.0,0.0,,,,0.9775298646127335,0.5801926327670874,0.7876352791292494,0.9886372712800133,0.7343315248231573,0.8812035523408372,0.6839139559481684,0.7817859255030234,0.977952626546224,0.7512895815450096,0.62061678728757,0.6859531844162898,400,400,400
45,val,10702.671565755209,0.6111525736357036,0.10135383271922668,0.19366523921489714,0.0,0.0,0.0,0.0,,,,0.9769447182132226,0.5790525234766586,0.7831992871398411,0.9883379228693785,0.733417685438021,0.8784203681418603,0.6811259053082499,0.779732176276574,0.9773539479573568,0.7505591435244142,0.598709834271475,0.6746344888979445,400,400,400
50,val,10049.738248697917,0.6243901221375716,0.09699485016365846,0.19211116671562195,0.0,0.0,0.0,0.0,,,,0.9766600839063889,0.5738449642886101,0.7797270770669398,0.988192245958908,0.7292268009994141,0.8762321898838115,0.6767860206777749,0.7767440417539796,0.9770746358235677,0.7512625392002117,0.6370173576037323,0.694139948401972,400,400,400
55,val,9242.868917643229,0.6321807597812853,0.09381577806547284,0.18569639265537263,0.0,0.0,0.0,0.0,,,,0.9762640771149003,0.5730722713161759,0.7817871913869557,0.9879894983874061,0.7286025973068501,0.8775314977748909,0.6774297313515658,0.777041179939344,0.9766601308186849,0.7528397558977455,0.6529185515966405,0.702879153747193,400,400,400
60,val,8695.986844075522,0.6192263576545214,0.09138083557287852,0.1843247240781784,0.0,0.0,0.0,0.0,,,,0.9774225030837129,0.5803398265756404,0.7788044132167323,0.9885823606836281,0.7344494099514658,0.8756492927835361,0.6795721198961864,0.7788555809586953,0.9777470397949218,0.7568069754406803,0.6245071073780476,0.690657041409364,400,400,400
65,val,8326.013911132812,0.6258870018155951,0.08997831956172983,0.18409819702307384,0.0,0.0,0.0,0.0,,,,0.9774029831622539,0.5789060234555526,0.7950631158794802,0.9885723764805852,0.7333001646147045,0.8858330482601933,0.6869845696675164,0.7837907074990955,0.977760976155599,0.7569559328408153,0.642749963658351,0.6998529482495832,400,400,400
70,val,7888.9481909179685,0.6103169361227437,0.08782350449512402,0.1810848464568456,0.0,0.0,0.0,0.0,,,,0.9771950145786358,0.5829479041324737,0.7831696583583689,0.9884659908338762,0.736534541169193,0.8784017322046347,0.6830587812454213,0.7811041923564929,0.9775940450032552,0.7581434651023101,0.6398021100255958,0.698972787563953,400,400,400
75,val,7982.506335449219,0.6229948323023947,0.08853783095876376,0.18080842037995656,0.0,0.0,0.0,0.0,,,,0.9772704031469255,0.5799991142778937,0.7882589476028988,0.9885045581945194,0.7341765055899673,0.8815937408388573,0.6841290309403962,0.781842821675906,0.9776622263590494,0.764397013657018,0.632446685947882,0.6984218498024499,400,400,400
80,val,7471.552576497395,0.6036837681343681,0.08558651821687818,0.18277997891108194,0.0,0.0,0.0,0.0,,,,0.9775636087084214,0.5860847354633034,0.796653083296317,0.9886545286367642,0.7390333219392659,0.8868190422546112,0.6913689093798102,0.7867671424893473,0.9779969278971354,0.7602146815760011,0.639978711287669,0.7000966964318351,400,400,400
85,val,7354.17553141276,0.6083902763692957,0.08509575498600801,0.17875380913416544,0.0,0.0,0.0,0.0,,,,0.9773945227678191,0.5850416360453916,0.7863034742665143,0.9885680490302262,0.7382034928811643,0.8803694171723911,0.6856725551559529,0.782913211026575,0.977807362874349,0.7586725538474114,0.6515989699384094,0.7051357618929104,400,400,400
90,val,7396.298330078125,0.6054210843224275,0.08569841276854277,0.1799869292974472,0.0,0.0,0.0,0.0,,,,0.9772085286899359,0.5831613000014791,0.79128651072713,0.9884729046130681,0.7367048449212777,0.8834840278073954,0.6872239053643046,0.7838854464728483,0.9776262664794921,0.7575068529714593,0.6492797589632098,0.7033933059673345,400,400,400
91,val,7321.983616536459,0.6099178461652053,0.08502813110128045,0.1813869019349416,0.0,0.0,0.0,0.0,,,,0.977345493130676,0.58353989466835,0.7892792393461086,0.9885429698815781,0.7370068750816843,0.8822314840410828,0.6864095670072292,0.7833882090483781,0.9777516682942708,0.7584133605836776,0.6511879250454091,0.7048006428145434,400,400,400
92,val,7249.921174316406,0.609254431567694,0.08488277215510606,0.17592434863249462,0.0,0.0,0.0,0.0,,,,0.9772547203959517,0.5838398711217664,0.7910911575845034,0.9884965354390488,0.737246083732262,0.8833622501396107,0.687465514353135,0.7840619163674072,0.9776746622721354,0.7565404225588187,0.6480568547882817,0.7022986386735501,400,400,400
93,val,7249.789143066406,0.6048862032200161,0.08513867762560645,0.17630676805973053,0.0,0.0,0.0,0.0,,,,0.9770085916951112,0.5820959360328485,0.7918509491142046,0.9883706077952976,0.7358541574823471,0.8838357336648491,0.6869734425735265,0.7836518256140548,0.9774419911702474,0.7559393924808239,0.6502435967762913,0.7030914946285576,400,400,400
94,val,7226.658236490885,0.6084698909207394,0.0847258839632074,0.17816452046235404,0.0,0.0,0.0,0.0,,,,0.9772876633537706,0.5836345723659979,0.791539403090932,0.9885133877749958,0.7370823832091897,0.8836416343679563,0.6875869877284649,0.7841538796035668,0.9777067057291666,0.7572485966139386,0.65080870023945,0.7040286484266943,400,400,400
95,val,7324.165056966146,0.6049141515242425,0.08535876714314024,0.17871145983537037,0.0,0.0,0.0,0.0,,,,0.9772838920599247,0.5830447395868961,0.792332408828606,0.9885114585562067,0.736611827836331,0.8841355598166543,0.687688574207751,0.7842203468251423,0.9777044677734374,0.7577371193533191,0.6501669437044542,0.7039520315288866,400,400,400
96,val,7283.434792480469,0.6064552507902446,0.08503106725712617,0.1818722422917684,0.0,0.0,0.0,0.0,,,,0.9771507133641618,0.5827834664201237,0.7914250175513567,0.9884433258014208,0.7364032778763352,0.8835703529842751,0.6871042419857403,0.7837863991118806,0.9775785319010417,0.7566924987431088,0.6490003376518194,0.7028464181974641,400,400,400
97,val,7228.80853515625,0.6049063472371352,0.08476802739625176,0.17888952573140462,0.0,0.0,0.0,0.0,,,,0.9773758816981568,0.583576961595738,0.7909980661919238,0.9885585140836178,0.737036438074572,0.8833042102315259,0.6872875138938309,0.7839836364952729,0.9777890777587891,0.7586756498782062,0.6490112689826375,0.7038434594304219,400,400,400
98,val,7222.3047265625,0.6067422087255278,0.08472164782385032,0.17744208633899688,0.0,0.0,0.0,0.0,,,,0.977190445110333,0.5826208868240922,0.7914967800391097,0.988463653086087,0.7362734710183947,0.8836150741190065,0.687058833431601,0.7837693706578449,0.9776140848795573,0.7567927542589269,0.6487039858722642,0.7027483700655955,400,400,400
99,val,7265.46672281901,0.607263161163581,0.08482495315372944,0.17876244942347208,0.0,0.0,0.0,0.0,,,,0.9771758986500474,0.5826667420285048,0.7915789071309799,0.988456211020205,0.7363100854469217,0.8836662498986528,0.6871228245797423,0.7838071826031774,0.9776009877522787,0.7567404958194576,0.6459010658126321,0.7013207808160449,400,400,400
100,val,7192.131089680989,0.6054366850539258,0.08440259308864673,0.17562575936317443,0.0,0.0,0.0,0.0,,,,0.9771118444231398,0.5823314375557853,0.7919151337752652,0.9884234391486647,0.7360423028127507,0.8838757135856458,0.6871232856655253,0.7837861385847301,0.9775407155354817,0.7564024379390412,0.6471997839216116,0.7018011109303264,400,400,400
