file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.24393046976009194,0.3921930938907495,0.5714974684205072,0.7862392647034858,0.7619047619047619,nan,nan,nan,nan,nan
test_651,0.19145778364116095,0.32138408304498267,0.47173859377454613,0.7074245968390697,0.6666666666666666,nan,nan,nan,nan,nan
test_652,0.197605697833005,0.3300012653422751,0.600806628021782,0.6113106863839286,0.4262295081967213,nan,nan,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_654,0.17846853677028052,0.3028821410190427,0.5182536142388247,0.6271360894311715,0.7792207792207793,nan,nan,nan,nan,nan
test_655,0.18510688278130139,0.312388503468781,0.47407377587226823,0.7385377942998761,1.0,nan,nan,nan,nan,nan
test_656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_657,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_658,0.0,0.0,nan,nan,nan,0.49620543593363925,0.6632851666175169,0.41678865142522553,0.6406830350682553,1.0
test_659,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_661,0.23624128815188655,0.3821928460342146,0.606659762452752,0.7543501258526976,0.4857142857142857,nan,nan,nan,nan,nan
test_662,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_664,0.19386393952867942,0.32476722532588453,0.5167979894572956,0.6778934802273742,0.7608695652173914,nan,nan,nan,nan,nan
test_665,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.8628517175901951,0.9263772413473567,0.46141988614339824,0.9715536105032823,1.0
test_668,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_670,0.25262035885592465,0.403347042972628,0.5376213476868023,0.6844005989606271,0.0898876404494382,nan,nan,nan,nan,nan
test_671,0.17969230769230768,0.3046426708398539,0.33616434355530617,0.6097279852466574,1.0,nan,nan,nan,nan,nan
test_672,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.6292448875017469,0.7724374553252323,0.3986671559542113,0.6057206954570947,1.0
test_674,0.17212145110410096,0.29369217830109334,0.5015622003831299,0.5911962054062659,0.7954545454545454,0.0,0.0,nan,nan,nan
test_675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_676,0.2666279407493465,0.42100435679889936,0.7875904860392969,0.8449039126963003,0.5925925925925926,nan,nan,nan,nan,nan
test_677,0.0,0.0,nan,nan,nan,0.47595050715158793,0.6449410123786831,0.2725897664097826,0.6560452971797193,0.6666666666666666
test_678,0.0,0.0,nan,nan,nan,0.10564279331035363,0.1910975116910109,0.3491263051609983,0.06516587677725119,0.3333333333333333
test_679,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_680,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_681,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_682,0.23747143945163748,0.38380108321024126,0.6454641176246717,0.7188020744109266,0.6373626373626373,nan,nan,nan,nan,nan
test_683,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_684,0.21466074313408723,0.3534497090606816,0.6538574674074354,0.6390073358527172,0.4025974025974026,nan,nan,nan,nan,nan
