file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.25670786855592403,0.4085402422933909,0.6559796882010519,0.8084999607935387,0.8333333333333334,nan,nan,nan,nan,nan
test_651,0.19540417209908736,0.3269256987048398,0.5775654425869453,0.7014600466159462,0.8918918918918919,nan,nan,nan,nan,nan
test_652,0.2003221555132523,0.3337806514578504,0.6485567705744514,0.6453439133604719,0.5,nan,nan,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.028837000951901004,0.05605747251551105,0.17531654125945687,0.07147703985078545,0.0
test_654,0.1715601611974669,0.29287469287469287,0.5282506648893206,0.6294187280162127,0.7987012987012987,nan,nan,nan,nan,nan
test_655,0.18225918225918225,0.3083235638921454,0.46490019006010624,0.7121212121212122,1.0,nan,nan,nan,nan,nan
test_656,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_657,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_658,0.0,0.0,nan,nan,nan,0.46399576420755384,0.6338758288125377,0.4732237083386349,0.6371795230240166,0.5
test_659,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_661,0.24731182795698925,0.39655172413793105,0.6834250853538827,0.7791247771087327,0.5714285714285714,nan,nan,nan,nan,nan
test_662,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_664,0.19868301544050862,0.33150217844288693,0.5691679401100042,0.6780544912728822,0.7608695652173914,nan,nan,nan,nan,nan
test_665,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_666,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.8742682394058541,0.9329168803319192,0.5480337370113989,0.9618320610687023,1.0
test_668,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_670,0.2385047965597089,0.38514957264957267,0.5283325184042891,0.6513200064953377,0.21348314606741572,nan,nan,nan,nan,nan
test_671,0.17834653666463537,0.3027064299258749,0.3513980094999615,0.6121919584954605,1.0,nan,nan,nan,nan,nan
test_672,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.6369747899159663,0.7782340862422998,0.41638806264552564,0.6800443538290947,1.0
test_674,0.1707652960849892,0.29171567803730464,0.5256216627644088,0.6087450107668327,0.7954545454545454,0.0,0.0,nan,nan,nan
test_675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_676,0.29183867894569704,0.45181907571288105,0.8392513647877975,0.8137816271177557,0.6296296296296297,nan,nan,nan,nan,nan
test_677,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_678,0.0,0.0,nan,nan,nan,0.19851266246817634,0.3312650231986137,0.252476208972616,0.2530490314841167,0.3333333333333333
test_679,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_680,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_681,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_682,0.23355263157894737,0.37866666666666665,0.6943181779373043,0.7158859131822817,0.6373626373626373,nan,nan,nan,nan,nan
test_683,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_684,0.2014388489208633,0.33532934131736525,0.7229651255351516,0.6350502141340278,0.6168831168831169,nan,nan,nan,nan,nan
test_685,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_686,0.17239370995923123,0.29408842523596623,0.4887545468517855,0.691685984587432,1.0,nan,nan,nan,nan,nan
test_687,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_688,0.2855565777368905,0.44425361385430084,0.469591649900032,0.7730672449986793,0.6190476190476191,nan,nan,nan,nan,nan
test_689,0.24854333576110707,0.39813329444363427,0.35239881357087555,0.7057114171203748,1.0,0.0,0.0,nan,nan,nan
test_690,0.22241336937822562,0.36389223964616,0.6381909914468372,0.6857608649679521,0.625,nan,nan,nan,nan,nan
test_691,0.0,0.0,nan,nan,nan,0.9189476105380492,0.9577620623841707,0.5109160844948217,0.9660238751147842,1.0
test_692,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_693,0.18298081652729956,0.3093555093555094,0.5339488866956217,0.6342710997442456,1.0,nan,nan,nan,nan,nan
test_694,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_695,0.0,0.0,nan,nan,nan,0.8319408100102281,0.908261670316284,0.523121809502329,0.8987341772151899,1.0
test_696,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_697,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_698,0.2483881913810655,0.39793422125577604,0.757360508450361,0.7585127288472427,0.6935483870967742,nan,nan,nan,nan,nan
test_699,0.0,0.0,nan,nan,nan,0.41329058583503353,0.5848628583213034,0.23209579378741943,0.5643931139681848,1.0
test_700,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_701,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_702,0.0,0.0,nan,nan,nan,0.5817999402296887,0.7356176030013091,0.23599786548845614,0.7315898627622693,1.0
test_703,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_704,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_705,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_706,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_707,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_708,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_709,0.0,0.0,nan,nan,nan,0.7482615603656397,0.8560064206973066,0.5819942236892659,0.8351293979201408,1.0
test_710,0.2376664790845995,0.38405577447711425,0.2777777777777778,0.7651331719128329,1.0,0.0,0.0,nan,nan,nan
test_711,0.23937908496732027,0.3862887277521424,0.6523466213008519,0.6828727474305031,0.2698412698412698,nan,nan,nan,nan,nan
test_712,0.0,0.0,nan,nan,nan,0.0006237571755524706,0.0012467366901484367,0.0,0.002667852378835038,0.0
test_713,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_714,0.0,0.0,nan,nan,nan,0.7194761584956346,0.8368550560481194,0.4240348759318099,0.6971150533473967,1.0
test_715,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_716,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_717,0.0,0.0,nan,nan,nan,0.07290233837689133,0.1358974358974359,0.07430103408655686,0.17192321564541335,0.0
test_718,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_719,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_720,0.25176470588235295,0.40225563909774437,0.80590530284376,0.7330990884137836,0.9310344827586207,nan,nan,nan,nan,nan
test_721,0.0,0.0,nan,nan,nan,0.8461468178634153,0.9166625424110948,0.4035490301617996,0.7593052109181141,1.0
test_722,0.2126932758000719,0.3507783543365456,0.4200273691161604,0.6465504699275468,0.8620689655172413,nan,nan,nan,nan,nan
test_723,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_724,0.19562811289429993,0.3272390650312428,0.6467943674200288,0.6404121279831176,0.5384615384615384,nan,nan,nan,nan,nan
test_725,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
test_726,0.11159247086943531,0.20077946512565514,0.5198955437474232,0.422162721553296,0.95,nan,nan,nan,nan,nan
test_727,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_728,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_729,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_730,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_731,0.0,0.0,nan,nan,nan,0.017121969988457098,0.03366748628711935,0.04921793534932221,0.01595566630713728,0.0
test_732,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_733,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_734,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_735,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_736,0.0,0.0,nan,nan,nan,0.5706550969916454,0.7266459684047119,0.27022768060931607,0.6891191709844559,1.0
test_737,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_738,0.0,0.0,nan,nan,nan,0.4587674573265351,0.6289795608236456,0.35653242233864163,0.5502061279028816,1.0
test_739,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_740,0.22958708475628686,0.3734376972604469,0.3442408644566178,0.715852442671984,1.0,nan,nan,nan,nan,nan
test_741,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_742,0.16310282074613286,0.280461568550753,0.43132201014352806,0.5778015721986929,0.8545454545454545,nan,nan,nan,nan,nan
