file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.26013771996939555,0.41287188828172433,0.6763828226235419,0.8133724285290953,0.8333333333333334,nan,nan,nan,nan,nan
test_651,0.20653866113129216,0.34236559139784944,0.6258701950173972,0.7119879435539114,0.8288288288288288,nan,nan,nan,nan,nan
test_652,0.1844124377439763,0.3113990226162064,0.5960666029653314,0.5985429629981475,0.5081967213114754,nan,nan,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_654,0.1769504598042124,0.30069313169502204,0.49694885246818593,0.6422310722749133,0.7987012987012987,nan,nan,nan,nan,nan
test_655,0.19914076320444782,0.3321390937829294,0.5898939198033981,0.7460122699386503,1.0,nan,nan,nan,nan,nan
test_656,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_657,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_658,0.0,0.0,nan,nan,nan,0.6139273356401385,0.7607868360400922,0.4429844089271655,0.7066253804791185,1.0
test_659,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_661,0.2588018917498686,0.41118764349822584,0.723682246726012,0.7771866937601316,0.5142857142857142,nan,nan,nan,nan,nan
test_662,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_664,0.21147218119153127,0.34911603332655966,0.6103742967867254,0.695404636030907,0.5217391304347826,nan,nan,nan,nan,nan
test_665,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_666,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.8742245522062035,0.9328920071793199,0.5564716122277107,0.960167714884696,1.0
test_668,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_670,0.20537897310513448,0.3407707910750507,0.5041408383680968,0.6089947560925383,0.11235955056179775,nan,nan,nan,nan,nan
test_671,0.17535450369482725,0.2983857264231096,0.3403896697620517,0.6238532110091742,1.0,nan,nan,nan,nan,nan
test_672,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.5924343822677868,0.7440612798426276,0.3634748219816438,0.5944954128440366,1.0
test_674,0.1715210355987055,0.292817679558011,0.5254741118461703,0.6170953590394828,0.7727272727272727,0.0,0.0,nan,nan,nan
test_675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_676,0.2968346253229974,0.4577833125778331,0.858025499992538,0.8367701351994546,0.6296296296296297,nan,nan,nan,nan,nan
test_677,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_678,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
