file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.2652615144418423,0.41929911154985194,0.683836611070334,0.8049415692821368,0.7857142857142857,nan,nan,nan,nan,nan
test_651,0.2011894647408666,0.33498373178667423,0.5986106727129471,0.691552797141417,0.8018018018018018,nan,nan,nan,nan,nan
test_652,0.198430004361099,0.3311499272197962,0.6515633572268992,0.618559882264975,0.48360655737704916,nan,nan,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_654,0.19062247372675828,0.3202064095600217,0.6016181839142949,0.6328042159127447,0.7857142857142857,0.0,0.0,nan,nan,nan
test_655,0.2,0.3333333333333333,0.5932267555537344,0.7419354838709677,1.0,nan,nan,nan,nan,nan
test_656,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_657,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_658,0.0,0.0,nan,nan,nan,0.5862305189244734,0.7391492118332973,0.41477435969076437,0.6639671984007179,1.0
test_659,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_661,0.24244657332350775,0.3902728351126928,0.6627333884951613,0.7683806207926406,0.5142857142857142,nan,nan,nan,nan,nan
test_662,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_664,0.20677319341760075,0.34268774703557314,0.6069801717357827,0.6653778856465543,0.717391304347826,nan,nan,nan,nan,nan
test_665,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_666,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.8714372875446701,0.9313026873457222,0.521746490636978,0.9713114754098361,1.0
test_668,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_670,0.23080652982059155,0.37504924491135916,0.5315705916923763,0.6533815228519694,0.11235955056179775,nan,nan,nan,nan,nan
test_671,0.19205443371378403,0.32222426809059107,0.4224931854128574,0.607533878334447,1.0,nan,nan,nan,nan,nan
test_672,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.5877916568465709,0.7403888971352234,0.36149839977484444,0.6015343733927653,1.0
test_674,0.17386873216469628,0.29623198471956935,0.5445697597693003,0.6052729037066901,0.7954545454545454,0.0,0.0,nan,nan,nan
test_675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_676,0.3055925432756325,0.4681285058643549,0.8890411561998455,0.8272270254203337,0.6296296296296297,nan,nan,nan,nan,nan
test_677,0.0,0.0,nan,nan,nan,0.2990386311518786,0.46039990494619276,0.1944959326062726,0.4937633491940677,0.3333333333333333
test_678,nan,nan,nan,nan,nan,0.22591800804828974,0.3685695235164384,0.22011131524178187,0.010361627667604473,0.3333333333333333
test_679,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_680,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_681,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
