file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
test_651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
test_652,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.2638587360878473,0.4175446646902906,0.03917804703543781,0.7448919738518278,1.0
test_654,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_655,0.006868918145392101,0.013644115974985787,0.05641373507010931,0.0,0.03225806451612903,0.0,0.0,nan,nan,nan
test_656,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_657,nan,nan,nan,nan,nan,0.6439590454101562,0.7834246810564469,0.15945614829193677,0.8,1.0
test_658,nan,nan,nan,nan,nan,0.03708648681640625,0.07152052849565595,0.0,0.0,1.0
test_659,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_661,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_662,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_664,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_665,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_666,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.08421274450660694,0.15534357981547187,0.03392752712859278,0.1337466784765279,1.0
test_668,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_670,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
test_672,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.056524933240563305,0.10700160774661618,0.28458753255205044,0.0,0.3333333333333333
test_674,0.0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan
test_675,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
test_676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
test_677,nan,nan,nan,nan,nan,0.14445114135742188,0.25243741062827696,0.0,0.0,1.0
test_678,nan,nan,nan,nan,nan,0.03458404541015625,0.0668559418900483,0.0,0.0,1.0
test_679,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_680,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
