file,IoU_crack,Dice_crack,BF1_crack,clDice_crack,ConnR_crack,IoU_spalling,Dice_spalling,BF1_spalling,clDice_spalling,ConnR_spalling
test_650,0.00655364990234375,0.013021958447976593,0.015723975559168116,0.0,1.0,nan,nan,nan,nan,nan
test_651,0.004650364323045817,0.009257677074908202,0.012577602193017817,0.05054151624548736,1.0,nan,nan,nan,nan,nan
test_652,0.005738048910762657,0.011410623108029164,0.01629065529527832,0.01978891820580475,1.0,nan,nan,nan,nan,nan
test_653,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
test_654,0.004787609437885059,0.009529594897300582,0.025124029195563523,0.009426205258679966,1.0,0.0,0.0,nan,nan,nan
test_655,0.0030101061739604834,0.00600214525343659,0.00908015298682002,0.0,1.0,nan,nan,nan,nan,nan
test_656,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_657,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_658,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_659,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_660,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_661,0.0039215087890625,0.007812381256364659,0.018050628634860878,0.0,1.0,nan,nan,nan,nan,nan
test_662,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_663,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_664,0.004305998289070602,0.00857507233135374,0.009290673088720792,0.004976362279173924,1.0,0.0,0.0,nan,nan,nan
test_665,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_666,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_667,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_668,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_669,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_670,0.005920527423501056,0.011771362174436398,0.011940822687563106,0.0379746835443038,1.0,nan,nan,nan,nan,nan
test_671,0.00334930419921875,0.006676247614268008,0.00833168022217814,0.0,1.0,nan,nan,nan,nan,nan
test_672,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_673,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_674,0.0034617735110506,0.006899661955109797,0.003947250381268502,0.007999999999999998,1.0,nan,nan,nan,nan,nan
test_675,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_676,0.0035603519815213527,0.007095441693150727,0.008309529992209816,0.006535947712418301,1.0,nan,nan,nan,nan,nan
test_677,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_678,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_679,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_680,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_681,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_682,0.006343841552734375,0.012607701842634957,0.018035758717520348,0.0,1.0,nan,nan,nan,nan,nan
test_683,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_684,0.004581451416015625,0.009121114887315119,0.010931153043568665,0.0,1.0,nan,nan,nan,nan,nan
test_685,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_686,0.0022828780323656274,0.004555356740897871,0.004459647789180286,0.006252791424743189,1.0,0.0,0.0,nan,nan,nan
test_687,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_688,0.006011962890625,0.01195207037767329,0.010757075559182462,0.0,1.0,nan,nan,nan,nan,nan
test_689,0.005058526193621294,0.010066132591858208,0.06666761250780318,0.01833567379963183,1.0,nan,nan,nan,nan,nan
test_690,0.003620147705078125,0.0072141790165454805,0.016215220195319697,0.0,1.0,nan,nan,nan,nan,nan
test_691,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_692,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_693,0.003026297057088816,0.006034332431698089,0.00416259079651175,0.0034522439585730723,1.0,0.0,0.0,nan,nan,nan
test_694,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_695,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_696,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_697,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_698,0.005748748779296875,0.011431779132261968,0.0202432642263565,0.0,1.0,nan,nan,nan,nan,nan
test_699,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_700,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_701,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_702,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
test_703,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
test_704,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_705,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_706,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_707,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_708,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_709,0.0,0.0,nan,nan,nan,0.0,0.0,0.03489799734931334,0.0,0.0
test_710,0.004833221435546875,0.009619947534461356,0.00990375395968104,0.0,1.0,nan,nan,nan,nan,nan
test_711,0.003658294677734375,0.007289920677453317,0.00688731585995791,0.0,1.0,nan,nan,nan,nan,nan
test_712,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_713,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_714,0.0,0.0,nan,nan,nan,0.001525165226232842,0.003045685279187817,0.26494692297126715,0.0,0.0
test_715,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_716,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_717,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_718,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_719,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_720,0.003192238289057379,0.006364160660775718,0.05706544454193782,0.008340303135390954,0.9655172413793104,nan,nan,nan,nan,nan
test_721,0.0,0.0,nan,nan,nan,0.0,0.0,0.00556328233657858,0.0,0.0
test_722,0.00469607147489452,0.009348242932811878,0.0202109315474997,0.00903321335611814,1.0,nan,nan,nan,nan,nan
test_723,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_724,0.0029773606079923046,0.005937044493581522,0.029348145088533572,0.007186620520533674,1.0,nan,nan,nan,nan,nan
test_725,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_726,0.0028867632739561257,0.005756907718139971,0.00845501321095814,0.006980802792321117,1.0,nan,nan,nan,nan,nan
test_727,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_728,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_729,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_730,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_731,0.0,0.0,nan,nan,nan,0.0022166039510818436,0.004423402969663904,0.0041666666666666675,0.0,0.0
test_732,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_733,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_734,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_735,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_736,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0
test_737,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_738,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,0.0
test_739,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan
test_740,0.0053142514393560245,0.010572318917686403,0.055128424544820226,0.0028879112930794396,1.0,nan,nan,nan,nan,nan
test_741,0.0,0.0,nan,nan,nan,0.0,0.0,nan,nan,nan
test_742,0.0028076171875,0.005599513085818624,0.006907667510937141,0.5,1.0,nan,nan,nan,nan,nan
